staff_id,name,role,pay_type,rate_usd,expected_hours_or_events,expected_pay_usd,next_pay_date
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,24,840.0,2026-10-15
STAFF-004,Kenji Aoyama,Seasonal Judge,honorarium,400.0,1,400.0,2026-10-20
STAFF-005,Priya Rao,Seasonal Judge,honorarium,350.0,1,350.0,2026-10-20
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,22,770.0,2025-11-01
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,24,840.0,2025-11-15
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,20,700.0,2025-11-29
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,22,770.0,2025-12-13
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,26,910.0,2025-12-27
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,24,840.0,2026-01-10
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,22,770.0,2026-01-24
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,22,770.0,2026-02-07
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,26,910.0,2026-02-21
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,20,700.0,2026-03-07
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,22,770.0,2026-03-21
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,24,840.0,2026-04-04
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,22,770.0,2026-04-18
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,24,840.0,2026-05-02
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,20,700.0,2026-05-16
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,20,700.0,2026-05-30
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,24,840.0,2026-06-13
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,22,770.0,2026-06-27
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,20,700.0,2026-07-11
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,28,980.0,2026-07-25
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,26,910.0,2026-08-08
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,28,980.0,2026-08-22
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,20,700.0,2026-09-05
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,24,840.0,2026-09-19
STAFF-003,Raj Patel,Judo Instructor,hourly,35.0,20,700.0,2026-10-03
STAFF-004,Kenji Aoyama,Seasonal Judge,honorarium,400.0,1,400.0,2025-11-15
STAFF-004,Kenji Aoyama,Seasonal Judge,honorarium,400.0,1,400.0,2026-02-28
STAFF-004,Kenji Aoyama,Seasonal Judge,honorarium,400.0,1,400.0,2026-04-18
STAFF-004,Kenji Aoyama,Seasonal Judge,honorarium,400.0,1,400.0,2026-07-25
STAFF-004,Kenji Aoyama,Seasonal Judge,honorarium,400.0,1,400.0,2026-10-21
STAFF-005,Priya Rao,Seasonal Judge,honorarium,350.0,1,350.0,2025-11-15
STAFF-005,Priya Rao,Seasonal Judge,honorarium,350.0,1,350.0,2026-02-28
STAFF-005,Priya Rao,Seasonal Judge,honorarium,350.0,1,350.0,2026-04-18
STAFF-005,Priya Rao,Seasonal Judge,honorarium,350.0,1,350.0,2026-07-25
STAFF-005,Priya Rao,Seasonal Judge,honorarium,350.0,1,350.0,2026-10-21
STAFF-006,Yumi Shin,Referee (event),honorarium,300.0,1,300.0,2026-09-18
STAFF-007,Sadie Tanaka,Timekeeper (event),honorarium,200.0,1,200.0,2026-04-20
STAFF-008,Meera Williams,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-04-19
STAFF-009,Valeria Scott,Photography (contract),honorarium,500.0,1,500.0,2026-02-14
STAFF-010,Yumi Sato,Assistant Kendo Instructor,hourly,28.0,8,224.0,2026-05-14
STAFF-011,Riku Baker,Timekeeper (event),honorarium,200.0,1,200.0,2025-12-23
STAFF-012,Yuma Shah,Scorekeeper (event),honorarium,200.0,1,200.0,2026-04-14
STAFF-013,Mateo Roberts,Referee (event),honorarium,300.0,1,300.0,2026-08-14
STAFF-014,Rowan Brown,Kids' Class Aide,hourly,18.0,6,108.0,2026-06-13
STAFF-015,Lucia Moore,Kids' Class Aide,hourly,18.0,6,108.0,2026-04-21
STAFF-016,Kaito Carter,Photography (contract),honorarium,500.0,1,500.0,2026-06-23
STAFF-017,Bao Torres,Referee (event),honorarium,300.0,1,300.0,2025-12-23
STAFF-018,Bao Suzuki,Front Desk / Admin,hourly,20.0,15,300.0,2026-09-27
STAFF-019,Zara Perez,Kids' Class Aide,hourly,18.0,6,108.0,2026-02-21
STAFF-020,Iris Anderson,Assistant Judo Instructor,hourly,28.0,8,224.0,2026-03-29
STAFF-021,Maren Scott,Front Desk / Admin,hourly,20.0,15,300.0,2026-04-02
STAFF-022,Aoi Allen,Scorekeeper (event),honorarium,200.0,1,200.0,2026-04-28
STAFF-023,Chen Nakamura,First Aid Attendant,honorarium,250.0,1,250.0,2026-06-13
STAFF-024,Anika Verma,First Aid Attendant,honorarium,250.0,1,250.0,2026-06-20
