sid,phone_number,friendly_name,iso_country,sms_enabled,voice_enabled,mms_enabled,capabilities_fax,date_created
PN_BR_001,+14065550100,Lee outbound SMS (Bridger Root),US,True,True,False,False,2024-08-01T08:00:00-06:00
PN_NRC_001,+14065550101,Northern Remedy market customer SMS,US,True,False,False,False,2025-04-12T08:00:00-06:00
PN0000102,+15038825674,Cedar Ridge Main #2,active,2025-05-05T14:17:00-07:00,True,True,detail_835,2026-09-05
PN0000103,+15033578029,Automated Reminder Line #3,active,2024-06-04T19:24:00-07:00,True,False,detail_186,2026-06-13
PN0000104,+15038700532,Vendor Support #4,active,2026-08-31T12:16:00-07:00,True,False,detail_407,2026-02-27
PN0000105,+15039789662,Raj Patel #5,released,2024-06-26T11:22:00-07:00,True,True,detail_723,2026-10-09
PN0000106,+15036967085,Vendor Support #6,active,2025-11-24T20:59:00-07:00,False,True,detail_676,2026-08-20
PN0000107,+15038928094,Cedar Ridge Main #7,active,2026-07-04T08:45:00-07:00,True,True,detail_372,2026-09-23
PN0000108,+15037608615,Automated Reminder Line #8,released,2025-04-16T16:03:00-07:00,False,False,detail_262,2026-04-04
PN0000109,+15034901409,Automated Reminder Line #9,inactive,2025-12-19T09:22:00-07:00,True,False,detail_146,2026-06-16
PN0000110,+15032334123,Tom Iverson #10,inactive,2024-03-11T16:51:00-07:00,False,False,detail_726,2026-08-01
PN0000111,+15038814757,Tom Iverson #11,inactive,2026-08-15T13:30:00-07:00,False,False,detail_364,2026-10-11
PN0000112,+15032150374,Raj Patel #12,inactive,2026-02-28T16:29:00-07:00,False,True,detail_680,2026-06-21
PN0000113,+15039644243,Kids Program Line #13,inactive,2025-04-16T08:43:00-07:00,False,True,detail_899,2026-10-14
PN0000114,+15037090719,Kids Program Line #14,inactive,2025-10-06T14:01:00-07:00,True,True,detail_422,2026-08-15
PN0000115,+15039598235,Sponsor Concierge #15,active,2026-09-09T17:32:00-07:00,False,False,detail_529,2026-10-07
PN0000116,+15035432055,Kids Program Line #16,inactive,2026-03-02T08:53:00-07:00,True,True,detail_502,2026-04-27
PN0000117,+15039085561,Aaron Delgado #17,active,2024-02-16T10:14:00-07:00,True,False,detail_890,2026-03-06
PN0000118,+15039053329,Automated Reminder Line #18,inactive,2025-10-03T19:00:00-07:00,True,True,detail_260,2026-06-20
PN0000119,+15036696090,Aaron Delgado #19,inactive,2024-06-07T16:49:00-07:00,True,False,detail_172,2026-09-24
PN0000120,+15037752396,Tom Iverson #20,active,2025-09-29T14:07:00-07:00,True,False,detail_481,2026-09-23
PN0000121,+15036301661,Tom Iverson #21,inactive,2024-11-15T19:28:00-07:00,False,False,detail_386,2026-06-25
PN0000122,+15039455665,Raj Patel #22,released,2026-09-14T09:32:00-07:00,True,True,detail_767,2026-01-25
PN0000123,+15035884395,Cedar Ridge Main #23,active,2024-08-24T16:23:00-07:00,False,False,detail_448,2026-01-06
PN0000124,+15037900348,Vendor Support #24,active,2026-08-27T08:25:00-07:00,True,False,detail_338,2026-10-14
PN0000125,+15032216899,Automated Reminder Line #25,inactive,2026-06-11T08:23:00-07:00,False,True,detail_741,2026-06-16
PN0000126,+15034433989,Automated Reminder Line #26,inactive,2026-02-13T20:29:00-07:00,False,True,detail_312,2026-01-28
PN0000127,+15032175833,Vendor Support #27,active,2025-03-06T12:36:00-07:00,True,False,detail_674,2026-09-16
PN0000128,+15039411534,Cedar Ridge Main #28,active,2024-08-22T08:03:00-07:00,True,False,detail_781,2026-07-25
PN0000129,+15034099251,Raj Patel #29,released,2025-07-20T10:21:00-07:00,True,False,detail_607,2026-09-02
PN0000130,+15036515116,Automated Reminder Line #30,released,2025-02-09T16:19:00-07:00,True,True,detail_439,2026-10-18
PN0000131,+15037847140,Sponsor Concierge #31,active,2025-10-18T15:29:00-07:00,True,False,detail_700,2026-04-19
PN0000132,+15038925868,Kids Program Line #32,released,2025-04-13T12:01:00-07:00,False,False,detail_224,2026-08-06
PN0000133,+15034859246,Sponsor Concierge #33,released,2025-10-27T20:58:00-07:00,False,False,detail_713,2026-03-17
PN0000134,+15037274952,Tom Iverson #34,active,2025-04-10T17:51:00-07:00,True,False,detail_505,2026-02-19
PN0000135,+15036569185,Aaron Delgado #35,inactive,2025-04-27T18:00:00-07:00,True,True,detail_164,2026-05-11
PN0000136,+15038655269,Kids Program Line #36,released,2024-04-12T09:21:00-07:00,False,True,detail_456,2026-01-09
PN0000137,+15038191731,Tom Iverson #37,inactive,2024-11-30T20:47:00-07:00,True,True,detail_789,2026-03-19
PN0000138,+15035356121,Kids Program Line #38,inactive,2026-07-05T17:02:00-07:00,True,True,detail_675,2026-03-24
PN0000139,+15033207018,Aaron Delgado #39,released,2025-01-03T19:04:00-07:00,True,False,detail_646,2026-01-09
PN0000140,+15037396789,Sponsor Concierge #40,active,2025-06-28T12:49:00-07:00,True,True,detail_859,2026-07-27
PN0000141,+15033235495,Tom Iverson #41,active,2025-05-05T13:45:00-07:00,True,True,detail_386,2026-04-03
PN0000142,+15035682308,Automated Reminder Line #42,released,2025-07-24T12:13:00-07:00,False,False,detail_347,2026-04-14
PN0000143,+15035886224,Cedar Ridge Main #43,released,2024-06-28T11:40:00-07:00,True,False,detail_940,2026-10-09
PN0000144,+15034261084,Tom Iverson #44,released,2025-01-02T15:51:00-07:00,False,True,detail_732,2026-06-14
PN0000145,+15033987452,Automated Reminder Line #45,released,2026-08-24T10:19:00-07:00,True,False,detail_896,2026-04-06
PN0000146,+15036610809,Automated Reminder Line #46,inactive,2026-09-09T17:26:00-07:00,True,True,detail_645,2026-08-28
PN0000147,+15034327925,Tom Iverson #47,released,2025-04-12T17:30:00-07:00,False,True,detail_637,2026-05-05
PN0000148,+15039763984,Vendor Support #48,active,2026-06-05T09:41:00-07:00,True,False,detail_595,2026-08-16
PN0000149,+15039866669,Vendor Support #49,active,2026-05-17T09:43:00-07:00,True,True,detail_870,2026-01-10
PN0000150,+15033991126,Cedar Ridge Main #50,released,2026-07-21T20:53:00-07:00,True,False,detail_845,2026-05-05
PN0000151,+15036633705,Sponsor Concierge #51,inactive,2026-08-09T11:47:00-07:00,False,True,detail_186,2026-10-26
PN0000152,+15036378966,Sponsor Concierge #52,active,2026-03-02T13:05:00-07:00,True,True,detail_873,2026-08-20
PN0000153,+15038109218,Tom Iverson #53,inactive,2024-01-12T14:41:00-07:00,True,False,detail_231,2026-10-08
PN0000154,+15033668689,Kids Program Line #54,active,2026-04-04T12:08:00-07:00,False,True,detail_359,2026-04-11
PN0000155,+15035737601,Aaron Delgado #55,released,2026-05-18T08:37:00-07:00,True,False,detail_280,2026-03-18
PN0000156,+15035026472,Cedar Ridge Main #56,inactive,2025-06-12T17:22:00-07:00,True,False,detail_155,2026-10-28
PN0000157,+15035624438,Aaron Delgado #57,released,2024-01-13T20:48:00-07:00,False,False,detail_138,2026-02-01
PN0000158,+15036047097,Sponsor Concierge #58,inactive,2024-01-04T16:43:00-07:00,True,True,detail_245,2026-03-02
PN0000159,+15033599116,Vendor Support #59,released,2026-04-04T14:52:00-07:00,False,True,detail_538,2026-01-04
PN0000160,+15035614531,Vendor Support #60,released,2025-04-28T19:04:00-07:00,True,False,detail_994,2026-02-01
PN0000161,+15033173873,Kids Program Line #61,active,2024-08-01T11:16:00-07:00,True,False,detail_522,2026-03-23
PN0000162,+15036857713,Aaron Delgado #62,released,2026-09-28T09:27:00-07:00,True,False,detail_476,2026-08-24
PN0000163,+15038533987,Aaron Delgado #63,inactive,2024-09-25T15:25:00-07:00,False,True,detail_932,2026-08-02
PN0000164,+15039723238,Aaron Delgado #64,inactive,2025-08-19T18:49:00-07:00,False,False,detail_882,2026-07-18
PN0000165,+15033946684,Raj Patel #65,active,2025-06-27T08:48:00-07:00,False,True,detail_839,2026-05-25
PN0000166,+15038198183,Sponsor Concierge #66,released,2026-01-07T15:54:00-07:00,False,False,detail_829,2026-10-11
PN0000167,+15032798713,Cedar Ridge Main #67,inactive,2026-02-09T17:25:00-07:00,True,True,detail_211,2026-10-02
PN0000168,+15037163064,Tom Iverson #68,inactive,2026-03-17T13:45:00-07:00,True,True,detail_830,2026-02-09
PN0000169,+15034949970,Automated Reminder Line #69,released,2026-06-27T17:39:00-07:00,False,True,detail_529,2026-02-01
PN0000170,+15036542316,Vendor Support #70,inactive,2026-07-17T19:31:00-07:00,True,False,detail_856,2026-10-08
PN0000171,+15035647423,Tom Iverson #71,released,2024-07-09T17:36:00-07:00,True,True,detail_503,2026-09-24
PN0000172,+15036907124,Raj Patel #72,active,2025-09-07T15:14:00-07:00,True,False,detail_121,2026-05-13
PN0000173,+15034140351,Kids Program Line #73,released,2025-02-01T09:55:00-07:00,False,True,detail_952,2026-04-14
PN0000174,+15032223796,Raj Patel #74,released,2026-08-16T08:46:00-07:00,True,False,detail_455,2026-03-28
PN0000175,+15039426794,Tom Iverson #75,released,2025-08-29T17:50:00-07:00,False,False,detail_475,2026-08-13
PN0000176,+15039699801,Automated Reminder Line #76,active,2026-06-23T18:38:00-07:00,True,False,detail_776,2026-10-06
PN0000177,+15034406182,Cedar Ridge Main #77,active,2025-03-04T19:19:00-07:00,True,True,detail_208,2026-10-18
PN0000178,+15038586436,Kids Program Line #78,inactive,2025-01-08T15:51:00-07:00,True,False,detail_680,2026-07-08
PN0000179,+15038623608,Tom Iverson #79,released,2025-08-24T14:11:00-07:00,False,True,detail_891,2026-01-25
PN0000180,+15036474710,Vendor Support #80,active,2026-03-12T15:18:00-07:00,False,False,detail_478,2026-05-21
PN0000181,+15038875608,Automated Reminder Line #81,active,2026-08-18T09:49:00-07:00,True,True,detail_201,2026-02-28
PN0000182,+15038556055,Vendor Support #82,inactive,2025-10-29T12:23:00-07:00,False,True,detail_793,2026-05-21
PN0000183,+15036691752,Raj Patel #83,active,2024-03-03T20:57:00-07:00,False,False,detail_538,2026-09-16
PN0000184,+15037357363,Tom Iverson #84,active,2026-04-29T13:50:00-07:00,False,False,detail_267,2026-01-14
PN0000185,+15035906321,Kids Program Line #85,released,2025-01-02T16:30:00-07:00,False,False,detail_395,2026-09-16
PN0000186,+15033173130,Vendor Support #86,active,2025-04-06T16:53:00-07:00,True,False,detail_322,2026-09-28
PN0000187,+15039471545,Cedar Ridge Main #87,inactive,2025-08-14T15:03:00-07:00,True,False,detail_858,2026-03-22
PN0000188,+15033005149,Automated Reminder Line #88,active,2024-08-25T17:32:00-07:00,True,False,detail_934,2026-08-07
PN0000189,+15034093529,Automated Reminder Line #89,released,2024-02-29T19:56:00-07:00,True,False,detail_126,2026-03-06
PN0000190,+15037588500,Sponsor Concierge #90,active,2025-10-10T13:50:00-07:00,True,False,detail_862,2026-01-18
PN0000191,+15033331916,Automated Reminder Line #91,active,2024-06-20T19:26:00-07:00,True,True,detail_531,2026-10-07
PN0000192,+15036786171,Cedar Ridge Main #92,active,2026-05-31T11:34:00-07:00,True,True,detail_577,2026-01-26
PN0000193,+15035937446,Automated Reminder Line #93,released,2025-11-18T10:29:00-07:00,True,False,detail_959,2026-04-10
PN0000194,+15035846309,Vendor Support #94,released,2025-12-09T12:35:00-07:00,False,True,detail_207,2026-07-01
PN0000195,+15037950246,Raj Patel #95,inactive,2026-09-22T17:46:00-07:00,False,True,detail_306,2026-05-02
PN0000196,+15033375667,Raj Patel #96,inactive,2024-11-10T17:39:00-07:00,True,False,detail_551,2026-01-21
PN0000197,+15032380992,Sponsor Concierge #97,released,2025-12-29T18:58:00-07:00,True,False,detail_990,2026-02-08
PN0000198,+15036578534,Sponsor Concierge #98,released,2025-06-27T20:39:00-07:00,True,False,detail_107,2026-08-02
PN0000199,+15036262969,Automated Reminder Line #99,active,2024-08-09T13:46:00-07:00,False,True,detail_344,2026-07-17
PN0000200,+15039468201,Cedar Ridge Main #100,released,2024-06-27T13:52:00-07:00,False,False,detail_123,2026-05-11
PN0000201,+15037036278,Cedar Ridge Main #101,active,2025-07-31T16:17:00-07:00,False,True,detail_430,2026-09-12
PN0000202,+15039829048,Vendor Support #102,active,2025-07-10T17:36:00-07:00,False,False,detail_338,2026-06-25
PN0000203,+15038473442,Automated Reminder Line #103,inactive,2024-03-19T14:43:00-07:00,False,True,detail_470,2026-09-21
PN0000204,+15034263753,Kids Program Line #104,released,2025-08-11T14:24:00-07:00,False,False,detail_454,2026-02-21
