id,createdTime,Name,Email,Company,Role
recCont0000000001,2025-10-02T08:00:00.000Z,Dr. Sarah Lindström,slindstrom@puget-sound-sci.edu,Puget Sound Institute of Science,Thesis Advisor
recCont0000000002,2025-10-03T08:00:00.000Z,Dr. Marcus Hull,mhull@puget-sound-sci.edu,Puget Sound Institute of Science,Committee Member
recCont0000000003,2025-10-04T08:00:00.000Z,Yolanda Reeves,yreeves@puget-sound-sci.edu,Coastal Ecology Lab,Lab Manager
recCont0000000007,2025-10-08T08:00:00.000Z,Ben Okafor,bokafor@puget-sound-sci.edu,Coastal Ecology Lab,Field Assistant
recCont0000000008,2025-10-09T08:00:00.000Z,Dr. Elena Marsh,elena.marsh@salishseares.org,Salish Sea Research Cooperative,Research Director
recCont0000000009,2025-10-10T08:00:00.000Z,Dr. Aileen Strand,aileen.strand@salishseares.org,Salish Sea Research Cooperative,Postdoc
recCont0000000011,2025-10-12T08:00:00.000Z,Priya Chand,priya.chand.tac@gmail.com,Puget Sound Institute of Science,Cohort
recCont0000000012,2025-10-13T08:00:00.000Z,Denise Albright,dalbright@puget-sound-sci.edu,PSIS Bookstore,Manager
recCont0000000013,2025-10-14T08:00:00.000Z,Grace Okonkwo,g.okonkwo@padillabay.gov,Padilla Bay NERR,Fellowship Coordinator
recCont0000000014,2025-10-15T08:00:00.000Z,Dr. Patricia Vahey,pvahey@pnwmarinesymp.org,PNW Marine Sciences Symposium,Program Chair
recCont0000000015,2025-10-16T08:00:00.000Z,Dr. Lily Forsythe,l.forsythe@seattleaquarium.org,Seattle Aquarium,Conservation Manager
recCont0000000016,2025-10-17T08:00:00.000Z,Robert Vasquez,r.vasquez@dnr.wa.gov,WA DNR,Aquatic Resources
recCont0000000020,2025-10-21T08:00:00.000Z,Jess Okada,jess.okada.wa@gmail.com,PNW Tidepoolers,Naturalist
recCont0000000021,2025-10-22T08:00:00.000Z,Tess Moreau,tmoreau@puget-sound-sci.edu,Coastal Ecology Lab,Undergrad Volunteer
recCont0000000019,2026-01-30T08:00:00.000000Z,Hannah Liu,hliu@ubc-coastal.ca,Puget Sound Institute of Science,Thesis Advisor
recCont0000000022,2025-12-02T08:00:00.000000Z,Owen Brennan,obrennan@ubc-coastal.ca,Puget Sound Institute of Science,Committee Member
recCont0000000023,2025-03-04T08:00:00.000000Z,Sofia Reyes,sreyes@puget-sound-sci.edu,Coastal Ecology Lab,Lab Manager
recCont0000000025,2025-03-21T08:00:00.000000Z,Diego Alvarez,dalvarez@puget-sound-sci.edu,Coastal Ecology Lab,PhD Student
