id,username,name,description,verified,protected,location,profile_image_url,created_at,followers_count,following_count,tweet_count
2001,tidepoolalex,Alex Santos,"marine bio M.S. student in Tacoma 🌊 intertidal inverts, low tides, the occasional sunset. mostly here to watch.",false,false,"Tacoma, WA",https://pbs.twimg.com/profiles/tidepoolalex.jpg,2020-10-18T19:22:00.000Z,47,19,4
2002,kelpforestlab,Kelp Forest Lab,Research lab studying kelp forest and nearshore ecology in the Salish Sea. Tweets by grad students. RTs ≠ endorsements.,false,false,Seattle WA,https://pbs.twimg.com/profiles/kelpforestlab.jpg,2017-02-09T17:00:00.000Z,12480,640,3210
2003,salishseastories,Salish Sea Stories,"Science storytelling from the inland sea. Orcas, bull kelp, herring, and the people who study them.",true,false,Salish Sea,https://pbs.twimg.com/profiles/salishseastories.jpg,2015-12-14T15:30:00.000Z,48210,812,7430
2004,lowtidelens,Mara Quigley,"Intertidal photographer. I get up at 4am so you can see chitons in good light. Olympic Peninsula, WA.",false,false,Port Angeles WA,https://pbs.twimg.com/profiles/lowtidelens.jpg,2018-03-03T20:45:00.000Z,23150,534,4980
2005,drlenacarvalho,Dr. Lena Carvalho,Marine ecologist. Sea star wasting disease + recovery. Professor somewhere rainy. She/her.,true,false,Pacific Northwest,https://pbs.twimg.com/profiles/drlenacarvalho.jpg,2014-11-20T16:10:00.000Z,31870,1105,11240
2007,pnwtidewatch,PNW Tide Watch,"Daily tide windows, king tide alerts, and minus-tide forecasts for Washington and Oregon coasts.",false,false,Washington Coast,https://pbs.twimg.com/profiles/pnwtidewatch.jpg,2019-01-11T18:00:00.000Z,18920,203,9870
2008,seastarwatchorg,SeaStar Watch,Community science program tracking sea star wasting and recovery from Alaska to California. Join a survey!,false,false,West Coast,https://pbs.twimg.com/profiles/seastarwatchorg.jpg,2014-11-06T17:20:00.000Z,27640,451,5320
2009,nudibranchdaily,Nudibranch Daily,One absurdly beautiful sea slug per day. That's it. That's the account.,false,false,the intertidal,https://pbs.twimg.com/profiles/nudibranchdaily.jpg,2020-03-15T21:40:00.000Z,89420,118,2140
2010,cascadiawx,Cascadia Weather Watch,"Forecast threads for western WA and OR. Atmospheric rivers, heat domes, and the eternal drizzle.",true,false,Cascadia,https://pbs.twimg.com/profiles/cascadiawx.jpg,2013-10-02T14:55:00.000Z,112300,390,18760
2011,tacomafoodmap,Tacoma Food Map,Eating my way through Grit City one taco truck at a time. Tips welcome.,false,false,"Tacoma, WA",https://pbs.twimg.com/profiles/tacomafoodmap.jpg,2017-10-22T19:35:00.000Z,9340,780,6120
2012,salishseacoop,Salish Sea Research Cooperative,"Collaborative monitoring and research for a healthier Salish Sea. Reports, data, and field updates.",true,false,Seattle WA,https://pbs.twimg.com/profiles/salishseacoop.jpg,2012-01-19T16:25:00.000Z,21560,342,4450
2013,mossandmadrone,Moss & Madrone,"Slow nature writing from the Pacific Northwest. Essays, field notes, and an unreasonable number of lichen photos.",false,false,Olympia WA,https://pbs.twimg.com/profiles/mossandmadrone.jpg,2017-12-01T20:15:00.000Z,15780,622,3890
2014,drowenfricke,Dr. Owen Fricke,Invertebrate zoologist. Chitons deserve better PR. Museum collections enjoyer.,false,false,Victoria BC,https://pbs.twimg.com/profiles/drowenfricke.jpg,2015-03-28T13:50:00.000Z,8760,934,7210
2015,intertidalintern,Sasha Brandt,field tech. professional rock flipper (i put them back). my waders leak.,false,false,Bellingham WA,https://pbs.twimg.com/profiles/intertidalintern.jpg,2020-12-30T23:10:00.000Z,4210,510,2860
2016,jessokada_wa,Jess Okada,"Naturalist + tide pool walk leader. Ask me about anemone clone wars. WA coast, mostly.",false,false,Olympia WA,https://pbs.twimg.com/profiles/jessokada_wa.jpg,2017-11-17T18:40:00.000Z,2870,640,3340
2017,pugetsoundkayaker,Denny Walsh,Paddling every inlet of the south Sound eventually. Bioluminescence chaser.,false,false,Gig Harbor WA,https://pbs.twimg.com/profiles/pugetsoundkayaker.jpg,2016-02-08T15:05:00.000Z,6540,412,4970
2018,greencrabwatch,Green Crab Watch WA,"Tracking the European green crab invasion in Washington waters. Report sightings, save an estuary.",false,false,Washington State,https://pbs.twimg.com/profiles/greencrabwatch.jpg,2019-03-25T17:45:00.000Z,11230,287,2980
2019,olympiccoastwalks,Olympic Coast Walks,"Trail notes, tide warnings, and beach camping beta for the wild Olympic coast.",false,false,Forks WA,https://pbs.twimg.com/profiles/olympiccoastwalks.jpg,2017-01-12T21:30:00.000Z,13870,356,3650
2020,gradschoolgull,Grad School Gull,"Screaming about academia so you don't have to. Memes, deadlines, despair, repeat.",false,false,a windowless office,https://pbs.twimg.com/profiles/gradschoolgull.jpg,2020-03-09T19:55:00.000Z,67890,201,5210
2021,wholewatershed,Whole Watershed,"Stream-to-sound conservation nonprofit. Salmon recovery, riparian restoration, volunteer days.",false,false,Puyallup WA,https://pbs.twimg.com/profiles/wholewatershed.jpg,2013-10-14T16:00:00.000Z,7820,529,4110
2022,baristabiologist,Theo Park,"Former marine bio undergrad, current coffee person. I still know my barnacles.",false,false,Portland OR,https://pbs.twimg.com/profiles/baristabiologist.jpg,2019-10-05T22:20:00.000Z,1430,377,2090
