id,name,email,description,currency,delinquent,balance,created,phone
cus_edd662a1be10c36a,Chukwuemeka Martinez,emeka.martinez@gmail.com,Retired petroleum engineer,usd,false,0,1768761000,+17135550218
cus_d740de94f7156088,Ngozi Martinez,ngozi.martinez@gmail.com,Retired pharmacist,usd,false,0,1774981800,+17135550225
cus_1ad202554975fc46,Adaeze Martinez,ada.martinez@gmail.com,"Corporate attorney, Blackwood & Associates",usd,false,0,1773426600,+14045550232
cus_e4920d2325b0b322,Obinna Okafor,obinna.okafor@gmail.com,"Financial analyst, Crestfield Capital",usd,false,0,1771871400,+14045550239
cus_cbfd6a6989adeaa2,Kwame Osei,kwame.osei@gmail.com,"Software engineer, Vertex Technologies",usd,false,0,1770316200,+19195550246
cus_00eecb88b0827dd7,Yemi Adeyemi,yemi.adeyemi@gmail.com,"Singer-songwriter, Lagos",usd,false,0,1768761000,+2345550253
cus_cafd8c851ba7a59a,DJ Sage,dj.sage@gmail.com,"Music producer, London",usd,false,0,1767205800,+447700900107
cus_8f33a3882fca127c,Amina Diallo,amina.diallo@gmail.com,"Vocalist, Atlanta",usd,false,0,1765650600,+14045550108
cus_2628fa8889c5d6c9,Marcus Cole,marcus.cole@ashdaletech.com,"CTO, Ashdale Technologies",usd,false,0,1764095400,+19195550260
cus_9a37c3b1bfddf2b5,Chidinma Eze,chidinma.eze@gmail.com,"Cybersecurity professor, Thornfield University",usd,false,0,1762540200,+14045550267
cus_e0cadc78bb93b2d2,Tunde Bakare,tunde.bakare@gmail.com,"A&R, Ridgeline Records",usd,false,0,1760985000,+445550274
cus_01fd657ff1da7fe5,Jimmy Hunt,jimmy.hunt@outlook.com,Customer - Jimmy,usd,false,0,1759429800,(239)448-1048
cus_b2eb82a5f89fbdb5,Dr. Kurt Juarez DDS,dr.kurt.juarez.dds@outlook.com,Customer - Dr.,usd,false,0,1765737000,(336) 691-4472
cus_1ae938e73acbd57e,Amanda Smith,amanda.smith@gmail.com,Customer - Amanda,usd,false,0,1764268200,(518)797-7480
cus_5310dc1cad0753be,Kimberly Brooks,kimberly.brooks@hotmail.com,Customer - Kimberly,usd,false,0,1762713000,(336) 574-2810
cus_0f6894d84b0b2fac,Hannah Barker,hannah.barker@protonmail.com,Customer - Hannah,usd,false,0,1761157800,(704) 883-1195
cus_6b0ad79ddef329f2,Henry Rodriguez,henry.rodriguez@me.com,Customer - Henry,usd,false,0,1759602600,(919) 246-5077
cus_c94ee08c61b3c859,Timothy Johnson,timothy.johnson@gmail.com,Customer - Timothy,usd,false,0,1742149800,(336) 402-9963
cus_e48c4bb3aa1db5ea,Rachel Humphrey,rachel.humphrey@outlook.com,Customer - Rachel,usd,false,0,1740767400,(704) 519-6288
cus_f264480b5afb95d8,Nathan Wilson,nathan.wilson@outlook.com,Customer - Nathan,usd,false,0,1739298600,(336) 763-0148
