Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,AcctNum,Vendor1099
1,Maribel Santos,Rhythm Dance Studio,maribel@rhythmdancestudio.com,(610) 555-0142,1218 Penn Ave,West Reading,PA,19611,0.00,true,V-001,true
2,Nat Taveras,,nat.taveras.dance@gmail.com,(610) 555-0177,,Reading,PA,19601,0.00,true,V-002,true
3,MK Dancewear,MK Dancewear LLC,billing@mkdancewear.com,(215) 555-0184,,Philadelphia,PA,19104,1360.00,true,V-003,false
4,IndieSyncWorks,IndieSyncWorks LLC,licensing@indiesyncworks.com,,,Brooklyn,NY,11201,35.00,true,V-004,false
5,PA Dance Educators Group,PA Dance Educators Group,billing@padanceeducators.org,,,Harrisburg,PA,17101,0.00,true,V-005,false
6,ASCAP,ASCAP,licensing@ascap.com,,,New York,NY,10023,0.00,true,V-006,false
7,DanceMusicLibrary Pro,DanceMusicLibrary Pro,billing@dancemusiclibrary.com,,,,,,0.00,true,V-007,false
8,Notion Labs,Notion Labs Inc,billing@notion.so,,,San Francisco,CA,94103,0.00,true,V-008,false
9,Airtable,Airtable Inc,billing@airtable.com,,,San Francisco,CA,94107,0.00,true,V-009,false
10,HubSpot,HubSpot Inc,billing@hubspot.com,,,Cambridge,MA,02141,0.00,true,V-010,false
11,Mailchimp,Intuit Mailchimp,billing@mailchimp.com,,,Atlanta,GA,30308,0.00,true,V-011,false
12,Salesforce,Salesforce Inc,billing@salesforce.com,,,San Francisco,CA,94105,0.00,true,V-012,false
13,Monday.com,monday.com Ltd,billing@monday.com,,,,,,0.00,true,V-013,false
14,Eventbrite,Eventbrite Inc,billing@eventbrite.com,,,San Francisco,CA,94103,0.00,true,V-014,false
15,First Keystone FCU,First Keystone Federal Credit Union,,,,Reading,PA,19601,0.00,true,V-015,false
10001,Maribel Santos,Rhythm Dance Studio,maribel@rhythmdancestudio.com-e001,(610) 555-0142-e001,1218 Penn Ave,West Reading,PA,19611,0.00,true,V-001,true
10002,Nat Taveras,,nat.taveras.dance@gmail.com-e001,(610) 555-0177-e001,,Reading,PA,19601,0.00,true,V-002,true
10003,MK Dancewear,MK Dancewear LLC,billing@mkdancewear.com-e001,(215) 555-0184-e001,,Philadelphia,PA,19104,1360.00,true,V-003,false
10004,IndieSyncWorks,IndieSyncWorks LLC,licensing@indiesyncworks.com-e001,,,Brooklyn,NY,11201,35.00,true,V-004,false
10005,PA Dance Educators Group,PA Dance Educators Group,billing@padanceeducators.org-e001,,,Harrisburg,PA,17101,0.00,true,V-005,false
10006,ASCAP,ASCAP,licensing@ascap.com-e001,,,New York,NY,10023,0.00,true,V-006,false
10007,DanceMusicLibrary Pro,DanceMusicLibrary Pro,billing@dancemusiclibrary.com-e001,,,,,,0.00,true,V-007,false
10008,Notion Labs,Notion Labs Inc,billing@notion.so-e001,,,San Francisco,CA,94103,0.00,true,V-008,false
10009,Airtable,Airtable Inc,billing@airtable.com-e001,,,San Francisco,CA,94107,0.00,true,V-009,false
10010,HubSpot,HubSpot Inc,billing@hubspot.com-e001,,,Cambridge,MA,02141,0.00,true,V-010,false
10011,Mailchimp,Intuit Mailchimp,billing@mailchimp.com-e001,,,Atlanta,GA,30308,0.00,true,V-011,false
10012,Salesforce,Salesforce Inc,billing@salesforce.com-e001,,,San Francisco,CA,94105,0.00,true,V-012,false
10013,Monday.com,monday.com Ltd,billing@monday.com-e001,,,,,,0.00,true,V-013,false
10014,Eventbrite,Eventbrite Inc,billing@eventbrite.com-e001,,,San Francisco,CA,94103,0.00,true,V-014,false
10015,First Keystone FCU,First Keystone Federal Credit Union,,,,Reading,PA,19601,0.00,true,V-015,false
