id,host_id,topic,type,status,start_time,duration,timezone,join_url,agenda,created_at
mtg_001,usr_001,Compliance Association Webinar,2,waiting,2026-10-20T14:00:00-04:00,60,America/New_York,https://zoom.us/j/mtg_001,BSA/AML regulatory update,2026-10-01T10:00:00-04:00
mtg_002,usr_001,Book Club Video Call,2,waiting,2026-10-15T19:00:00-04:00,90,America/New_York,https://zoom.us/j/mtg_002,The Covenant of Water discussion,2026-10-07T12:00:00-04:00
mtg_00003,usr_001,Check-in,2,ended,2026-03-29T00:00:00-04:00,45,America/New_York,,,2026-01-01
mtg_00004,usr_001,1:1,2,ended,2026-06-25T00:00:00-04:00,30,America/New_York,,,2026-01-01
mtg_00005,usr_001,All Hands,2,ended,2026-03-13T00:00:00-04:00,45,America/New_York,,,2026-01-01
mtg_00006,usr_001,Training,2,ended,2026-07-05T00:00:00-04:00,30,America/New_York,,,2026-01-01
mtg_00007,usr_001,Workshop,2,ended,2026-04-29T00:00:00-04:00,30,America/New_York,,,2026-01-01
mtg_00008,usr_001,Presentation,2,ended,2026-08-29T00:00:00-04:00,45,America/New_York,,,2026-01-01
mtg_00009,usr_001,Debrief,2,ended,2026-07-27T00:00:00-04:00,45,America/New_York,,,2026-01-01
mtg_00010,usr_001,Team Sync,2,ended,2026-08-29T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00011,usr_001,Review,2,ended,2026-06-18T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00012,usr_001,Planning,2,ended,2026-09-28T00:00:00-04:00,45,America/New_York,,,2026-01-01
mtg_00013,usr_001,Check-in,2,ended,2026-05-22T00:00:00-04:00,30,America/New_York,,,2026-01-01
mtg_00014,usr_001,1:1,2,ended,2026-05-09T00:00:00-04:00,30,America/New_York,,,2026-01-01
mtg_00015,usr_001,All Hands,2,ended,2026-05-12T00:00:00-04:00,45,America/New_York,,,2026-01-01
mtg_00016,usr_001,Training,2,ended,2026-05-21T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00017,usr_001,Workshop,2,ended,2026-08-19T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00018,usr_001,Presentation,2,ended,2026-09-28T00:00:00-04:00,30,America/New_York,,,2026-01-01
mtg_00019,usr_001,Debrief,2,ended,2026-04-20T00:00:00-04:00,30,America/New_York,,,2026-01-01
mtg_00020,usr_001,Team Sync,2,ended,2026-08-25T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00021,usr_001,Review,2,ended,2026-09-21T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00022,usr_001,Planning,2,ended,2026-09-02T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00023,usr_001,Check-in,2,ended,2026-01-12T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00024,usr_001,1:1,2,ended,2026-07-11T00:00:00-04:00,30,America/New_York,,,2026-01-01
mtg_00025,usr_001,All Hands,2,ended,2026-07-14T00:00:00-04:00,30,America/New_York,,,2026-01-01
mtg_00026,usr_001,Training,2,ended,2026-02-14T00:00:00-04:00,45,America/New_York,,,2026-01-01
mtg_00027,usr_001,Workshop,2,ended,2026-07-13T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00028,usr_001,Presentation,2,ended,2026-05-08T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00029,usr_001,Debrief,2,ended,2026-07-30T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00030,usr_001,Team Sync,2,ended,2026-07-09T00:00:00-04:00,60,America/New_York,,,2026-01-01
mtg_00031,usr_001,Review,2,ended,2026-01-01T00:00:00-04:00,30,America/New_York,,,2026-01-01
