recipient_id,envelope_id,name,email,recipient_type,status,routing_order,signed_time
R-BICG-2026-001-1,BICG-2026-001,Andrew Pham,andrew.pham@Finthesiss.ai,signer,completed,1,2026-02-12T14:22:00-06:00
R-BICG-2026-001-2,BICG-2026-001,Rob Marinello,rob@brightironcontracting.com,signer,completed,2,2026-02-12T14:22:00-06:00
R-BICG-2026-001-3,BICG-2026-001,COISD Legal,legal@coisd.org,cc,completed,3,2026-02-12T14:22:00-06:00
R-BICG-2026-004-1,BICG-2026-004,Andrew Pham,andrew.pham@Finthesiss.ai,signer,completed,1,2026-04-17T15:33:00-05:00
R-BICG-2026-004-2,BICG-2026-004,Rob Marinello,rob@brightironcontracting.com,signer,completed,2,2026-04-17T15:33:00-05:00
R-BICG-2026-004-3,BICG-2026-004,COISD Legal,legal@coisd.org,cc,completed,3,2026-04-17T15:33:00-05:00
R-BICG-2026-007-1,BICG-2026-007,Andrew Pham,andrew.pham@Finthesiss.ai,signer,completed,1,2026-07-22T13:45:00-05:00
R-BICG-2026-007-2,BICG-2026-007,Rob Marinello,rob@brightironcontracting.com,signer,completed,2,2026-07-22T13:45:00-05:00
R-BICG-2026-007-3,BICG-2026-007,COISD Legal,legal@coisd.org,cc,completed,3,2026-07-22T13:45:00-05:00
R-BICG-2026-011-1,BICG-2026-011,Andrew Pham,andrew.pham@Finthesiss.ai,signer,completed,1,2026-10-30T15:47:00-05:00
R-BICG-2026-011-2,BICG-2026-011,Rob Marinello,rob@brightironcontracting.com,signer,completed,2,2026-10-30T15:47:00-05:00
R-BICG-2026-011-3,BICG-2026-011,COISD Legal,legal@coisd.org,cc,completed,3,2026-10-30T15:47:00-05:00
R-BICG-2026-013-1,BICG-2026-013,Andrew Pham,andrew.pham@Finthesiss.ai,signer,completed,1,2026-08-06T11:30:00-05:00
R-BICG-2026-013-2,BICG-2026-013,Rob Marinello,rob@brightironcontracting.com,signer,completed,2,2026-08-06T11:30:00-05:00
R-BICG-2026-013-3,BICG-2026-013,COISD Legal,legal@coisd.org,cc,completed,3,2026-08-06T11:30:00-05:00
R-BICG-2026-014-1,BICG-2026-014,Andrew Pham,andrew.pham@Finthesiss.ai,signer,completed,1,2026-08-22T14:00:00-05:00
R-BICG-2026-014-2,BICG-2026-014,Rob Marinello,rob@brightironcontracting.com,signer,completed,2,2026-08-22T14:00:00-05:00
R-BICG-2026-014-3,BICG-2026-014,COISD Legal,legal@coisd.org,cc,completed,3,2026-08-22T14:00:00-05:00
R-BICG-2026-015-1,BICG-2026-015,Andrew Pham,andrew.pham@Finthesiss.ai,signer,completed,1,2026-09-04T13:20:00-05:00
R-BICG-2026-015-2,BICG-2026-015,Rob Marinello,rob@brightironcontracting.com,signer,completed,2,2026-09-04T13:20:00-05:00
R-BICG-2026-015-3,BICG-2026-015,COISD Legal,legal@coisd.org,cc,completed,3,2026-09-04T13:20:00-05:00
R-BICG-2026-016-1,BICG-2026-016,Andrew Pham,andrew.pham@Finthesiss.ai,signer,completed,1,2026-09-22T13:11:00-05:00
R-BICG-2026-016-2,BICG-2026-016,Rob Marinello,rob@brightironcontracting.com,signer,completed,2,2026-09-22T13:11:00-05:00
R-BICG-2026-016-3,BICG-2026-016,COISD Legal,legal@coisd.org,cc,completed,3,2026-09-22T13:11:00-05:00
R-BICG-2026-017-1,BICG-2026-017,Andrew Pham,andrew.pham@Finthesiss.ai,signer,completed,1,2026-10-08T11:30:00-05:00
R-BICG-2026-017-2,BICG-2026-017,Rob Marinello,rob@brightironcontracting.com,signer,completed,2,2026-10-08T11:30:00-05:00
R-BICG-2026-017-3,BICG-2026-017,COISD Legal,legal@coisd.org,cc,completed,3,2026-10-08T11:30:00-05:00
R-BICG-2026-018-1,BICG-2026-018,Andrew Pham,andrew.pham@Finthesiss.ai,signer,completed,1,2026-10-23T15:00:00-05:00
R-BICG-2026-018-2,BICG-2026-018,Rob Marinello,rob@brightironcontracting.com,signer,completed,2,2026-10-23T15:00:00-05:00
R-BICG-2026-018-3,BICG-2026-018,COISD Legal,legal@coisd.org,cc,completed,3,2026-10-23T15:00:00-05:00
R-BICG-2026-019-1,BICG-2026-019,Andrew Pham,andrew.pham@Finthesiss.ai,signer,sent,1,
R-BICG-2026-019-2,BICG-2026-019,Rob Marinello,rob@brightironcontracting.com,signer,sent,2,
R-BICG-2026-019-3,BICG-2026-019,COISD Legal,legal@coisd.org,cc,sent,3,
