event_id,email,display_name,response_status,optional,organizer
evt_001,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_001,marcus.webb@Finthesiss.ai,Marcus Webb,accepted,false,true
evt_002,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_004,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_005,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_005,raj.chandrasekaran@Finthesiss.ai,Raj Chandrasekaran,accepted,false,false
evt_006,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,true
evt_006,arjun.malhotra@Finthesiss.ai,Arjun Malhotra,accepted,false,false
evt_006,declan.murray@Finthesiss.ai,Declan Murray,accepted,false,false
evt_006,liam.doyle@Finthesiss.ai,Liam Doyle,tentative,false,false
evt_007,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_007,liam.doyle@Finthesiss.ai,Liam Doyle,accepted,false,false
evt_013,angela.pham@Finthesiss.ai,Angela Pham,tentative,false,false
evt_018,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_018,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_019,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_019,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_020,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_020,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_021,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_021,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_022,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_022,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_023,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_023,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_024,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_024,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_025,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_025,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_026,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_026,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_027,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_027,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_028,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_028,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_029,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_029,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_030,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_030,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_031,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_031,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_032,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_032,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_033,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_033,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_034,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_034,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_035,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_035,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_036,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_036,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_037,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_037,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_038,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_038,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_039,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_039,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_040,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_040,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_041,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_041,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_042,angela.pham@Finthesiss.ai,Angela Pham,accepted,false,false
evt_042,jenny.huang@Finthesiss.ai,Jenny Huang,accepted,false,false
evt_043,liam.doyle@Finthesiss.ai,Marcus Webb,accepted,true,false
evt_044,declan.murray@Finthesiss.ai,Declan Murray,tentative,false,true
