id,name,company,from_name,from_email,subject,member_count,unsubscribe_count,date_created
mailchimp_lists_1000,Mailchimp item 0,company_0,Mailchimp item 0,user0@mailchimp.example,Mailchimp item 0,995,2980,2026-08-01T00:00:00
mailchimp_lists_1001,Mailchimp item 1,company_1,Mailchimp item 1,user1@mailchimp.example,Mailchimp item 1,4665,2694,2026-08-02T06:00:00
mailchimp_lists_1002,Mailchimp item 2,company_2,Mailchimp item 2,user2@mailchimp.example,Mailchimp item 2,4967,3002,2026-08-03T18:00:00
mailchimp_lists_1003,Mailchimp item 3,company_3,Mailchimp item 3,user3@mailchimp.example,Mailchimp item 3,1754,4423,2026-08-04T17:00:00
mailchimp_lists_1004,Mailchimp item 4,company_4,Mailchimp item 4,user4@mailchimp.example,Mailchimp item 4,4112,3697,2026-08-05T14:00:00
mailchimp_lists_1005,Mailchimp item 5,company_5,Mailchimp item 5,user5@mailchimp.example,Mailchimp item 5,4241,1842,2026-08-06T18:00:00
mailchimp_lists_1006,Mailchimp item 6,company_6,Mailchimp item 6,user6@mailchimp.example,Mailchimp item 6,1067,2014,2026-08-07T00:00:00
mailchimp_lists_1007,Mailchimp item 7,company_7,Mailchimp item 7,user7@mailchimp.example,Mailchimp item 7,450,2127,2026-08-08T11:00:00
mailchimp_lists_1008,Mailchimp item 8,company_8,Mailchimp item 8,user8@mailchimp.example,Mailchimp item 8,3174,3263,2026-08-09T10:00:00
mailchimp_lists_1009,Mailchimp item 9,company_9,Mailchimp item 9,user9@mailchimp.example,Mailchimp item 9,648,3488,2026-08-10T20:00:00
mailchimp_lists_1010,Mailchimp item 10,company_10,Mailchimp item 10,user10@mailchimp.example,Mailchimp item 10,96,1601,2026-08-11T16:00:00
mailchimp_lists_1011,Mailchimp item 11,company_11,Mailchimp item 11,user11@mailchimp.example,Mailchimp item 11,4520,3168,2026-08-12T08:00:00
mailchimp_lists_1012,Mailchimp item 12,company_12,Mailchimp item 12,user12@mailchimp.example,Mailchimp item 12,638,4794,2026-08-13T20:00:00
mailchimp_lists_1013,Mailchimp item 13,company_13,Mailchimp item 13,user13@mailchimp.example,Mailchimp item 13,1146,1335,2026-08-14T14:00:00
mailchimp_lists_1014,Mailchimp item 14,company_14,Mailchimp item 14,user14@mailchimp.example,Mailchimp item 14,1879,2439,2026-08-15T01:00:00
mailchimp_lists_1015,Mailchimp item 15,company_15,Mailchimp item 15,user15@mailchimp.example,Mailchimp item 15,1415,660,2026-08-16T11:00:00
mailchimp_lists_1016,Mailchimp item 16,company_16,Mailchimp item 16,user16@mailchimp.example,Mailchimp item 16,4518,4969,2026-08-17T09:00:00
mailchimp_lists_1017,Mailchimp item 17,company_17,Mailchimp item 17,user17@mailchimp.example,Mailchimp item 17,736,2647,2026-08-18T16:00:00
