transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
plaid_transactions_1000,plaid_transactions_1000,1913,iso_currency_code_0,2026-08-01T06:00:00,Plaid item 0,Plaid item 0,category_0,pending_0,payment_channel_0
plaid_transactions_1001,plaid_transactions_1001,4719,iso_currency_code_1,2026-08-02T20:00:00,Plaid item 1,Plaid item 1,category_1,pending_1,payment_channel_1
plaid_transactions_1002,plaid_transactions_1002,4922,iso_currency_code_2,2026-08-03T23:00:00,Plaid item 2,Plaid item 2,category_2,pending_2,payment_channel_2
plaid_transactions_1003,plaid_transactions_1003,2460,iso_currency_code_3,2026-08-04T06:00:00,Plaid item 3,Plaid item 3,category_3,pending_3,payment_channel_3
plaid_transactions_1004,plaid_transactions_1004,1760,iso_currency_code_4,2026-08-05T00:00:00,Plaid item 4,Plaid item 4,category_4,pending_4,payment_channel_4
plaid_transactions_1005,plaid_transactions_1005,3170,iso_currency_code_5,2026-08-06T04:00:00,Plaid item 5,Plaid item 5,category_5,pending_5,payment_channel_5
plaid_transactions_1006,plaid_transactions_1006,2595,iso_currency_code_6,2026-08-07T06:00:00,Plaid item 6,Plaid item 6,category_6,pending_6,payment_channel_6
plaid_transactions_1007,plaid_transactions_1007,1234,iso_currency_code_7,2026-08-08T01:00:00,Plaid item 7,Plaid item 7,category_7,pending_7,payment_channel_7
plaid_transactions_1008,plaid_transactions_1008,4879,iso_currency_code_8,2026-08-09T22:00:00,Plaid item 8,Plaid item 8,category_8,pending_8,payment_channel_8
plaid_transactions_1009,plaid_transactions_1009,3995,iso_currency_code_9,2026-08-10T20:00:00,Plaid item 9,Plaid item 9,category_9,pending_9,payment_channel_9
plaid_transactions_1010,plaid_transactions_1010,732,iso_currency_code_10,2026-08-11T23:00:00,Plaid item 10,Plaid item 10,category_10,pending_10,payment_channel_10
plaid_transactions_1011,plaid_transactions_1011,1273,iso_currency_code_11,2026-08-12T17:00:00,Plaid item 11,Plaid item 11,category_11,pending_11,payment_channel_11
plaid_transactions_1012,plaid_transactions_1012,4566,iso_currency_code_12,2026-08-13T21:00:00,Plaid item 12,Plaid item 12,category_12,pending_12,payment_channel_12
plaid_transactions_1013,plaid_transactions_1013,1927,iso_currency_code_13,2026-08-14T14:00:00,Plaid item 13,Plaid item 13,category_13,pending_13,payment_channel_13
plaid_transactions_1014,plaid_transactions_1014,4697,iso_currency_code_14,2026-08-15T21:00:00,Plaid item 14,Plaid item 14,category_14,pending_14,payment_channel_14
plaid_transactions_1015,plaid_transactions_1015,1297,iso_currency_code_15,2026-08-16T19:00:00,Plaid item 15,Plaid item 15,category_15,pending_15,payment_channel_15
plaid_transactions_1016,plaid_transactions_1016,2316,iso_currency_code_16,2026-08-17T15:00:00,Plaid item 16,Plaid item 16,category_16,pending_16,payment_channel_16
plaid_transactions_1017,plaid_transactions_1017,2802,iso_currency_code_17,2026-08-18T02:00:00,Plaid item 17,Plaid item 17,category_17,pending_17,payment_channel_17
plaid_transactions_1018,plaid_transactions_1018,4962,iso_currency_code_18,2026-08-19T01:00:00,Plaid item 18,Plaid item 18,category_18,pending_18,payment_channel_18
plaid_transactions_1019,plaid_transactions_1019,1589,iso_currency_code_19,2026-08-20T20:00:00,Plaid item 19,Plaid item 19,category_19,pending_19,payment_channel_19
plaid_transactions_1020,plaid_transactions_1020,4,iso_currency_code_20,2026-08-21T13:00:00,Plaid item 20,Plaid item 20,category_20,pending_20,payment_channel_20
plaid_transactions_1021,plaid_transactions_1021,176,iso_currency_code_21,2026-08-22T12:00:00,Plaid item 21,Plaid item 21,category_21,pending_21,payment_channel_21
plaid_transactions_1022,plaid_transactions_1022,129,iso_currency_code_22,2026-08-23T13:00:00,Plaid item 22,Plaid item 22,category_22,pending_22,payment_channel_22
plaid_transactions_1023,plaid_transactions_1023,3518,iso_currency_code_23,2026-08-24T19:00:00,Plaid item 23,Plaid item 23,category_23,pending_23,payment_channel_23
plaid_transactions_1024,plaid_transactions_1024,3024,iso_currency_code_24,2026-08-25T16:00:00,Plaid item 24,Plaid item 24,category_24,pending_24,payment_channel_24
plaid_transactions_1025,plaid_transactions_1025,699,iso_currency_code_25,2026-08-26T16:00:00,Plaid item 25,Plaid item 25,category_25,pending_25,payment_channel_25
plaid_transactions_1026,plaid_transactions_1026,386,iso_currency_code_26,2026-08-27T05:00:00,Plaid item 26,Plaid item 26,category_26,pending_26,payment_channel_26
plaid_transactions_1027,plaid_transactions_1027,1205,iso_currency_code_27,2026-08-28T07:00:00,Plaid item 27,Plaid item 27,category_27,pending_27,payment_channel_27
plaid_transactions_1028,plaid_transactions_1028,1246,iso_currency_code_28,2026-08-29T07:00:00,Plaid item 28,Plaid item 28,category_28,pending_28,payment_channel_28
plaid_transactions_1029,plaid_transactions_1029,1898,iso_currency_code_29,2026-08-30T16:00:00,Plaid item 29,Plaid item 29,category_29,pending_29,payment_channel_29
plaid_transactions_1030,plaid_transactions_1030,3213,iso_currency_code_30,2026-08-31T14:00:00,Plaid item 30,Plaid item 30,category_30,pending_30,payment_channel_30
plaid_transactions_1031,plaid_transactions_1031,3789,iso_currency_code_31,2026-09-01T16:00:00,Plaid item 31,Plaid item 31,category_31,pending_31,payment_channel_31
plaid_transactions_1032,plaid_transactions_1032,3148,iso_currency_code_32,2026-09-02T19:00:00,Plaid item 32,Plaid item 32,category_32,pending_32,payment_channel_32
plaid_transactions_1033,plaid_transactions_1033,3388,iso_currency_code_33,2026-09-03T02:00:00,Plaid item 33,Plaid item 33,category_33,pending_33,payment_channel_33
plaid_transactions_1034,plaid_transactions_1034,764,iso_currency_code_34,2026-09-04T18:00:00,Plaid item 34,Plaid item 34,category_34,pending_34,payment_channel_34
plaid_transactions_1035,plaid_transactions_1035,2570,iso_currency_code_35,2026-09-05T22:00:00,Plaid item 35,Plaid item 35,category_35,pending_35,payment_channel_35
plaid_transactions_1036,plaid_transactions_1036,1248,iso_currency_code_36,2026-09-06T12:00:00,Plaid item 36,Plaid item 36,category_36,pending_36,payment_channel_36
plaid_transactions_1037,plaid_transactions_1037,1106,iso_currency_code_37,2026-09-07T11:00:00,Plaid item 37,Plaid item 37,category_37,pending_37,payment_channel_37
