id,invoice_number,status,recipient_email,amount_value,currency_code,due_date,note
INV2_584D1E1679A7B040,INV-3100,PAID,j.cooper@gmail.com,250.00,USD,2026-01-15,IVF medication co-pay reimbursement â€” Boston IVF cycle Oct-Nov 2026.
INV2_72E19E3E89B70B13,INV-3101,SENT,m.kessler@gmail.com,180.00,USD,2026-01-22,Data visualization print â€” custom statistical graphic for Amberfield Institute display.
INV2_D3A410975D000937,INV-3102,SENT,mike.torres.data@gmail.com,95.00,USD,2026-01-28,"Reimbursement â€” shared hiking gear rental, Mt. Monadnock trip."
INV2_0BF24D707979F7AA,INV-3103,DRAFT,brian.henderson@voissync.ai,320.00,USD,2026-02-01,IVF fertility grant application fee reimbursement â€” RESOLVE grant cycle 2026.
INV2_1C374A4665CFE3C4,INV-3104,DRAFT,m.kessler@gmail.com,145.00,USD,2026-02-10,Data viz consulting â€” biostats chart set for public health course materials.
INV2_F993F389F11068C4,INV-3105,SENT,rebecca.foster@gmail.com,243.44,USD,2027-01-13,Reimbursement - IVF monitoring travel and parking.
INV2_446D8EA8FEE2DEC2,INV-3106,SENT,j.cooper@gmail.com,91.48,USD,2027-04-22,Custom statistical graphic for Amberfield Institute display.
INV2_778BB3DC712255D1,INV-3107,SENT,scott.henderson.law@gmail.com,437.67,USD,2027-03-05,Data visualization consulting - biostats chart set for course materials.
INV2_24AD79ECFB06CF4D,INV-3108,PAID,rebecca.foster@gmail.com,340.10,USD,2027-01-13,Reimbursement - IVF monitoring travel and parking.
INV2_0A9746F8C6A5441D,INV-3109,SENT,mike.torres.data@gmail.com,394.09,USD,2027-04-05,Statistical review honorarium - manuscript methods section.
INV2_2E8DCE58AFA64F40,INV-3110,SENT,scott.henderson.law@gmail.com,379.35,USD,2027-03-26,Guest lecture honorarium - Amberfield public health seminar.
INV2_B6A0B5B75D998BE6,INV-3111,SENT,m.kessler@gmail.com,110.81,USD,2027-02-19,Reimbursement - IVF monitoring travel and parking.
INV2_AE018BF5DB77223B,INV-3112,PAID,m.kessler@gmail.com,381.23,USD,2027-01-18,Custom statistical graphic for Amberfield Institute display.
INV2_CA791DDB4BF0CC0A,INV-3113,DRAFT,brian.henderson@voissync.ai,264.77,USD,2027-05-27,Custom statistical graphic for Amberfield Institute display.
INV2_208C3EF2681D159F,INV-3114,SENT,m.kessler@gmail.com,244.94,USD,2027-01-13,Reimbursement - IVF monitoring travel and parking.
INV2_8256B73DAADE8615,INV-3115,SENT,brian.henderson@voissync.ai,346.35,USD,2027-01-09,Statistical review honorarium - manuscript methods section.
INV2_FFBA1D667E66866D,INV-3116,PAID,scott.henderson.law@gmail.com,430.18,USD,2027-03-24,Statistical review honorarium - manuscript methods section.
INV2_F2D2E388556126B0,INV-3117,SENT,rebecca.foster@gmail.com,222.16,USD,2027-02-05,Custom statistical graphic for Amberfield Institute display.
INV2_82EAFCC32B98F8DE,INV-3118,DRAFT,m.kessler@gmail.com,417.58,USD,2027-05-15,Data visualization consulting - biostats chart set for course materials.
INV2_F63F12292A3F9B33,INV-3119,SENT,j.cooper@gmail.com,328.19,USD,2027-01-05,Reimbursement - IVF monitoring travel and parking.
INV2_7A7237644377286F,INV-3120,SENT,j.cooper@gmail.com,75.89,USD,2027-03-17,Custom statistical graphic for Amberfield Institute display.
INV2_5FF1BBD346E4E98F,INV-3121,DRAFT,j.cooper@gmail.com,132.69,USD,2027-05-09,Data visualization consulting - biostats chart set for course materials.
INV2_828BC50019184731,INV-3122,DRAFT,j.cooper@gmail.com,207.53,USD,2027-01-25,Data visualization consulting - biostats chart set for course materials.
INV2_9E9D7BC55BA57D8F,INV-3123,DRAFT,scott.henderson.law@gmail.com,111.53,USD,2027-02-08,"Reimbursement - shared hiking gear rental, White Mountains trip."
INV2_3641BCF873178A2F,INV-3124,DRAFT,mike.torres.data@gmail.com,144.25,USD,2027-04-06,Statistical review honorarium - manuscript methods section.
