id,name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,start_date,kudos_count,segment_id
7000000010,Monday Basketball - Cambridge YMCA,Basketball,0.0,5400,5400,0.0,2.20,2025-12-15T23:30:00Z,4,
7000000003,Charles River Run,Run,6437.4,1508,1673,9.0,4.83,2025-12-12T10:30:00Z,6,
7000000004,Bike commute - Cambridge,Ride,11141.2,2553,2712,75.0,4.36,2025-12-11T10:30:00Z,4,
7000000011,Monday Basketball - Cambridge YMCA,Basketball,0.0,5400,5400,0.0,2.20,2025-12-08T23:30:00Z,3,
7000000006,Charles River Run,Run,5632.7,1500,1681,20.0,4.77,2025-12-06T10:30:00Z,2,
7000000007,Easy walk - Cambridge,Walk,3584.7,2694,2881,74.0,1.33,2025-12-04T06:00:00Z,4,
7000000009,Charles River Run,Run,6572.2,1455,1590,53.0,4.52,2025-12-02T10:30:00Z,6,
7000000012,Monday Basketball - Cambridge YMCA,Basketball,0.0,5400,5400,0.0,2.20,2025-12-01T23:30:00Z,5,
7000000100,Charles River Run,Run,5.2,1800,1800,12.0,2.85,2026-09-23T10:30:00Z,3,
7000000101,Charles River Run,Run,4.8,1720,1720,12.0,2.85,2026-09-25T10:30:00Z,3,
7000000102,Bike commute - Cambridge,Ride,8.4,1500,1500,12.0,2.85,2026-09-28T10:30:00Z,3,
7000000103,Charles River Run,Run,5.5,1900,1900,12.0,2.85,2026-09-30T10:30:00Z,3,
7000000104,Charles River Long Run,Run,7.3,2650,2650,12.0,2.85,2026-10-03T10:30:00Z,3,
7000000105,Charles River Run,Run,5.1,1780,1780,12.0,2.85,2026-10-05T10:30:00Z,3,
7000000106,Charles River Run,Run,5.3,1810,1810,12.0,2.85,2026-10-08T10:30:00Z,3,
7000000107,Charles River Run,Run,4.5,1650,1650,12.0,2.85,2026-10-12T10:30:00Z,3,
7000000108,Charles River Run,Run,5.0,1750,1750,12.0,2.85,2026-10-15T10:30:00Z,3,
7000000109,Charles River Long Run,Run,7.8,2800,2800,12.0,2.85,2026-10-17T10:30:00Z,3,
7000000110,Charles River Run,Run,4.7,1720,1720,12.0,2.85,2026-10-19T10:30:00Z,3,
7000000111,Charles River Run,Run,5.4,1830,1830,12.0,2.85,2026-10-21T10:30:00Z,3,
7000000200,Easy walk - Cambridge,Walk,4783,2654,2706,18,1.80,2024-01-06T15:30:00Z,6,
7000000201,Monday Basketball - Cambridge YMCA,Basketball,0.0,5400,5611,0.0,2.20,2024-01-11T07:30:00Z,5,
7000000202,Bike commute - Cambridge,Ride,11514,3008,3072,46,3.83,2024-01-16T10:30:00Z,7,2000003
7000000203,Charles River Run,Run,7083,2097,2273,80,3.38,2024-01-19T07:30:00Z,0,2000004
7000000204,Bike commute - Cambridge,Ride,14891,2241,2272,63,6.64,2024-01-23T13:30:00Z,5,2000005
7000000205,Charles River Run,Run,7494,2572,2647,8,2.91,2024-01-27T18:30:00Z,7,2000000
7000000206,Charles River Run,Run,6916,1623,1864,36,4.26,2024-01-29T12:30:00Z,5,2000000
7000000207,Charles River Run,Run,4720,2750,3015,68,1.72,2024-02-02T07:30:00Z,4,2000004
7000000208,Charles River Run,Run,6511,2421,2536,50,2.69,2024-02-07T19:30:00Z,0,2000000
7000000209,Bike commute - Cambridge,Ride,13498,2558,2732,57,5.28,2024-02-11T16:30:00Z,6,2000002
7000000210,Easy walk - Cambridge,Walk,3674,3439,3548,89,1.07,2024-02-13T11:30:00Z,1,
7000000211,Easy walk - Cambridge,Walk,3740,2605,2738,8,1.44,2024-02-15T15:30:00Z,5,
7000000212,Monday Basketball - Cambridge YMCA,Basketball,0.0,5400,5643,0.0,2.20,2024-02-17T14:30:00Z,5,
7000000213,Charles River Run,Run,7262,2591,2851,20,2.80,2024-02-21T19:30:00Z,6,2000000
7000000214,Charles River Run,Run,4829,2494,2533,3,1.94,2024-02-23T19:30:00Z,6,2000000
7000000215,Charles River Run,Run,5603,2372,2510,54,2.36,2024-02-25T08:30:00Z,4,2000004
7000000216,Monday Basketball - Cambridge YMCA,Basketball,0.0,5400,5536,0.0,2.20,2024-02-29T18:30:00Z,6,
7000000217,Charles River Run,Run,7349,1815,1866,51,4.05,2024-03-02T07:30:00Z,1,2000000
7000000218,Charles River Run,Run,4770,1734,1838,32,2.75,2024-03-04T14:30:00Z,5,2000004
7000000219,Monday Basketball - Cambridge YMCA,Basketball,0.0,5400,5604,0.0,2.20,2024-03-06T12:30:00Z,0,
7000000220,Charles River Run,Run,5124,2346,2454,44,2.18,2024-03-09T07:30:00Z,2,2000004
7000000221,Bike commute - Cambridge,Ride,16464,1975,2070,68,8.34,2024-03-12T16:30:00Z,1,2000001
7000000222,Easy walk - Cambridge,Walk,3437,2056,2322,34,1.67,2024-03-14T11:30:00Z,6,
7000000223,Charles River Run,Run,5249,2874,2918,60,1.83,2024-03-16T06:30:00Z,0,2000000
7000000224,Bike commute - Cambridge,Ride,16444,2781,2991,7,5.91,2024-03-19T19:30:00Z,3,2000005
7000000225,Charles River Run,Run,4640,1786,2065,41,2.60,2024-03-22T15:30:00Z,5,2000000
7000000226,Monday Basketball - Cambridge YMCA,Basketball,0.0,5400,5481,0.0,2.20,2024-03-25T14:30:00Z,2,
7000000227,Monday Basketball - Cambridge YMCA,Basketball,0.0,5400,5464,0.0,2.20,2024-03-30T10:30:00Z,7,
7000000228,Charles River Run,Run,5867,2716,2782,88,2.16,2024-04-01T09:30:00Z,6,2000000
