household_id,primary_first,primary_last,spouse_first,street,city,state,zip,phone,email,status,flag_widow,flag_widower,flag_bereaved_2026,last_contact_date,last_contact_type,assigned_deacon,notes
H-0001,Marlene,Threlkeld,,2840 Monroe St,La Center,KY,42053,(270) 555-9872,marlene.threlkeld@gmail.com,active,TRUE,FALSE,FALSE,2026-08-19,call,Bud Osteen,
H-0002,Doris,Gaddis,,2030 Farley Pl,Paducah,KY,42001,(270) 555-1339,doris.gaddis@gmail.com,active,TRUE,FALSE,TRUE,2026-08-01,call,Jean Wilkes,
H-0003,Jerry,Vickers,Sue,4407 Cypress St,Paducah,KY,42001,(270) 555-2149,jerry.vickers@gmail.com,active,FALSE,FALSE,FALSE,2026-09-10,call,Mattie Ruth Sanger,
H-0004,Della,Stovall,,723 Meridian St,Paducah,KY,42001,(270) 555-9424,della.stovall@bellsouth.net,active,TRUE,FALSE,FALSE,2026-08-30,call,Wallace Grimes,
H-0005,Harlan,Hendon,Sue,1109 McCracken Blvd,Paducah,KY,42001,(270) 555-5693,harlan.hendon@gmail.com,homebound,FALSE,FALSE,FALSE,2026-10-13,call,Bud Osteen,
H-0006,Bernice,Draffen,,4320 Old Cairo Rd,Paducah,KY,42001,(270) 555-2877,,active,FALSE,FALSE,FALSE,2026-10-24,visit,Frank Tarpley,
H-0007,Judy,Longmire,,4157 Maple Ave,Kevil,KY,42024,(270) 555-2221,,active,TRUE,FALSE,FALSE,2026-10-06,visit,Frank Tarpley,
H-0008,Gladys,Ridenour,,1344 Elmwood Dr,Paducah,KY,42001,(270) 555-8820,gladys.ridenour@paducah.net,active,TRUE,FALSE,FALSE,2026-08-29,card,Corine Latham,
H-0009,Cecil,Lassiter,,4683 Sunflower Ln,Paducah,KY,42001,(270) 555-7836,,assisted_care,FALSE,TRUE,FALSE,2026-09-01,call,Jean Wilkes,"Uses hearing aid, speak up."
H-0010,James,Dodson,,3936 Madison St,Paducah,KY,42001,(270) 555-9701,,active,FALSE,FALSE,FALSE,2026-11-02,newsletter_only,Mattie Ruth Sanger,
H-0011,Tilden,Roark,Nadine,2917 Shady Lane,La Center,KY,42053,(270) 555-1249,,active,FALSE,FALSE,FALSE,2026-10-21,newsletter_only,Wallace Grimes,
