id,name,real_name,email,is_admin,is_bot,tz,status_text,presence
U_courtney,courtney.harper,Courtney Harper,courtney.harper@finthesiss.ai,0,0,America/New_York,,active
U_denise,denise.holt,Denise Holt,denise.holt@lakeviewmedical.org,1,0,America/New_York,,active
U_natasha,natasha.okonkwo,Natasha Okonkwo,natasha.okonkwo@lakeviewmedical.org,0,0,America/New_York,,active
U_admin,admin,Admin Bot,admin@lakeviewmedical.org,1,1,America/New_York,,active
U_0100,user0,User 0,user0@lakeviewmedical.org,0,0,America/New_York,,away
U_0101,user1,User 1,user1@lakeviewmedical.org,0,0,America/New_York,,active
U_0102,user2,User 2,user2@lakeviewmedical.org,0,0,America/New_York,,away
U_0103,user3,User 3,user3@lakeviewmedical.org,0,0,America/New_York,,active
U_0104,user4,User 4,user4@lakeviewmedical.org,0,0,America/New_York,,away
U_0105,user5,User 5,user5@lakeviewmedical.org,0,0,America/New_York,,active
U_0106,user6,User 6,user6@lakeviewmedical.org,0,0,America/New_York,,away
U_0107,user7,User 7,user7@lakeviewmedical.org,0,0,America/New_York,,away
U_0108,user8,User 8,user8@lakeviewmedical.org,0,0,America/New_York,,active
U_0109,user9,User 9,user9@lakeviewmedical.org,0,0,America/New_York,,away
U_0110,user10,User 10,user10@lakeviewmedical.org,0,0,America/New_York,,away
U_0111,user11,User 11,user11@lakeviewmedical.org,0,0,America/New_York,,active
U_0112,user12,User 12,user12@lakeviewmedical.org,0,0,America/New_York,,active
U_0113,user13,User 13,user13@lakeviewmedical.org,0,0,America/New_York,,away
U_0114,user14,User 14,user14@lakeviewmedical.org,0,0,America/New_York,,active
U_0115,user15,User 15,user15@lakeviewmedical.org,0,0,America/New_York,,active
U_0116,user16,User 16,user16@lakeviewmedical.org,0,0,America/New_York,,away
U_0117,user17,User 17,user17@lakeviewmedical.org,0,0,America/New_York,,away
U_0118,user18,User 18,user18@lakeviewmedical.org,0,0,America/New_York,,active
U_0119,user19,User 19,user19@lakeviewmedical.org,0,0,America/New_York,,active
U_0120,user20,User 20,user20@lakeviewmedical.org,0,0,America/New_York,,active
U_0121,user21,User 21,user21@lakeviewmedical.org,0,0,America/New_York,,away
U_0122,user22,User 22,user22@lakeviewmedical.org,0,0,America/New_York,,away
U_0123,user23,User 23,user23@lakeviewmedical.org,0,0,America/New_York,,away
U_0124,user24,User 24,user24@lakeviewmedical.org,0,0,America/New_York,,active
U_0125,user25,User 25,user25@lakeviewmedical.org,0,0,America/New_York,,away
U_0126,user26,User 26,user26@lakeviewmedical.org,0,0,America/New_York,,away
U_0127,user27,User 27,user27@lakeviewmedical.org,0,0,America/New_York,,away
U_0128,user28,User 28,user28@lakeviewmedical.org,0,0,America/New_York,,away
U_0129,user29,User 29,user29@lakeviewmedical.org,0,0,America/New_York,,active
U_0130,user30,User 30,user30@lakeviewmedical.org,0,0,America/New_York,,away
U_0131,user31,User 31,user31@lakeviewmedical.org,0,0,America/New_York,,away
U_0132,user32,User 32,user32@lakeviewmedical.org,0,0,America/New_York,,away
U_0133,user33,User 33,user33@lakeviewmedical.org,0,0,America/New_York,,away
U_0134,user34,User 34,user34@lakeviewmedical.org,0,0,America/New_York,,active
U_0135,user35,User 35,user35@lakeviewmedical.org,0,0,America/New_York,,active
U_0136,user36,User 36,user36@lakeviewmedical.org,0,0,America/New_York,,active
U_0137,user37,User 37,user37@lakeviewmedical.org,0,0,America/New_York,,away
U_0138,user38,User 38,user38@lakeviewmedical.org,0,0,America/New_York,,active
U_0139,user39,User 39,user39@lakeviewmedical.org,0,0,America/New_York,,active
U_0140,user40,User 40,user40@lakeviewmedical.org,0,0,America/New_York,,active
U_0141,user41,User 41,user41@lakeviewmedical.org,0,0,America/New_York,,away
U_0142,user42,User 42,user42@lakeviewmedical.org,0,0,America/New_York,,away
U_0143,user43,User 43,user43@lakeviewmedical.org,0,0,America/New_York,,active
U_0144,user44,User 44,user44@lakeviewmedical.org,0,0,America/New_York,,active
U_0145,user45,User 45,user45@lakeviewmedical.org,0,0,America/New_York,,active
U_0146,user46,User 46,user46@lakeviewmedical.org,0,0,America/New_York,,away
U_0147,user47,User 47,user47@lakeviewmedical.org,0,0,America/New_York,,active
U_0148,user48,User 48,user48@lakeviewmedical.org,0,0,America/New_York,,away
U_0149,user49,User 49,user49@lakeviewmedical.org,0,0,America/New_York,,active
U_0150,user50,User 50,user50@lakeviewmedical.org,0,0,America/New_York,,active
U_0151,user51,User 51,user51@lakeviewmedical.org,0,0,America/New_York,,away
U_0152,user52,User 52,user52@lakeviewmedical.org,0,0,America/New_York,,active
U_0153,user53,User 53,user53@lakeviewmedical.org,0,0,America/New_York,,away
U_0154,user54,User 54,user54@lakeviewmedical.org,0,0,America/New_York,,away
U_0155,user55,User 55,user55@lakeviewmedical.org,0,0,America/New_York,,active
U_0156,user56,User 56,user56@lakeviewmedical.org,0,0,America/New_York,,away
U_0157,user57,User 57,user57@lakeviewmedical.org,0,0,America/New_York,,away
U_0158,user58,User 58,user58@lakeviewmedical.org,0,0,America/New_York,,away
U_0159,user59,User 59,user59@lakeviewmedical.org,0,0,America/New_York,,active
U_0160,user60,User 60,user60@lakeviewmedical.org,0,0,America/New_York,,away
U_0161,user61,User 61,user61@lakeviewmedical.org,0,0,America/New_York,,away
U_0162,user62,User 62,user62@lakeviewmedical.org,0,0,America/New_York,,active
U_0163,user63,User 63,user63@lakeviewmedical.org,0,0,America/New_York,,active
U_0164,user64,User 64,user64@lakeviewmedical.org,0,0,America/New_York,,active
U_0165,user65,User 65,user65@lakeviewmedical.org,0,0,America/New_York,,active
U_0166,user66,User 66,user66@lakeviewmedical.org,0,0,America/New_York,,away
U_0167,user67,User 67,user67@lakeviewmedical.org,0,0,America/New_York,,active
U_0168,user68,User 68,user68@lakeviewmedical.org,0,0,America/New_York,,away
U_0169,user69,User 69,user69@lakeviewmedical.org,0,0,America/New_York,,away
U_0170,user70,User 70,user70@lakeviewmedical.org,0,0,America/New_York,,active
U_0171,user71,User 71,user71@lakeviewmedical.org,0,0,America/New_York,,active
U_0172,user72,User 72,user72@lakeviewmedical.org,0,0,America/New_York,,away
U_0173,user73,User 73,user73@lakeviewmedical.org,0,0,America/New_York,,away
U_0174,user74,User 74,user74@lakeviewmedical.org,0,0,America/New_York,,away
U_0175,user75,User 75,user75@lakeviewmedical.org,0,0,America/New_York,,active
U_0176,user76,User 76,user76@lakeviewmedical.org,0,0,America/New_York,,active
U_0177,user77,User 77,user77@lakeviewmedical.org,0,0,America/New_York,,away
U_0178,user78,User 78,user78@lakeviewmedical.org,0,0,America/New_York,,active
U_0179,user79,User 79,user79@lakeviewmedical.org,0,0,America/New_York,,active
U_0180,user80,User 80,user80@lakeviewmedical.org,0,0,America/New_York,,away
U_0181,user81,User 81,user81@lakeviewmedical.org,0,0,America/New_York,,active
U_0182,user82,User 82,user82@lakeviewmedical.org,0,0,America/New_York,,active
U_0183,user83,User 83,user83@lakeviewmedical.org,0,0,America/New_York,,away
U_0184,user84,User 84,user84@lakeviewmedical.org,0,0,America/New_York,,active
U_0185,user85,User 85,user85@lakeviewmedical.org,0,0,America/New_York,,away
U_0186,user86,User 86,user86@lakeviewmedical.org,0,0,America/New_York,,away
U_0187,user87,User 87,user87@lakeviewmedical.org,0,0,America/New_York,,active
U_0188,user88,User 88,user88@lakeviewmedical.org,0,0,America/New_York,,away
