id,subject,organizer_name,organizer_address,location,start_date,end_date,is_all_day,is_online,attendees
AAMkAGevt0000001,Sterling Q3 portfolio walk through,Doug Reilly,doug.reilly@sterlingpm.com,1812 Frankford Ave Philadelphia PA,2026-09-08T13:00:00Z,2026-09-08T15:00:00Z,false,false,maria.thornton@sterlingpm.com;emily.porter@Finthesiss.ai
AAMkAGevt0000002,Norris Street estimate walk through,Doug Reilly,doug.reilly@sterlingpm.com,2148 E Norris Street Philadelphia PA,2026-09-14T14:00:00Z,2026-09-14T15:30:00Z,false,false,emily.porter@Finthesiss.ai;kevin.koval@gmail.com
AAMkAGevt0000003,Sterling monthly AP sync,Sandra Petruzzi,sandra.petruzzi@sterlingpm.com,Teams Meeting,2026-09-30T18:00:00Z,2026-09-30T18:30:00Z,false,true,emily.porter@Finthesiss.ai
AAMkAGevt0000004,Norris Street kick off briefing,Doug Reilly,doug.reilly@sterlingpm.com,2148 E Norris Street Philadelphia PA,2026-10-19T13:30:00Z,2026-10-19T14:00:00Z,false,false,emily.porter@Finthesiss.ai;kevin.koval@gmail.com;jake.boyko@gmail.com
AAMkAGevt0000005,Norris Street relief stack install day,Emily Porter,emily.porter@Finthesiss.ai,2148 E Norris Street Philadelphia PA,2026-10-21T12:00:00Z,2026-10-21T22:00:00Z,false,false,kevin.koval@gmail.com;jake.boyko@gmail.com;doug.reilly@sterlingpm.com
AAMkAGevt0000006,Sterling October AP sync,Sandra Petruzzi,sandra.petruzzi@sterlingpm.com,Teams Meeting,2026-10-28T18:00:00Z,2026-10-28T18:30:00Z,false,true,emily.porter@Finthesiss.ai
AAMkAGevt0000007,Riverwards leak assessment unit 4,Paula Harkness,paula.harkness@riverwardsrealty.com,1410 Frankford Ave Philadelphia PA,2026-09-22T15:00:00Z,2026-09-22T16:00:00Z,false,false,emily.porter@Finthesiss.ai
AAMkAGevt0000008,Greene grease trap walk through,David Greene,david.greene@greenerestaurants.com,1623 Front Street Philadelphia PA,2026-09-29T19:00:00Z,2026-09-29T20:00:00Z,false,false,emily.porter@Finthesiss.ai;kevin.koval@gmail.com
AAMkAGevt0000009,HVAC tune-up at Wyoming Lofts,Emily Porter,emily.porter@Finthesiss.ai,Wyoming Ave building,2026-09-11T02:05:00Z,2026-09-11T03:05:00Z,false,false,Wyoming Lofts contact
AAMkAGevt0000010,Crew safety refresher Q4,Emily Porter,emily.porter@Finthesiss.ai,Porter Koval shop,2026-09-14T12:55:00Z,2026-09-14T13:55:00Z,false,false,Kevin Koval
AAMkAGevt0000011,Garden committee October agenda call,Emily Porter,emily.porter@Finthesiss.ai,Online,2026-10-13T18:30:00Z,2026-10-13T19:30:00Z,false,true,Marcus Webb
AAMkAGevt0000012,F-250 brake actuator recall service,Emily Porter,emily.porter@Finthesiss.ai,Castor Ave dealership,2026-08-31T06:20:00Z,2026-08-31T07:20:00Z,false,false,service advisor
AAMkAGevt0000013,Bee inspection city visit,Emily Porter,emily.porter@Finthesiss.ai,Girard Ave backyard,2026-09-29T16:35:00Z,2026-09-29T17:35:00Z,false,false,city inspector
AAMkAGevt0000014,Chess ladder match,Emily Porter,emily.porter@Finthesiss.ai,Fishtown Social Club,2026-10-09T10:40:00Z,2026-10-09T11:40:00Z,false,false,Helena Kovacs
AAMkAGevt0000015,Quarterly book review with Kevin,Emily Porter,emily.porter@Finthesiss.ai,Online,2026-08-06T02:35:00Z,2026-08-06T03:35:00Z,false,true,Kevin Koval
