envelope_id,status,email_subject,sender_name,sender_email,created_time,sent_time,completed_time,template_id
env_001,completed,WFS Carrier Agreement - Southeastern Transport,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-09-01T10:00:00-04:00,2026-09-01T10:00:00-04:00,2026-09-05T14:00:00-04:00,
env_002,sent,FreightFlow Pro SaaS Agreement,Sarah Chen,sales@freightflowpro.com,2026-09-27T14:00:00-04:00,2026-09-27T14:00:00-04:00,,
env_003,completed,Ridgemont Building Supply Q4 Contract,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-09-20T09:00:00-04:00,2026-09-20T09:00:00-04:00,2026-09-22T11:00:00-04:00,
env_0100,completed,Agreement #4,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-07-03T10:00:00-04:00,,,
env_0101,completed,Agreement #5,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-02-13T10:00:00-04:00,,,
env_0102,voided,Agreement #6,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-02-11T10:00:00-04:00,,,
env_0103,sent,Agreement #7,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-05-28T10:00:00-04:00,,,
env_0104,voided,Agreement #8,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-03-12T10:00:00-04:00,,,
env_0105,voided,Agreement #9,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-01-03T10:00:00-04:00,,,
env_0106,completed,Agreement #10,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-07-04T10:00:00-04:00,,,
env_0107,completed,Agreement #11,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-07-23T10:00:00-04:00,,,
env_0108,sent,Agreement #12,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-03-27T10:00:00-04:00,,,
env_0109,voided,Agreement #13,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-02-06T10:00:00-04:00,,,
env_0110,voided,Agreement #14,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-08-02T10:00:00-04:00,,,
env_0111,voided,Agreement #15,Floyd Whitaker,floyd.whitaker@Finthesiss.ai,2026-09-18T10:00:00-04:00,,,
