id,thread_id,to_addr,cc_addr,subject,body,updated_at
draft-0,,self@example.com,,Existing draft 0,Pre-existing draft.,2026-11-01
draft-1,,self@example.com,,Existing draft 1,Pre-existing draft.,2026-11-01
draft-2,,self@example.com,,Existing draft 2,Pre-existing draft.,2026-11-01
draft-3,,self@example.com,,Existing draft 3,Pre-existing draft.,2026-11-01
draft-4,,self@example.com,,Existing draft 4,Pre-existing draft.,2026-11-01
draft-2005,thread-d5,oakley.quinn@example.org,,Follow up note 5,"Draft body placeholder 5, not yet sent.",2026-11-10T09:00:00Z
draft-2006,thread-d6,finley.adams@example.org,,Follow up note 6,"Draft body placeholder 6, not yet sent.",2026-11-10T09:00:00Z
draft-2007,thread-d7,ira.hayes@example.org,,Follow up note 7,"Draft body placeholder 7, not yet sent.",2026-11-10T09:00:00Z
draft-2008,thread-d8,hollis.cole@example.org,,Follow up note 8,"Draft body placeholder 8, not yet sent.",2026-11-10T09:00:00Z
draft-2009,thread-d9,blair.cole@example.org,,Follow up note 9,"Draft body placeholder 9, not yet sent.",2026-11-10T09:00:00Z
draft-2010,thread-d10,cameron.baker@example.org,,Follow up note 10,"Draft body placeholder 10, not yet sent.",2026-11-10T09:00:00Z
draft-2011,thread-d11,finley.ellison@example.org,,Follow up note 11,"Draft body placeholder 11, not yet sent.",2026-11-10T09:00:00Z
draft-2012,thread-d12,uriel.evans@example.org,,Follow up note 12,"Draft body placeholder 12, not yet sent.",2026-11-10T09:00:00Z
draft-2013,thread-d13,yael.ward@example.org,,Follow up note 13,"Draft body placeholder 13, not yet sent.",2026-11-10T09:00:00Z
draft-2014,thread-d14,avery.ford@example.org,,Follow up note 14,"Draft body placeholder 14, not yet sent.",2026-11-10T09:00:00Z
draft-2015,thread-d15,noel.kelly@example.org,,Follow up note 15,"Draft body placeholder 15, not yet sent.",2026-11-10T09:00:00Z
draft-2016,thread-d16,ellis.evans@example.org,,Follow up note 16,"Draft body placeholder 16, not yet sent.",2026-11-10T09:00:00Z
draft-2017,thread-d17,micah.kelly@example.org,,Follow up note 17,"Draft body placeholder 17, not yet sent.",2026-11-10T09:00:00Z
draft-2018,thread-d18,uriel.vance@example.org,,Follow up note 18,"Draft body placeholder 18, not yet sent.",2026-11-10T09:00:00Z
draft-2019,thread-d19,avery.ward@example.org,,Follow up note 19,"Draft body placeholder 19, not yet sent.",2026-11-10T09:00:00Z
draft-2020,thread-d20,adrian.nolan@example.org,,Follow up note 20,"Draft body placeholder 20, not yet sent.",2026-11-10T09:00:00Z
draft-2021,thread-d21,uriel.ellison@example.org,,Follow up note 21,"Draft body placeholder 21, not yet sent.",2026-11-10T09:00:00Z
draft-2022,thread-d22,tatum.xu@example.org,,Follow up note 22,"Draft body placeholder 22, not yet sent.",2026-11-10T09:00:00Z
draft-2023,thread-d23,bailey.young@example.org,,Follow up note 23,"Draft body placeholder 23, not yet sent.",2026-11-10T09:00:00Z
draft-2024,thread-d24,frankie.ford@example.org,,Follow up note 24,"Draft body placeholder 24, not yet sent.",2026-11-10T09:00:00Z
draft-2025,thread-d25,wren.brooks@example.org,,Follow up note 25,"Draft body placeholder 25, not yet sent.",2026-11-10T09:00:00Z
draft-2026,thread-d26,quinn.young@example.org,,Follow up note 26,"Draft body placeholder 26, not yet sent.",2026-11-10T09:00:00Z
draft-2027,thread-d27,tatum.quinn@example.org,,Follow up note 27,"Draft body placeholder 27, not yet sent.",2026-11-10T09:00:00Z
