id,subject,organizer_name,organizer_address,location,start_date,end_date,is_all_day,is_online,attendees
oev_001,Harborview Condos final walkthrough - rescheduled,Dan Mitchell,d.mitchell@milwaukee.gov,"Harborview Condos, Walker's Point",2026-10-08T08:00:00-05:00,2026-10-08T13:00:00-05:00,False,False,jae.chandler@Finthesiss.ai;maria@harborview-walker.com;ryan.omalley.elec@gmail.com
oev_002,Walker's Point Builders - weekly project sync,Tyler Brown,tyler.brown@harborview-walker.com,Microsoft Teams,2026-10-07T15:00:00-05:00,2026-10-07T15:30:00-05:00,False,True,jae.chandler@Finthesiss.ai;tyler.brown@harborview-walker.com
oev_003,Bay View Historic - HPC pre-mob review,Helen Bjornson,h.bjornson1924@gmail.com,2247 S Kinnickinnic Ave,2026-10-29T10:00:00-05:00,2026-10-29T11:30:00-05:00,False,False,jae.chandler@Finthesiss.ai;h.bjornson1924@gmail.com
oe_tganii,Event 8y0u3n,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-04-13T09:00:00,2026-04-13T10:00:00,false,false,
oe_h74lqx,Event t9e5ed,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-01-02T09:00:00,2026-01-02T10:00:00,false,false,
oe_6i6rfk,Event ni6p1o,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-04-19T09:00:00,2026-04-19T10:00:00,false,false,
oe_xfdy5q,Event bv9qmr,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-06-24T09:00:00,2026-06-24T10:00:00,false,false,
oe_z5ymzx,Event 9mpdrk,Jae Chandler,jae.chandler@finthesiss.ai,Office,2027-01-21T09:00:00,2027-01-21T10:00:00,false,false,
oe_xltx28,Event jb20uv,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-11-27T09:00:00,2026-11-27T10:00:00,false,false,
oe_besnnj,Event 4t98it,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-02-23T09:00:00,2026-02-23T10:00:00,false,false,
oe_qrz92p,Event d619is,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-03-08T09:00:00,2026-03-08T10:00:00,false,false,
oe_qul839,Event yq2jqb,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-06-25T09:00:00,2026-06-25T10:00:00,false,false,
oe_rhrdqs,Event weirc4,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-01-11T09:00:00,2026-01-11T10:00:00,false,false,
oe_p8k8kv,Event 3qu7c3,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-04-29T09:00:00,2026-04-29T10:00:00,false,false,
oe_d56cxo,Event covqz1,Jae Chandler,jae.chandler@finthesiss.ai,Site,2026-07-13T09:00:00,2026-07-13T10:00:00,false,false,
oe_kubm1u,Event 4dfq2o,Jae Chandler,jae.chandler@finthesiss.ai,Site,2026-11-09T09:00:00,2026-11-09T10:00:00,false,false,
oe_ous1g3,Event sf830i,Jae Chandler,jae.chandler@finthesiss.ai,Site,2026-07-11T09:00:00,2026-07-11T10:00:00,false,false,
oe_7vt9w5,Event i9faiz,Jae Chandler,jae.chandler@finthesiss.ai,Site,2027-01-27T09:00:00,2027-01-27T10:00:00,false,false,
oe_nqnhqe,Event afpcd4,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-05-08T09:00:00,2026-05-08T10:00:00,false,false,
oe_aen5mo,Event uqcloq,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-10-22T09:00:00,2026-10-22T10:00:00,false,false,
oe_jl9yjr,Event a2py5h,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-05-17T09:00:00,2026-05-17T10:00:00,false,false,
oe_kllcx2,Event t5yteb,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-01-30T09:00:00,2026-01-30T10:00:00,false,false,
oe_0mdx7t,Event 211vyp,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-11-16T09:00:00,2026-11-16T10:00:00,false,false,
oe_n2n2my,Event 5egqcy,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-12-23T09:00:00,2026-12-23T10:00:00,false,false,
oe_6n9bwd,Event ylfh8h,Jae Chandler,jae.chandler@finthesiss.ai,Site,2026-11-25T09:00:00,2026-11-25T10:00:00,false,false,
oe_38nwo6,Event h5u813,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-03-29T09:00:00,2026-03-29T10:00:00,false,false,
oe_jdtwcn,Event 6gh1vc,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-10-02T09:00:00,2026-10-02T10:00:00,false,false,
oe_f79214,Event o1qwea,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-08-01T09:00:00,2026-08-01T10:00:00,false,false,
oe_ygeu32,Event nh373z,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2027-01-17T09:00:00,2027-01-17T10:00:00,false,false,
oe_8ed8l1,Event 03fg79,Jae Chandler,jae.chandler@finthesiss.ai,Site,2026-04-07T09:00:00,2026-04-07T10:00:00,false,false,
oe_7h2kyg,Event ra1n4r,Jae Chandler,jae.chandler@finthesiss.ai,Site,2026-06-13T09:00:00,2026-06-13T10:00:00,false,false,
oe_80z4fn,Event csiw70,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-08-21T09:00:00,2026-08-21T10:00:00,false,false,
oe_3ex797,Event xbcstk,Jae Chandler,jae.chandler@finthesiss.ai,Site,2026-03-29T09:00:00,2026-03-29T10:00:00,false,false,
oe_7h1tss,Event w6x6a8,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-09-18T09:00:00,2026-09-18T10:00:00,false,false,
oe_2opnw4,Event wshxga,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-05-16T09:00:00,2026-05-16T10:00:00,false,false,
oe_isbe4l,Event cfzgai,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-02-24T09:00:00,2026-02-24T10:00:00,false,false,
oe_a1wb9p,Event dekrxk,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-01-20T09:00:00,2026-01-20T10:00:00,false,false,
oe_hxarcr,Event gfskyl,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-10-23T09:00:00,2026-10-23T10:00:00,false,false,
oe_3mpuck,Event 42sw15,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-08-02T09:00:00,2026-08-02T10:00:00,false,false,
oe_h6p06m,Event hnzeqr,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-02-15T09:00:00,2026-02-15T10:00:00,false,false,
oe_o2csmj,Event kdhzqs,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-03-13T09:00:00,2026-03-13T10:00:00,false,false,
oe_4gwsuz,Event gwg1vl,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-05-25T09:00:00,2026-05-25T10:00:00,false,false,
oe_1rtj6x,Event 4lsvy5,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-01-20T09:00:00,2026-01-20T10:00:00,false,false,
oe_1eh2fu,Event fzd51c,Jae Chandler,jae.chandler@finthesiss.ai,Site,2026-01-05T09:00:00,2026-01-05T10:00:00,false,false,
oe_9dtnxf,Event 9zef69,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-12-24T09:00:00,2026-12-24T10:00:00,false,false,
oe_oyqp7y,Event czyerv,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2027-01-30T09:00:00,2027-01-30T10:00:00,false,false,
oe_1fekop,Event y0888z,Jae Chandler,jae.chandler@finthesiss.ai,Site,2026-12-31T09:00:00,2026-12-31T10:00:00,false,false,
oe_fmjqfo,Event 2zd8hz,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-12-23T09:00:00,2026-12-23T10:00:00,false,false,
oe_pgfcfn,Event 0bko0q,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2027-01-21T09:00:00,2027-01-21T10:00:00,false,false,
oe_cckwlu,Event yndq7w,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-02-20T09:00:00,2026-02-20T10:00:00,false,false,
oe_4r3ynj,Event nfcwmz,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-01-07T09:00:00,2026-01-07T10:00:00,false,false,
oe_zye2yp,Event sde580,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-11-01T09:00:00,2026-11-01T10:00:00,false,false,
oe_p3i24g,Event 7bdq73,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-08-17T09:00:00,2026-08-17T10:00:00,false,false,
oe_erzcht,Event dlyqmi,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-05-13T09:00:00,2026-05-13T10:00:00,false,false,
oe_0r88cw,Event 7q8vvi,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-08-08T09:00:00,2026-08-08T10:00:00,false,false,
oe_1m4c2e,Event 83q1d3,Jae Chandler,jae.chandler@finthesiss.ai,Site,2026-05-02T09:00:00,2026-05-02T10:00:00,false,false,
oe_7td7vm,Event jopqb6,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-04-07T09:00:00,2026-04-07T10:00:00,false,false,
oe_of854a,Event psnbip,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-08-14T09:00:00,2026-08-14T10:00:00,false,false,
oe_1o073y,Event i0ea3z,Jae Chandler,jae.chandler@finthesiss.ai,Office,2026-06-19T09:00:00,2026-06-19T10:00:00,false,false,
oe_r5v0un,Event 6s9ug9,Jae Chandler,jae.chandler@finthesiss.ai,Virtual,2026-09-20T09:00:00,2026-09-20T10:00:00,false,false,
