id,name,desc,id_board,id_list,pos,due,closed,member_ids,labels
trc_harborview,Harborview Condos panel upgrade (24-unit),"$85,000 contract; Walker's Point. Final walk Oct 8.",trb_active,trl_inspect,1.0,2026-10-08T08:00:00-05:00,False,trm_jae;trm_ryan;trm_danny;trm_jake,commercial;in-progress;high-priority
trc_bayview,Bay View Historic Home rewire,Full rewire; 2247 S Kinnickinnic; permit BV-2026-0438. Bronze EMT 1st floor per HPC.,trb_active,trl_inprogress,1.0,2026-11-02T07:00:00-06:00,False,trm_jae;trm_ryan,residential;historic;kickoff-nov2
trc_heaton,Heaton callback - kitchen breaker,Warranty visit; spring-2024 install.,trb_active,trl_quoted,1.0,2026-10-09T13:00:00-05:00,False,trm_ryan,warranty;residential
trc_kowalski_solar,Janet Kowalski - solar inquiry,South-facing roof; new asphalt; reached out 2026-09-07.,trb_active,trl_lead,1.0,2026-10-26T09:00:00-05:00,False,trm_jae,lead;solar
trc_nguyen_ev,Jia Nguyen - EV charger circuit,Estimate paid; install scheduled.,trb_active,trl_inprogress,2.0,2026-10-13T09:00:00-05:00,False,trm_jae;trm_danny,residential;ev
trc_yates,Hannah Yates - garage subpanel - balance owed,Half paid; follow-up by Oct 21.,trb_active,trl_punch,1.0,2026-10-21T17:00:00-05:00,False,trm_jae,residential;billing
card_1l9oxtz6,Card m320nl,desc 6vjw7fhl7mr8hwv,board_w7ck,list_zv5q,30720,,true,,green
card_4n5olwya,Card qrtr06,desc 4iio68wnx8z3249,board_51wl,list_3la6,81920,,true,,
card_40abexk5,Card foket8,desc dmf88icw27thoaq,board_ogfc,list_sh7q,53248,,false,,
card_f1f8lprw,Card oaml4h,desc j4k9kwt0vyi0nkw,board_8jzv,list_okxp,75776,,false,,green
card_m7cyduji,Card vtjww2,desc xs368vys9wdyxyt,board_mkwi,list_w1s5,12288,,false,,
card_i2exe685,Card f1xfn9,desc sxmjhp7cwrce9c1,board_on4b,list_jong,99328,,true,,red
card_ak6pvgqm,Card it9qb7,desc qa4fn2sidezyyn7,board_v8hn,list_g8mm,9216,,true,,green
card_0r0goxbm,Card okxcs2,desc yyfvdze284vzzwp,board_mp5e,list_dupi,54272,,false,,yellow
card_u2eore92,Card is4372,desc hpj083c3ymwgndm,board_f1tf,list_ewhf,18432,,false,,green
card_trvkygjd,Card qoncw4,desc pgjmryf22v7f6kh,board_dn6l,list_ne8l,10240,,false,,
card_33ps3pkb,Card f258hj,desc ms0917hab344fmk,board_rync,list_ey8x,60416,,true,,yellow
card_d38z802s,Card onqccb,desc ervv87thhbtxm0w,board_srb0,list_gs46,34816,,true,,green
card_752fb9mn,Card bk8rd0,desc 2q985o8d7wu1gt4,board_hk7z,list_27qq,98304,,true,,red
card_s7peljig,Card 03apdz,desc x3t181qb5ealcoh,board_b6sx,list_yz9w,39936,,false,,yellow
card_f2zs87ta,Card di44wh,desc mcf7ubfxosoakdt,board_yrjm,list_yrw5,86016,,true,,yellow
card_b26a1nsl,Card jjemu1,desc 1x16ifv81ylk65p,board_d650,list_2gb1,80896,,false,,
card_mca9p7b4,Card 7rh0im,desc 0r19yj4gyhhud4d,board_po9v,list_fxtl,20480,,true,,green
card_1jv8c0h2,Card ngu5sb,desc au7d9jgjb2h40s3,board_e2hh,list_98dy,51200,,false,,red
card_d07o5rjh,Card ojqyzu,desc 9fq17ygrreyrsas,board_gnhr,list_xb08,20480,,true,,
card_8f5wqsq2,Card 4elckf,desc zzc6qfx8bhmu5cw,board_hslx,list_er8v,39936,,true,,red
card_21n9t7p7,Card ghik5b,desc igy6gis3lzjo416,board_psq2,list_oo5g,18432,,true,,yellow
card_u7vnaff7,Card cyy8cs,desc 8wc12fmlg5wmm5o,board_e218,list_b7oi,24576,,true,,yellow
card_6lh6a0hg,Card vnexzp,desc ju34ceoi4twsii7,board_vq65,list_z756,96256,,false,,green
card_1vhuvide,Card p6k3ug,desc 4iks8kx741jp53u,board_ny0n,list_ls78,28672,,true,,green
card_kd20uiua,Card r48oso,desc k51s4l1luln7qlu,board_i5yb,list_476v,99328,,false,,yellow
card_qm5nujt3,Card 58d68k,desc 564wl3pii5hzd0u,board_nqxz,list_5qkm,90112,,true,,green
card_60n8ny0h,Card wqejqk,desc d2pcn9y6688huja,board_9lco,list_c5tr,70656,,true,,green
card_yyde88wv,Card dlvsow,desc l5n1dv8evpq9452,board_gys2,list_6rjm,81920,,false,,red
card_11i0in7s,Card tlrupi,desc evi9oxd8c6i6yhc,board_fqni,list_utqn,25600,,true,,red
card_r9w206sk,Card crmwby,desc guk77f7bjfsdl4a,board_e5u3,list_xhso,79872,,true,,
card_5x800eqk,Card mgn0ou,desc cia84v9ynkx8y3g,board_tj5v,list_a44x,63488,,true,,red
card_do64dokw,Card 157vde,desc gmesvyglfjz1242,board_dn1i,list_659q,22528,,true,,yellow
card_po71l4pt,Card y67a3f,desc 3c6tcxtn75gf451,board_mcxc,list_0xdh,84992,,true,,red
card_7d8t9l0e,Card ndolv1,desc rxsg4fsp4e7d592,board_2ohz,list_zgqk,54272,,true,,green
card_h7q8hqj3,Card 2a5z1l,desc ycq2y2d4euchlfj,board_ingd,list_nugl,15360,,false,,red
card_2kfc324n,Card 389afr,desc 8v9ne041n69bets,board_rb2m,list_ikhl,56320,,true,,red
card_d0y4nesk,Card k94ain,desc e9lkjj2dh5lyx5j,board_igsj,list_p3oq,77824,,false,,yellow
card_2z89ra97,Card 5unzh7,desc n5djjwt33grhfea,board_x0n0,list_ifpd,25600,,true,,red
card_3vs1i3ek,Card tfo1pk,desc e0wf21n4ufbx68v,board_vcie,list_s6bc,40960,,false,,yellow
card_h0romltj,Card 0zhjo8,desc kjkdtm0jx1k873e,board_o656,list_t4gx,32768,,true,,
card_5oi3f0d0,Card hpk2tz,desc k6cfmpg3dikyq5k,board_lnsg,list_bneu,4096,,false,,red
card_hdyhiaf0,Card 9ro87p,desc pq5bs44k46h62l7,board_trjo,list_8y0a,93184,,true,,green
card_5ogi0s71,Card 8ml9pr,desc wx9vbz4bsef7t3g,board_mf27,list_5c9s,95232,,true,,
card_jlsbkr8z,Card y1w541,desc a8zd7pfeg460g6s,board_df7f,list_7dmh,92160,,true,,green
card_rw5e32l0,Card z6tc0u,desc pwxc6uvqd457vjq,board_38m7,list_o014,89088,,true,,
card_n8l69vnc,Card laxv46,desc sqy52wd22nkmr40,board_ka9t,list_zbob,97280,,false,,yellow
card_meeptser,Card fd7nu7,desc kb5isempqbi7rpu,board_3obl,list_l1pb,65536,,true,,
card_36g1gqql,Card k8l6fx,desc hqmhzn2wi9hszlc,board_ytnj,list_knso,1024,,true,,yellow
card_044gwf7c,Card zjvoly,desc iqfku8090h8egyz,board_51q4,list_y6rk,61440,,true,,yellow
card_bu5i27rv,Card 4xu90t,desc crg5a1efnruabmf,board_faff,list_syzp,72704,,true,,red
card_6xqjkyxt,Card 1va28k,desc ume1h8eefu658k7,board_ssag,list_qp15,26624,,false,,red
card_scqajctz,Card zmbt9q,desc 7ewebvtugwmz3g8,board_12lw,list_d9jv,48128,,true,,yellow
card_429otmbm,Card xvm59d,desc et1ycj9ocmesy4x,board_ere1,list_b51o,81920,,true,,green
card_8cs2oa04,Card 0dd8c4,desc s5rav5qjshbjo7p,board_r4nr,list_2qvq,12288,,true,,red
card_5opn87bg,Card de5ks0,desc xxc3uksp0t9qeo8,board_fyrl,list_wmkf,79872,,true,,
card_p08wn5cq,Card vd7u86,desc 9rq22b5g097bk4h,board_9as0,list_w1k8,37888,,false,,red
card_c0hkdx4c,Card nxflod,desc 1qwsxjjd12kq26h,board_q1xv,list_6et2,35840,,false,,green
card_0uqcf114,Card uxb9e4,desc 3gskbovlkbxl3g6,board_pd1o,list_kbk7,53248,,false,,yellow
card_zvwm9pmj,Card p4e0rd,desc uprgr9vqhc4iq70,board_ubpj,list_7sew,57344,,false,,yellow
card_gu5yzyn0,Card 415xzu,desc gaa9r2quowzgtgm,board_bsxv,list_smwv,71680,,true,,red
card_zaacfdvu,Card n22f74,desc ksf9pztyu4giocy,board_v0wn,list_7gs3,79872,,false,,yellow
card_p705hfm2,Card p2kwnj,desc 9qduozd2c5mdvo4,board_ul93,list_63y4,17408,,true,,green
card_1eoz5fec,Card 8r3xow,desc yjyrfq3j815yi7p,board_4vqa,list_f8ro,60416,,true,,green
card_y8545n25,Card ileojc,desc kekihx0ji8kpfwy,board_m8bl,list_kkxl,86016,,true,,yellow
card_wlz43o6o,Card 3793l5,desc 05r338y2gtoe730,board_kowv,list_lh5q,28672,,false,,green
card_fbmdttzl,Card js5mfn,desc 9jbhxocnw7403vf,board_iyzv,list_zh3a,79872,,false,,red
card_5x9ffmq9,Card bztj64,desc uxxwz4p1zph5r3e,board_efhq,list_wc8z,14336,,true,,yellow
card_5i2f1gf4,Card djwtjf,desc nv6sxga2kv67fml,board_wovh,list_ua4h,71680,,false,,red
card_wdoilxhj,Card 7naka4,desc n0a4uh07lwjsaa7,board_w87j,list_hddn,73728,,true,,red
card_84sgu3ap,Card axlzah,desc 1ofuix7eezjkscv,board_w50f,list_0gdd,100352,,true,,green
card_ltge1hn7,Card sokiml,desc bzm29w91holzduk,board_y8xj,list_e9nd,35840,,true,,red
card_lgivb12h,Card zssx71,desc v7uma4nw6w4b8l5,board_b3ih,list_t4hm,24576,,true,,red
card_5j11sue0,Card mj70ex,desc vcz7dv4gycuetc6,board_6i4q,list_vpo1,16384,,true,,red
card_5mb9cgqp,Card s3zb4t,desc 5w6ai4vfmr4bis3,board_hq6b,list_y06m,6144,,true,,
card_gcirukm7,Card nrb0g4,desc 38vwo9d2oonv2eq,board_ctg0,list_1dh0,43008,,true,,red
card_l8xiswip,Card he1q1k,desc 76dfrj8o9xe5afq,board_k6lj,list_kvzh,99328,,true,,
card_uidfy3rm,Card 5zjwb4,desc s4z25vzvswog3ff,board_8hm1,list_arvd,74752,,true,,yellow
card_79257z2h,Card pl366s,desc yfr1sw4z9xl56by,board_z07w,list_8pr8,34816,,true,,yellow
card_tlsq3dee,Card yybslz,desc ursyvo7f2lfgx1c,board_ikh6,list_nj2u,68608,,false,,yellow
card_7qsibz6o,Card altfv4,desc ra5h22x71zul4p1,board_6h7z,list_rmq4,67584,,true,,green
card_0dcr36hv,Card t5dumi,desc pgxrsvlcrl51mu7,board_s3ml,list_hloy,74752,,false,,green
card_nufjybrk,Card 1jvks5,desc u0yxkya7ca8xt4e,board_jz96,list_0na2,29696,,false,,red
card_c3gf63ul,Card moanaj,desc uj3o48xqtxzjefp,board_yn9s,list_uvcx,10240,,true,,green
card_dtlweww1,Card sqjt2g,desc z6aru0oemvqrrb2,board_2ebp,list_zxz2,69632,,false,,
card_hldns56m,Card e6mm33,desc dfvogktu92w8lsk,board_mk4u,list_jllv,13312,,true,,
card_8rzbkyop,Card tjgnx1,desc 49u6l5pibmzdrgm,board_xyq3,list_2stq,95232,,false,,green
card_i02w09ne,Card 9a2kgi,desc kvlkytq1l80l9vi,board_swxh,list_tzce,50176,,false,,red
card_8e8y6lio,Card rm2r3k,desc 8k2p0vbh0pbszhr,board_qyrz,list_k639,56320,,true,,green
card_lq4rizwr,Card ubmb1k,desc izktrfpn8opbotn,board_h8pi,list_zmdl,13312,,false,,yellow
card_1d28pkux,Card 5zbhgw,desc 3xlu6jve5a05j4o,board_vim7,list_847i,100352,,false,,green
card_5u83t349,Card xtlt1n,desc 0osj1ituavkpwag,board_ntch,list_a3qk,33792,,false,,
card_j60eq2zz,Card zzaikz,desc uax1sh0slo0m0vv,board_gaiw,list_tm27,11264,,false,,
card_87qffvme,Card d5xizw,desc vh4ncevgk5glgtn,board_u1ck,list_6ice,37888,,false,,green
card_p6m8rqij,Card 2l7ly8,desc ygfqf2vtcsw9621,board_ojxf,list_q8j9,52224,,true,,red
card_4nk1vuts,Card 8ggh4u,desc sd2i3m9h78ae3cn,board_selh,list_owmb,65536,,false,,
card_nvtpjpoo,Card nl2hno,desc la0v73jo7ia40zj,board_0u1e,list_wmpm,20480,,true,,red
card_5956prgn,Card qeasej,desc w4i0np9tvo3tmf7,board_7326,list_636h,5120,,true,,red
card_5sd1xgx4,Card viunu0,desc 4t7c2c6ta9sdz5d,board_3g4m,list_1gn4,87040,,true,,red
card_hn0ii04p,Card xy22uw,desc i01ghtobwk7uaib,board_cb1q,list_2xs6,27648,,false,,red
