event_id,email,display_name,response_status,optional,organizer
evt_ramblers_practice_oct2,james.hoffman@finthesiss.ai,James Hoffman,accepted,False,False
evt_ramblers_practice_oct2,mike.torres.banjo@gmail.com,Mike Torres,accepted,False,True
evt_ramblers_practice_oct2,ellie.pearson.fiddle@gmail.com,Ellie Pearson,accepted,False,False
evt_ramblers_practice_oct2,dave.klein.bass@gmail.com,Dave Klein,tentative,False,False
evt_cascadia_delivery,chef.meyers@cascadiafarmtable.com,Chef Meyers,accepted,False,False
evt_family_dinner_sun,james.hoffman@finthesiss.ai,James Hoffman,accepted,False,False
evt_family_dinner_sun,margaret.hoffman.yak@gmail.com,Margaret Hoffman,accepted,False,False
evt_family_dinner_sun,mark.hoffman.spkn@gmail.com,Mark Hoffman,tentative,False,False
evt_ryan_soccer_oct10,james.hoffman@finthesiss.ai,James Hoffman,tentative,False,False
evt_ryan_soccer_oct10,catherine.hoffman.teach@gmail.com,Catherine Hoffman,accepted,False,True
evt_emily_wsu_openhouse,james.hoffman@finthesiss.ai,James Hoffman,tentative,False,False
evt_emily_wsu_openhouse,catherine.hoffman.teach@gmail.com,Catherine Hoffman,accepted,False,True
evt_ma_rheum_nov17,james.hoffman@finthesiss.ai,James Hoffman,accepted,False,True
evt_ma_rheum_nov17,margaret.hoffman.yak@gmail.com,Margaret Hoffman,accepted,False,False
evt_thanksgiving_prep_nov25,james.hoffman@finthesiss.ai,James Hoffman,accepted,False,False
evt_thanksgiving_prep_nov25,mark.hoffman.spkn@gmail.com,Mark Hoffman,accepted,False,False
evt_thanksgiving_prep_nov25,tyler.hoffman.yak@gmail.com,Tyler Hoffman,accepted,False,False
evt_thanksgiving_day_nov26,james.hoffman@finthesiss.ai,James Hoffman,accepted,False,False
evt_thanksgiving_day_nov26,catherine.hoffman.teach@gmail.com,Catherine Hoffman,accepted,False,False
evt_festival_pumpkin_nov1,mike.torres.banjo@gmail.com,Mike Torres,accepted,False,False
evt_festival_pumpkin_nov1,ellie.pearson.fiddle@gmail.com,Ellie Pearson,accepted,False,False
evt_festival_pumpkin_nov1,dave.klein.bass@gmail.com,Dave Klein,accepted,False,False
evt_anderson_fletcher_wedding_nov14,mike.torres.banjo@gmail.com,Mike Torres,accepted,False,False
evt_anderson_fletcher_wedding_nov14,ellie.pearson.fiddle@gmail.com,Ellie Pearson,accepted,False,False
evt_anderson_fletcher_wedding_nov14,dave.klein.bass@gmail.com,Dave Klein,accepted,False,False
evt_court_hearing_oct25,mark.driscoll@bridwell-mcguire-associates.com,Mark Driscoll Attorney,accepted,False,False
evt_court_hearing_oct25,tom.bridwell.landlord@gmail.com,Tom Bridwell,tentative,True,False
