Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,AcctNum,Vendor1099
1,Blue Wave Pools,Blue Wave Pools LLC,billing@bluewavepools.com,(904) 321-8433,400 Beach Blvd,Jacksonville,FL,32250,499.5,True,ACCT-2000,False
2,Grand Rounds Registration,JHC Grand Rounds,events@jacksonvilleheart.org,(904) 356-1053,800 Prudential Dr,Jacksonville,FL,32207,0.0,True,ACCT-2001,False
3,Woodworking Tools Supply,Rockler Woodworking,orders@rockler.com,(904) 389-5315,Online,Jacksonville,FL,32202,0.0,True,ACCT-2002,False
4,Ramesh Baker,Vendor Corp 000,ramesh.baker@bcbsfl.com,(904) 396-9201,3972 A1A South,Jacksonville,FL,32202,2710.5143606517727,True,ACCT-2003,False
5,Isabel Jones,Vendor Corp 001,isabel.jones@bcbsfl.com,(904) 396-3927,2824 Beach Blvd,Jacksonville,FL,32202,900.3685646281428,True,ACCT-2004,False
6,John Johnson,Vendor Corp 002,john.johnson@gulfcoaststate.edu,(904) 398-9317,6758 Roosevelt Blvd,Jacksonville,FL,32202,285.73390715357573,True,ACCT-2005,False
7,Michael Baker,Vendor Corp 003,michael.baker@aetna.com,(904) 433-2743,8056 San Marco Blvd,Jacksonville,FL,32202,1538.1762320038383,True,ACCT-2006,False
8,Andrew Williams,Vendor Corp 004,andrew.williams@uhc.com,(904) 645-5889,7986 Kings Ave,Jacksonville,FL,32202,1903.869177928266,True,ACCT-2007,False
9,Charles Williams,Vendor Corp 005,charles.williams@jaxheart.org,(904) 722-9317,3602 Blanding Blvd,Jacksonville,FL,32202,1520.4435940153264,True,ACCT-2008,False
10,Paul Brown,Vendor Corp 006,paul.brown@bcbsfl.com,(904) 724-4258,6670 Atlantic Blvd,Jacksonville,FL,32202,455.31080692560454,True,ACCT-2009,False
11,Robert Baker,Vendor Corp 007,robert.baker@yahoo.com,(904) 739-3504,1060 Emerson St,Jacksonville,FL,32202,545.2394002374089,True,ACCT-2010,False
12,Andrew Chen,Vendor Corp 008,andrew.chen@gulfcoaststate.edu,(904) 745-7126,2797 Kernan Blvd,Jacksonville,FL,32202,368.4811680633093,True,ACCT-2011,False
13,Isabel Johnson,Vendor Corp 009,isabel.johnson@stfrancisjax.org,(904) 778-3646,6309 Old St Augustine Rd,Jacksonville,FL,32202,1123.0735816288498,True,ACCT-2012,False
