message_id,conversation_id,direction,from_wa_id,to_wa_id,type,text,template_name,status,sent_at
wa_1,conv_family,inbound,19185550188,19185550142,text,"Jason honey lets do our Tahlequah pottery day on the 4th, Sunday works better for my church schedule",,delivered,2026-09-26T17:00:00-05:00
wa_2,conv_family,outbound,19185550142,19185550188,text,"Sounds good Grandma, I will fix my calendar",,delivered,2026-09-26T18:00:00-05:00
wa_3,conv_family,inbound,19185550155,19185550142,text,Dinner at our place after? Your mother is cooking,,delivered,2026-09-26T19:00:00-05:00
wa_r_0,conv_noah,inbound,19185550170,19185550142,text,Love you,,delivered,2026-09-07T18:00:00-05:00
wa_r_1,conv_noah,inbound,19185550170,19185550142,text,Love you,,delivered,2026-08-21T18:00:00-05:00
wa_r_2,conv_family,inbound,19185550170,19185550142,text,Good hike today,,delivered,2026-09-18T18:00:00-05:00
wa_r_3,conv_family,inbound,19185550188,19185550142,text,Good hike today,,delivered,2026-08-09T18:00:00-05:00
wa_r_4,conv_noah,outbound,19185550142,19185550170,text,Love you,,delivered,2026-08-03T18:00:00-05:00
wa_r_5,conv_noah,inbound,19185550170,19185550142,text,Love you,,delivered,2026-08-03T18:00:00-05:00
wa_r_6,conv_noah,inbound,19185550170,19185550142,text,See you Wednesday,,delivered,2026-09-08T18:00:00-05:00
wa_r_7,conv_family,outbound,19185550142,19185550170,text,Good hike today,,delivered,2026-09-14T18:00:00-05:00
wa_r_8,conv_noah,outbound,19185550142,19185550170,text,See you Wednesday,,delivered,2026-08-07T18:00:00-05:00
wa_r_9,conv_noah,inbound,19185550188,19185550142,text,See you Wednesday,,delivered,2026-08-03T18:00:00-05:00
wa_r_10,conv_family,inbound,19185550170,19185550142,text,See you Wednesday,,delivered,2026-09-06T18:00:00-05:00
wa_r_11,conv_noah,inbound,19185550188,19185550142,text,Dinner at 7,,delivered,2026-09-27T18:00:00-05:00
wa_r_12,conv_family,outbound,19185550142,19185550170,text,Cedar says hi,,delivered,2026-09-21T18:00:00-05:00
wa_r_13,conv_noah,inbound,19185550170,19185550142,text,See you Wednesday,,delivered,2026-08-11T18:00:00-05:00
wa_r_14,conv_family,inbound,19185550188,19185550142,text,Good hike today,,delivered,2026-09-16T18:00:00-05:00
wa_r_15,conv_family,outbound,19185550142,19185550170,text,See you Wednesday,,delivered,2026-08-07T18:00:00-05:00
wa_r_16,conv_noah,outbound,19185550142,19185550170,text,Dinner at 7,,delivered,2026-08-25T18:00:00-05:00
wa_r_17,conv_noah,inbound,19185550188,19185550142,text,Cedar says hi,,delivered,2026-09-26T18:00:00-05:00
wa_r_18,conv_family,inbound,19185550188,19185550142,text,See you Wednesday,,delivered,2026-08-14T18:00:00-05:00
wa_r_19,conv_family,inbound,19185550170,19185550142,text,Cedar says hi,,delivered,2026-09-06T18:00:00-05:00
wa_r_20,conv_family,inbound,19185550188,19185550142,text,Dinner at 7,,delivered,2026-09-18T18:00:00-05:00
wa_r_21,conv_noah,inbound,19185550188,19185550142,text,Cedar says hi,,delivered,2026-08-27T18:00:00-05:00
wa_r_22,conv_family,inbound,19185550188,19185550142,text,Love you,,delivered,2026-08-15T18:00:00-05:00
wa_r_23,conv_family,inbound,19185550170,19185550142,text,Dinner at 7,,delivered,2026-09-01T18:00:00-05:00
wa_r_24,conv_family,inbound,19185550170,19185550142,text,Cedar says hi,,delivered,2026-08-14T18:00:00-05:00
wa_r_25,conv_family,inbound,19185550188,19185550142,text,Dinner at 7,,delivered,2026-09-10T18:00:00-05:00
wa_r_26,conv_noah,inbound,19185550188,19185550142,text,Good hike today,,delivered,2026-09-19T18:00:00-05:00
wa_r_27,conv_noah,inbound,19185550188,19185550142,text,Love you,,delivered,2026-08-09T18:00:00-05:00
wa_r_28,conv_noah,inbound,19185550188,19185550142,text,Good hike today,,delivered,2026-08-05T18:00:00-05:00
wa_r_29,conv_family,outbound,19185550142,19185550170,text,Cedar says hi,,delivered,2026-08-09T18:00:00-05:00
wa_r_30,conv_noah,inbound,19185550170,19185550142,text,Dinner at 7,,delivered,2026-09-19T18:00:00-05:00
wa_r_31,conv_family,inbound,19185550188,19185550142,text,Love you,,delivered,2026-08-04T18:00:00-05:00
wa_r_32,conv_noah,outbound,19185550142,19185550170,text,See you Wednesday,,delivered,2026-08-05T18:00:00-05:00
wa_r_33,conv_family,outbound,19185550142,19185550170,text,Dinner at 7,,delivered,2026-09-21T18:00:00-05:00
wa_r_34,conv_family,inbound,19185550188,19185550142,text,Cedar says hi,,delivered,2026-09-03T18:00:00-05:00
wa_r_35,conv_noah,inbound,19185550170,19185550142,text,See you Wednesday,,delivered,2026-08-17T18:00:00-05:00
wa_r_36,conv_noah,inbound,19185550170,19185550142,text,Cedar says hi,,delivered,2026-09-15T18:00:00-05:00
wa_r_37,conv_family,outbound,19185550142,19185550170,text,Cedar says hi,,delivered,2026-09-19T18:00:00-05:00
wa_r_38,conv_noah,outbound,19185550142,19185550170,text,See you Wednesday,,delivered,2026-09-10T18:00:00-05:00
wa_r_39,conv_noah,inbound,19185550188,19185550142,text,Love you,,delivered,2026-08-23T18:00:00-05:00
wa_r_40,conv_noah,inbound,19185550170,19185550142,text,Dinner at 7,,delivered,2026-08-28T18:00:00-05:00
wa_r_41,conv_noah,outbound,19185550142,19185550170,text,Cedar says hi,,delivered,2026-09-04T18:00:00-05:00
wa_r_42,conv_noah,outbound,19185550142,19185550170,text,See you Wednesday,,delivered,2026-08-20T18:00:00-05:00
wa_r_43,conv_family,outbound,19185550142,19185550170,text,Love you,,delivered,2026-08-07T18:00:00-05:00
wa_r_44,conv_noah,inbound,19185550188,19185550142,text,Love you,,delivered,2026-09-21T18:00:00-05:00
wa_r_45,conv_noah,inbound,19185550170,19185550142,text,See you Wednesday,,delivered,2026-08-17T18:00:00-05:00
wa_r_46,conv_noah,outbound,19185550142,19185550170,text,Love you,,delivered,2026-08-13T18:00:00-05:00
