transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
txn_kc_1001,acc_chk_001,7350.00,USD,2026-10-01,Direct Deposit Payroll,Boston Medical Center,Transfer;Payroll,false,other
txn_kc_1002,acc_chk_001,-2100.00,USD,2026-10-01,Mortgage Payment,Rockland Trust Mortgage,Payment;Mortgage,false,online
txn_kc_1003,acc_chk_001,-420.00,USD,2026-10-01,Property Tax Escrow,City of Boston Escrow,Payment;Escrow,false,online
txn_kc_1004,acc_chk_001,900.00,USD,2026-10-03,Zelle from Ryan Cortez,Ryan Cortez,Transfer;Deposit,false,online
txn_kc_1005,acc_chk_001,-380.00,USD,2026-10-05,Auto Loan Payment,Subaru Motors Finance,Payment;Loan,false,online
txn_kc_1006,acc_chk_001,-155.00,USD,2026-10-06,Auto Insurance,Progressive Insurance,Payment;Insurance,false,online
txn_kc_1007,acc_chk_001,-450.00,USD,2026-10-06,Holy Name Tuition,Holy Name Parish School,Payment;Tuition,false,online
txn_kc_1008,acc_chk_001,-260.00,USD,2026-10-08,Utilities Combined,Eversource,Payment;Utilities,false,online
txn_kc_1009,acc_chk_001,-65.00,USD,2026-10-09,Cell Phone,Verizon Wireless,Payment;Telecom,false,online
txn_kc_1010,acc_chk_001,-70.00,USD,2026-10-09,Internet,Xfinity,Payment;Telecom,false,online
txn_kc_1011,acc_chk_001,-120.00,USD,2026-10-10,Babysitter Ava,Ava Kolesnik,Payment;ChildCare,false,online
txn_kc_1012,acc_chk_001,-120.00,USD,2026-10-13,Babysitter Ava,Ava Kolesnik,Payment;ChildCare,false,online
txn_kc_1013,acc_chk_001,-120.00,USD,2026-10-14,Babysitter Ava,Ava Kolesnik,Payment;ChildCare,false,online
txn_kc_1014,acc_chk_001,-680.00,USD,2026-10-15,Grocery,Roche Bros,Payment;Groceries,false,in store
txn_kc_1015,acc_chk_001,7350.00,USD,2026-10-15,Direct Deposit Payroll,Boston Medical Center,Transfer;Payroll,false,other
txn_kc_1016,acc_chk_001,-150.00,USD,2026-10-16,Holy Name Hockey,Holy Name Bobcats Hockey,Payment;Activities,false,online
txn_kc_1017,acc_chk_001,-80.00,USD,2026-10-16,Chloe Art Class,Roslindale Community Center,Payment;Activities,false,online
