transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
txn_kc_1001,acc_chk_001,-3675.00,USD,2026-10-01,BMC PAYROLL DIRECT DEPOSIT,Boston Medical Center,Payroll,False,other
txn_kc_1002,acc_chk_001,2100.00,USD,2026-10-02,MORTGAGE AUTOPAY WELLS FARGO,Wells Fargo,Mortgage,False,online
txn_kc_1003,acc_chk_001,420.00,USD,2026-10-02,PROPERTY TAX ESCROW,Wells Fargo,Mortgage,False,online
txn_kc_1004,acc_chk_001,-900.00,USD,2026-10-03,INBOUND ZELLE RYAN CORTEZ REF FAMSUP,Zelle,Transfer,False,online
txn_kc_1005,acc_chk_001,70.00,USD,2026-10-04,COMCAST INTERNET,Comcast,Utilities,False,online
txn_kc_1006,acc_chk_001,65.00,USD,2026-10-04,VERIZON WIRELESS,Verizon,Telecommunications,False,online
txn_kc_1007,acc_chk_001,142.00,USD,2026-10-05,EVERSOURCE ELECTRIC,Eversource,Utilities,False,online
txn_kc_1008,acc_chk_001,58.00,USD,2026-10-05,NATIONAL GRID GAS,National Grid,Utilities,False,online
txn_kc_1009,acc_chk_001,184.22,USD,2026-10-06,SHAWS STAR MARKET,Star Market,Groceries,False,in store
txn_kc_1010,acc_chk_001,480.00,USD,2026-10-07,AVA KOLESNIK ZELLE SITTER,Zelle,Childcare,False,online
txn_kc_1011,acc_chk_001,380.00,USD,2026-10-08,SUBARU MOTORS FINANCE PAYMENT,Subaru Motors Finance,Auto,False,online
txn_kc_1012,acc_chk_001,155.00,USD,2026-10-09,GEICO AUTO INSURANCE,Geico,Insurance,False,online
txn_kc_1013,acc_chk_001,450.00,USD,2026-10-10,HOLY NAME PARISH TUITION,Holy Name Parish School,Education,False,online
txn_kc_1014,acc_chk_001,-3675.00,USD,2026-10-15,BMC PAYROLL DIRECT DEPOSIT,Boston Medical Center,Payroll,False,other
txn_kc_1015,acc_chk_001,360.00,USD,2026-10-17,AVA KOLESNIK ZELLE SITTER,Zelle,Childcare,False,online
txn_kc_1016,acc_chk_001,150.00,USD,2026-10-18,HOLY NAME BOBCATS HOCKEY DUES,Holy Name Bobcats,Activities,False,online
txn_kc_1017,acc_chk_001,80.00,USD,2026-10-19,ROSLINDALE COMMUNITY CTR ART,Roslindale Community Center,Activities,False,online
txn_kc_1018,acc_chk_001,25.00,USD,2026-10-20,GIRL SCOUTS TROOP 61045,Girl Scouts,Activities,False,online
txn_kc_1019,acc_chk_001,600.00,USD,2026-10-26,AVA KOLESNIK ZELLE SITTER,Zelle,Childcare,False,online
txn_kc_1020,acc_chk_001,195.00,USD,2026-10-29,STUDENT LOAN SERVICER MOHELA,MOHELA,Loans,False,online
txn_kc_2000,acc_chk_001,15.0,USD,2026-08-01,SHAWS STAR MARKET,Star Market,Groceries,False,in store
txn_kc_2001,acc_chk_001,18.47,USD,2026-08-01,WHOLE FOODS MARKET,Whole Foods,Groceries,False,in store
txn_kc_2002,acc_chk_001,21.94,USD,2026-08-01,STOP AND SHOP,Stop and Shop,Groceries,False,in store
txn_kc_2003,acc_chk_001,25.41,USD,2026-08-01,TRADER JOES,Trader Joes,Groceries,False,in store
txn_kc_2004,acc_chk_001,28.88,USD,2026-08-01,COSTCO WHOLESALE,Costco,Groceries,False,in store
txn_kc_2005,acc_chk_001,-3675.00,USD,2026-08-01,BMC PAYROLL DIRECT DEPOSIT,Boston Medical Center,Payroll,False,other
txn_kc_2006,acc_chk_001,35.82,USD,2026-08-02,SHAWS STAR MARKET,Star Market,Groceries,False,in store
txn_kc_2007,acc_chk_001,39.29,USD,2026-08-02,WHOLE FOODS MARKET,Whole Foods,Groceries,False,in store
txn_kc_2008,acc_chk_001,42.76,USD,2026-08-02,STOP AND SHOP,Stop and Shop,Groceries,False,in store
txn_kc_2009,acc_chk_001,46.23,USD,2026-08-02,TRADER JOES,Trader Joes,Groceries,False,in store
txn_kc_2010,acc_chk_001,49.7,USD,2026-08-02,COSTCO WHOLESALE,Costco,Groceries,False,in store
txn_kc_2011,acc_chk_001,53.17,USD,2026-08-03,SHAWS STAR MARKET,Star Market,Groceries,False,in store
txn_kc_2012,acc_chk_001,56.64,USD,2026-08-03,WHOLE FOODS MARKET,Whole Foods,Groceries,False,in store
txn_kc_2013,acc_chk_001,60.11,USD,2026-08-03,STOP AND SHOP,Stop and Shop,Groceries,False,in store
txn_kc_2014,acc_chk_001,63.58,USD,2026-08-03,TRADER JOES,Trader Joes,Groceries,False,in store
txn_kc_2015,acc_chk_001,67.05,USD,2026-08-03,COSTCO WHOLESALE,Costco,Groceries,False,in store
txn_kc_2016,acc_chk_001,480.00,USD,2026-08-03,AVA KOLESNIK ZELLE SITTER,Zelle,Childcare,False,online
txn_kc_2017,acc_chk_001,73.99,USD,2026-08-04,SHAWS STAR MARKET,Star Market,Groceries,False,in store
txn_kc_2018,acc_chk_001,77.46,USD,2026-08-04,WHOLE FOODS MARKET,Whole Foods,Groceries,False,in store
txn_kc_2019,acc_chk_001,80.93,USD,2026-08-04,STOP AND SHOP,Stop and Shop,Groceries,False,in store
txn_kc_2020,acc_chk_001,84.4,USD,2026-08-04,TRADER JOES,Trader Joes,Groceries,False,in store
txn_kc_2021,acc_chk_001,87.87,USD,2026-08-04,COSTCO WHOLESALE,Costco,Groceries,False,in store
txn_kc_2022,acc_chk_001,91.34,USD,2026-08-05,SHAWS STAR MARKET,Star Market,Groceries,False,in store
txn_kc_2023,acc_chk_001,94.81,USD,2026-08-05,WHOLE FOODS MARKET,Whole Foods,Groceries,False,in store
txn_kc_2024,acc_chk_001,98.28,USD,2026-08-05,STOP AND SHOP,Stop and Shop,Groceries,False,in store
txn_kc_2025,acc_chk_001,101.75,USD,2026-08-05,TRADER JOES,Trader Joes,Groceries,False,in store
txn_kc_2026,acc_chk_001,105.22,USD,2026-08-05,COSTCO WHOLESALE,Costco,Groceries,False,in store
txn_kc_2027,acc_chk_001,108.69,USD,2026-08-06,SHAWS STAR MARKET,Star Market,Groceries,False,in store
txn_kc_2028,acc_chk_001,112.16,USD,2026-08-06,WHOLE FOODS MARKET,Whole Foods,Groceries,False,in store
txn_kc_2029,acc_chk_001,115.63,USD,2026-08-06,STOP AND SHOP,Stop and Shop,Groceries,False,in store
txn_kc_2030,acc_chk_001,119.1,USD,2026-08-06,TRADER JOES,Trader Joes,Groceries,False,in store
txn_kc_2031,acc_chk_001,122.57,USD,2026-08-06,COSTCO WHOLESALE,Costco,Groceries,False,in store
txn_kc_2032,acc_chk_001,126.04,USD,2026-08-07,SHAWS STAR MARKET,Star Market,Groceries,False,in store
txn_kc_2033,acc_chk_001,129.51,USD,2026-08-07,WHOLE FOODS MARKET,Whole Foods,Groceries,False,in store
txn_kc_2034,acc_chk_001,132.98,USD,2026-08-07,STOP AND SHOP,Stop and Shop,Groceries,False,in store
txn_kc_2035,acc_chk_001,136.45,USD,2026-08-07,TRADER JOES,Trader Joes,Groceries,False,in store
txn_kc_2036,acc_chk_001,139.92,USD,2026-08-07,COSTCO WHOLESALE,Costco,Groceries,False,in store
txn_kc_2037,acc_chk_001,143.39,USD,2026-08-08,SHAWS STAR MARKET,Star Market,Groceries,False,in store
txn_kc_2038,acc_chk_001,146.86,USD,2026-08-08,WHOLE FOODS MARKET,Whole Foods,Groceries,False,in store
txn_kc_2039,acc_chk_001,150.33,USD,2026-08-08,STOP AND SHOP,Stop and Shop,Groceries,False,in store
txn_kc_2040,acc_chk_001,153.8,USD,2026-08-08,TRADER JOES,Trader Joes,Groceries,False,in store
