response_id,submitted_at,customer_hint,status,form_id,confirmation_email_sent,linked_order_id,amount_usd
TF-8841,2026-11-24T16:02:00-05:00,Chen household,duplicate_pair,form_hZ8kQ2,true,KIRUS-2026-1128,88.00
TF-8849,2026-11-27T11:18:00-05:00,Adams household,cancelled,form_hZ8kQ2,true,KIRUS-2026-1122,115.00
TF-8902,2026-11-30T19:44:00-05:00,Franklin household,new_order,form_hZ8kQ2,true,KIRUS-2026-1141,115.00
TF-8802,2026-11-22T09:14:00-05:00,Mitchell household,new_order,form_hZ8kQ2,true,KIRUS-2026-1101,85.00
TF-8805,2026-11-22T10:41:00-05:00,Sharma household,new_order,form_hZ8kQ2,true,KIRUS-2026-1104,55.00
TF-8809,2026-11-22T13:27:00-05:00,Baptiste household,new_order,form_hZ8kQ2,true,KIRUS-2026-1108,60.00
TF-8811,2026-11-22T18:03:00-05:00,Rossi household,new_order,form_hZ8kQ2,true,KIRUS-2026-1110,96.00
TF-8815,2026-11-23T08:52:00-05:00,Chen M household,new_order,form_hZ8kQ2,true,KIRUS-2026-1112,52.00
TF-8818,2026-11-23T12:19:00-05:00,Washington household,new_order,form_hZ8kQ2,true,KIRUS-2026-1115,58.00
TF-8820,2026-11-23T14:44:00-05:00,Cohen household,new_order,form_hZ8kQ2,true,KIRUS-2026-1116,145.00
TF-8823,2026-11-23T20:10:00-05:00,O'Brien household,new_order,form_hZ8kQ2,true,KIRUS-2026-1118,48.00
TF-8830,2026-11-24T09:36:00-05:00,Ng household,new_order,form_hZ8kQ2,true,KIRUS-2026-1119,54.00
TF-8833,2026-11-24T11:02:00-05:00,Alvarez household,new_order,form_hZ8kQ2,true,KIRUS-2026-1120,42.00
TF-8840,2026-11-24T15:48:00-05:00,Park household,new_order,form_hZ8kQ2,true,KIRUS-2026-1124,50.00
TF-8845,2026-11-24T17:29:00-05:00,Torres household,new_order,form_hZ8kQ2,true,KIRUS-2026-1125,104.00
TF-8847,2026-11-24T19:11:00-05:00,Russo household,new_order,form_hZ8kQ2,true,KIRUS-2026-1127,54.00
TF-8842,2026-11-24T16:05:00-05:00,Chen household,resubmission,form_hZ8kQ2,false,KIRUS-2026-1131,88.00
TF-8860,2026-11-25T08:22:00-05:00,Hassan household,new_order,form_hZ8kQ2,true,KIRUS-2026-1132,90.00
TF-8863,2026-11-25T10:47:00-05:00,Lee household,new_order,form_hZ8kQ2,true,KIRUS-2026-1135,115.00
