id,invoice_number,status,recipient_email,amount_value,currency_code,due_date,note
PPINV00000,PP-00000,PAID,buyer0@example.com,60.00,CAD,2026-02-01,Invoice 0
PPINV00001,PP-00001,PAID,buyer1@example.com,60.00,CAD,2026-02-02,Invoice 1
PPINV00002,PP-00002,PAID,buyer2@example.com,60.00,CAD,2026-02-03,Invoice 2
PPINV00003,PP-00003,PAID,buyer3@example.com,60.00,CAD,2026-02-04,Invoice 3
PPINV00004,PP-00004,PAID,buyer4@example.com,60.00,CAD,2026-02-05,Invoice 4
PPINV00005,PP-00005,PAID,buyer5@example.com,60.00,CAD,2026-02-06,Invoice 5
PPINV00006,PP-00006,PAID,buyer6@example.com,60.00,CAD,2026-02-07,Invoice 6
PPINV00007,PP-00007,PAID,buyer7@example.com,120.00,CAD,2026-02-08,Invoice 7
PPINV00008,PP-00008,PAID,buyer8@example.com,60.00,CAD,2026-02-09,Invoice 8
PPINV00009,PP-00009,PAID,buyer9@example.com,120.00,CAD,2026-02-10,Invoice 9
PPINV00010,PP-00010,PAID,buyer10@example.com,60.00,CAD,2026-02-11,Invoice 10
PPINV00011,PP-00011,PAID,buyer11@example.com,120.00,CAD,2026-02-12,Invoice 11
PPINV00012,PP-00012,PAID,buyer12@example.com,25.00,CAD,2026-02-13,Invoice 12
PPINV00013,PP-00013,PAID,buyer13@example.com,60.00,CAD,2026-02-14,Invoice 13
PPINV00014,PP-00014,PAID,buyer14@example.com,120.00,CAD,2026-02-15,Invoice 14
PPINV00015,PP-00015,PAID,buyer15@example.com,25.00,CAD,2026-02-16,Invoice 15
PPINV00016,PP-00016,PAID,buyer16@example.com,120.00,CAD,2026-02-17,Invoice 16
PPINV00017,PP-00017,PAID,buyer17@example.com,120.00,CAD,2026-02-18,Invoice 17
PPINV00018,PP-00018,PAID,buyer18@example.com,60.00,CAD,2026-02-19,Invoice 18
PPINV00019,PP-00019,PAID,buyer19@example.com,60.00,CAD,2026-02-20,Invoice 19
PPINV00020,PP-00020,PAID,buyer20@example.com,25.00,CAD,2026-02-21,Invoice 20
PPINV00021,PP-00021,PAID,buyer21@example.com,25.00,CAD,2026-02-22,Invoice 21
PPINV00022,PP-00022,PAID,buyer22@example.com,60.00,CAD,2026-02-23,Invoice 22
PPINV00023,PP-00023,PAID,buyer23@example.com,60.00,CAD,2026-02-24,Invoice 23
PPINV00024,PP-00024,PAID,buyer24@example.com,60.00,CAD,2026-02-25,Invoice 24
