account_id,name,official_name,mask,type,subtype,available,current,limit,iso_currency_code
plaid-chq,Everyday Chequing,Personal Chequing,4021,depository,checking,4200.55,4200.55,,CAD
plaid-sav,Savings,High Interest Savings,8890,depository,savings,42000.0,42000.0,,CAD
plaid-rsp,RRSP Joint,Registered Retirement,1123,investment,retirement,85000.0,85000.0,,CAD
plaid-resp,RESP,Education Savings,5567,investment,education,48000.0,48000.0,,CAD
plaid-acct-00004,Account 4,Personal Account 4,8989,depository,savings,6772.37,9404.87,11881.06,CAD
plaid-acct-00005,Account 5,Personal Account 5,9937,credit,checking,13979.52,1087.6,14467.89,CAD
plaid-acct-00006,Account 6,Personal Account 6,3774,depository,savings,9785.82,1175.83,7642.62,CAD
plaid-acct-00007,Account 7,Personal Account 7,4265,credit,checking,2245.7,2935.91,,CAD
plaid-acct-00008,Account 8,Personal Account 8,8859,credit,credit card,6783.78,5367.77,,CAD
plaid-acct-00009,Account 9,Personal Account 9,5335,depository,checking,1758.83,10748.17,,CAD
plaid-acct-00010,Account 10,Personal Account 10,9094,credit,savings,978.27,12101.59,4620.48,CAD
plaid-acct-00011,Account 11,Personal Account 11,8052,credit,savings,12559.42,1833.09,,CAD
plaid-acct-00012,Account 12,Personal Account 12,1817,depository,savings,11560.89,5455.84,,CAD
plaid-acct-00013,Account 13,Personal Account 13,5122,credit,credit card,8824.43,2417.17,,CAD
plaid-acct-00014,Account 14,Personal Account 14,1431,credit,credit card,11378.13,10576.16,18113.95,CAD
plaid-acct-00015,Account 15,Personal Account 15,9904,credit,credit card,10124.61,4173.11,18104.72,CAD
plaid-acct-00016,Account 16,Personal Account 16,7289,depository,credit card,7899.7,8378.93,,CAD
plaid-acct-00017,Account 17,Personal Account 17,2734,depository,credit card,7820.36,8545.28,,CAD
plaid-acct-00018,Account 18,Personal Account 18,2021,credit,savings,5200.72,6211.77,,CAD
plaid-acct-00019,Account 19,Personal Account 19,2561,credit,checking,10178.7,4361.94,15293.96,CAD
plaid-acct-00020,Account 20,Personal Account 20,5760,depository,credit card,10247.75,531.35,15675.6,CAD
plaid-acct-00021,Account 21,Personal Account 21,2175,depository,savings,9384.13,14539.27,,CAD
