id,list_id,type,status,subject_line,from_name,reply_to,title,emails_sent,send_time,create_time
cmp_001,lst_mc_personal,regular,sent,Wildlife photo print sale - 30% off,Midori Kelley,midori.kelley@voissync.ai,Print sale Oct 2026,80,2026-10-04T16:00:00Z,2026-09-30T12:00:00Z
cmp_002,lst_mc_personal,regular,sent,GRE study group spaces open (Nov 1),Midori Kelley,midori.kelley@voissync.ai,GRE group Nov 2026,80,2026-10-22T16:00:00Z,2026-10-18T11:00:00Z
cmp_003,lst_mc_personal,regular,draft,Smith Rock day trip Nov 7 - RSVP,Midori Kelley,midori.kelley@voissync.ai,Smith Rock day Nov 7,0,,2026-10-21T18:00:00Z
cmp_0001,lst_mc_personal,regular,sent,Trail ride meetup - who's in? (Nov 2026),Midori Kelley,midori.kelley@voissync.ai,Trail meetup Nov 2026,80,2026-11-29T16:00:00.000Z,2026-11-25T12:00:00.000Z
cmp_0002,lst_mc_personal,regular,sent,GRE study group spaces open (Apr 2026),Midori Kelley,midori.kelley@voissync.ai,GRE group Apr 2026,80,2026-04-17T16:00:00.000Z,2026-04-13T12:00:00.000Z
cmp_0003,lst_mc_personal,regular,sent,Trail ride meetup - who's in? (Jan 2026),Midori Kelley,midori.kelley@voissync.ai,Trail meetup Jan 2026,80,2026-01-08T16:00:00.000Z,2026-01-04T12:00:00.000Z
cmp_0004,lst_mc_personal,regular,sent,Year in review - thank you (Jul 2026),Midori Kelley,midori.kelley@voissync.ai,Year in review Jul 2026,80,2026-07-14T16:00:00.000Z,2026-07-10T12:00:00.000Z
cmp_0005,lst_mc_personal,regular,sent,Year in review - thank you (Jun 2025),Midori Kelley,midori.kelley@voissync.ai,Year in review Jun 2025,80,2025-06-14T16:00:00.000Z,2025-06-10T12:00:00.000Z
cmp_0006,lst_mc_personal,regular,sent,Trail ride meetup - who's in? (Jun 2026),Midori Kelley,midori.kelley@voissync.ai,Trail meetup Jun 2026,80,2026-06-09T16:00:00.000Z,2026-06-05T12:00:00.000Z
cmp_0007,lst_mc_personal,regular,sent,Year in review - thank you (Jun 2025),Midori Kelley,midori.kelley@voissync.ai,Year in review Jun 2025,80,2025-06-19T16:00:00.000Z,2025-06-15T12:00:00.000Z
cmp_0008,lst_mc_personal,regular,sent,Spring barrel clinic interest list (Dec 2026),Midori Kelley,midori.kelley@voissync.ai,Spring clinic Dec 2026,80,2026-12-22T16:00:00.000Z,2026-12-18T12:00:00.000Z
cmp_0009,lst_mc_personal,regular,sent,Trail ride meetup - who's in? (Jun 2025),Midori Kelley,midori.kelley@voissync.ai,Trail meetup Jun 2025,80,2025-06-29T16:00:00.000Z,2025-06-25T12:00:00.000Z
cmp_0010,lst_mc_personal,regular,sent,Spring barrel clinic interest list (Jan 2026),Midori Kelley,midori.kelley@voissync.ai,Spring clinic Jan 2026,80,2026-01-11T16:00:00.000Z,2026-01-07T12:00:00.000Z
cmp_0011,lst_mc_personal,regular,sent,Holiday card photo sessions (Oct 2026),Midori Kelley,midori.kelley@voissync.ai,Holiday minis Oct 2026,80,2026-10-18T16:00:00.000Z,2026-10-14T12:00:00.000Z
cmp_0012,lst_mc_personal,regular,draft,Smith Rock day trip - RSVP (Aug 2026),Midori Kelley,midori.kelley@voissync.ai,Smith Rock day Aug 2026,0,,2026-08-02T12:00:00.000Z
cmp_0013,lst_mc_personal,regular,sent,Holiday card photo sessions (Jan 2026),Midori Kelley,midori.kelley@voissync.ai,Holiday minis Jan 2026,80,2026-01-11T16:00:00.000Z,2026-01-07T12:00:00.000Z
cmp_0014,lst_mc_personal,regular,sent,Year in review - thank you (Nov 2025),Midori Kelley,midori.kelley@voissync.ai,Year in review Nov 2025,80,2025-11-30T16:00:00.000Z,2025-11-26T12:00:00.000Z
cmp_0015,lst_mc_personal,regular,sent,Spring barrel clinic interest list (Apr 2026),Midori Kelley,midori.kelley@voissync.ai,Spring clinic Apr 2026,80,2026-05-01T16:00:00.000Z,2026-04-27T12:00:00.000Z
cmp_0016,lst_mc_personal,regular,sent,Spring barrel clinic interest list (Jul 2026),Midori Kelley,midori.kelley@voissync.ai,Spring clinic Jul 2026,80,2026-07-28T16:00:00.000Z,2026-07-24T12:00:00.000Z
cmp_0017,lst_mc_personal,regular,sent,New pronghorn prints in the shop (Jun 2025),Midori Kelley,midori.kelley@voissync.ai,New prints Jun 2025,80,2025-06-28T16:00:00.000Z,2025-06-24T12:00:00.000Z
cmp_0018,lst_mc_personal,regular,sent,Year in review - thank you (Aug 2026),Midori Kelley,midori.kelley@voissync.ai,Year in review Aug 2026,80,2026-08-28T16:00:00.000Z,2026-08-24T12:00:00.000Z
cmp_0019,lst_mc_personal,regular,sent,New pronghorn prints in the shop (Mar 2026),Midori Kelley,midori.kelley@voissync.ai,New prints Mar 2026,80,2026-03-30T16:00:00.000Z,2026-03-26T12:00:00.000Z
cmp_0020,lst_mc_personal,regular,draft,Wildlife photo print sale - 30% off (Jan 2026),Midori Kelley,midori.kelley@voissync.ai,Print sale Jan 2026,0,,2026-01-15T12:00:00.000Z
cmp_0021,lst_mc_personal,regular,draft,Wildlife photo print sale - 30% off (Aug 2026),Midori Kelley,midori.kelley@voissync.ai,Print sale Aug 2026,0,,2026-08-17T12:00:00.000Z
cmp_0022,lst_mc_personal,regular,draft,Trail ride meetup - who's in? (Jan 2027),Midori Kelley,midori.kelley@voissync.ai,Trail meetup Jan 2027,0,,2027-01-19T12:00:00.000Z
cmp_0023,lst_mc_personal,regular,sent,GRE study group spaces open (Mar 2026),Midori Kelley,midori.kelley@voissync.ai,GRE group Mar 2026,80,2026-03-11T16:00:00.000Z,2026-03-07T12:00:00.000Z
cmp_0024,lst_mc_personal,regular,draft,New pronghorn prints in the shop (Mar 2026),Midori Kelley,midori.kelley@voissync.ai,New prints Mar 2026,0,,2026-03-07T12:00:00.000Z
cmp_0025,lst_mc_personal,regular,sent,Trail ride meetup - who's in? (May 2026),Midori Kelley,midori.kelley@voissync.ai,Trail meetup May 2026,80,2026-05-28T16:00:00.000Z,2026-05-24T12:00:00.000Z
cmp_0026,lst_mc_personal,regular,draft,Holiday card photo sessions (Mar 2026),Midori Kelley,midori.kelley@voissync.ai,Holiday minis Mar 2026,0,,2026-03-02T12:00:00.000Z
cmp_0027,lst_mc_personal,regular,sent,Trail ride meetup - who's in? (Sep 2026),Midori Kelley,midori.kelley@voissync.ai,Trail meetup Sep 2026,80,2026-09-08T16:00:00.000Z,2026-09-04T12:00:00.000Z
