transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
txn-pend-01,acc-chk-001,-1250.00,USD,2026-10-22,Deposit Denise Newton transmission service,Denise Newton,Transfer;Deposit,true,other
txn-pend-02,acc-chk-001,1500.00,USD,2026-10-22,ACH Grand River Hall deposit,Grand River Hall,Payment;Rent,true,online
txn-set-03,acc-chk-001,2800.00,USD,2026-10-01,Shop lease payment,Rosedale Property Mgmt,Payment;Rent,false,online
txn-set-04,acc-chk-001,-3400.00,USD,2026-10-03,Card settlement batch,Square,Transfer;Deposit,false,online
txn-set-05,acc-chk-001,1840.00,USD,2026-10-05,AutoZone Pro parts,AutoZone Pro,Shops;Automotive,false,online
txn-set-06,acc-chk-001,9600.00,USD,2026-10-06,Payroll run,Gusto,Payment;Payroll,false,online
txn-set-07,acc-sav-002,-1000.00,USD,2026-10-02,Transfer to savings,Internal Transfer,Transfer,false,other
txn-set-08,acc-chk-001,-4750.00,USD,2026-10-08,PayPal donations sweep,PayPal,Transfer;Deposit,false,online
txn-set-0100,acc-chk-001,20.0,USD,2026-09-01,Vendor Purchase 0,Merchant 0,Shops;Automotive,false,in store
txn-set-0101,acc-sav-002,21.5,USD,2026-09-02,Vendor Purchase 1,Merchant 1,Shops;Automotive,false,in store
txn-set-0102,acc-chk-001,23.0,USD,2026-09-03,Vendor Purchase 2,Merchant 2,Shops;Automotive,false,in store
txn-set-0103,acc-sav-002,24.5,USD,2026-09-04,Vendor Purchase 3,Merchant 3,Shops;Automotive,false,in store
txn-set-0104,acc-chk-001,26.0,USD,2026-09-05,Vendor Purchase 4,Merchant 4,Shops;Automotive,false,in store
txn-set-0105,acc-sav-002,27.5,USD,2026-09-06,Vendor Purchase 5,Merchant 5,Shops;Automotive,false,in store
txn-set-0106,acc-chk-001,29.0,USD,2026-09-07,Vendor Purchase 6,Merchant 6,Shops;Automotive,false,in store
txn-set-0107,acc-sav-002,30.5,USD,2026-09-08,Vendor Purchase 7,Merchant 7,Shops;Automotive,false,in store
txn-set-0108,acc-chk-001,32.0,USD,2026-09-09,Vendor Purchase 8,Merchant 8,Shops;Automotive,false,in store
txn-set-0109,acc-sav-002,33.5,USD,2026-09-10,Vendor Purchase 9,Merchant 9,Shops;Automotive,false,in store
txn-set-0110,acc-chk-001,35.0,USD,2026-09-11,Vendor Purchase 10,Merchant 10,Shops;Automotive,false,in store
txn-set-0111,acc-sav-002,36.5,USD,2026-09-12,Vendor Purchase 11,Merchant 11,Shops;Automotive,false,in store
txn-set-0112,acc-chk-001,38.0,USD,2026-09-13,Vendor Purchase 12,Merchant 12,Shops;Automotive,false,in store
txn-set-0113,acc-sav-002,39.5,USD,2026-09-14,Vendor Purchase 13,Merchant 13,Shops;Automotive,false,in store
txn-set-0114,acc-chk-001,41.0,USD,2026-09-15,Vendor Purchase 14,Merchant 14,Shops;Automotive,false,in store
txn-set-0115,acc-sav-002,42.5,USD,2026-09-16,Vendor Purchase 15,Merchant 15,Shops;Automotive,false,in store
txn-set-0116,acc-chk-001,44.0,USD,2026-09-17,Vendor Purchase 16,Merchant 16,Shops;Automotive,false,in store
txn-set-0117,acc-sav-002,45.5,USD,2026-09-18,Vendor Purchase 17,Merchant 17,Shops;Automotive,false,in store
txn-set-0118,acc-chk-001,47.0,USD,2026-09-19,Vendor Purchase 18,Merchant 18,Shops;Automotive,false,in store
txn-set-0119,acc-sav-002,48.5,USD,2026-09-20,Vendor Purchase 19,Merchant 19,Shops;Automotive,false,in store
txn-set-0120,acc-chk-001,50.0,USD,2026-09-21,Vendor Purchase 20,Merchant 20,Shops;Automotive,false,in store
txn-set-0121,acc-sav-002,51.5,USD,2026-09-22,Vendor Purchase 21,Merchant 21,Shops;Automotive,false,in store
txn-set-0122,acc-chk-001,53.0,USD,2026-09-23,Vendor Purchase 22,Merchant 22,Shops;Automotive,false,in store
txn-set-0123,acc-sav-002,54.5,USD,2026-09-24,Vendor Purchase 23,Merchant 23,Shops;Automotive,false,in store
txn-set-0124,acc-chk-001,56.0,USD,2026-09-25,Vendor Purchase 24,Merchant 24,Shops;Automotive,false,in store
txn-set-0125,acc-sav-002,57.5,USD,2026-09-26,Vendor Purchase 25,Merchant 25,Shops;Automotive,false,in store
txn-set-0126,acc-chk-001,59.0,USD,2026-09-27,Vendor Purchase 26,Merchant 26,Shops;Automotive,false,in store
txn-set-0127,acc-sav-002,60.5,USD,2026-09-01,Vendor Purchase 27,Merchant 27,Shops;Automotive,false,in store
txn-set-0128,acc-chk-001,62.0,USD,2026-09-02,Vendor Purchase 28,Merchant 28,Shops;Automotive,false,in store
txn-set-0129,acc-sav-002,63.5,USD,2026-09-03,Vendor Purchase 29,Merchant 29,Shops;Automotive,false,in store
txn-set-0130,acc-chk-001,65.0,USD,2026-09-04,Vendor Purchase 30,Merchant 30,Shops;Automotive,false,in store
