timestamp	driver_id	driver	vehicle	message	status
2026-02-09 05:31	D-003	Marcus Reed	SED-01	Confirm airport queue	Acknowledged
2026-02-09 05:33	D-004	Tomas Reyes	SED-02	Confirm airport queue	Acknowledged
2026-02-09 05:34	D-009	Nadia Pierre	SED-07	Palmetto shuttle roll	Acknowledged
2026-02-09 05:36	D-010	Hector Salazar	SED-08	Palmetto shuttle roll	Acknowledged
2026-02-09 06:02	D-005	Andre Beaumont	SED-03	Hotel pickup Harbor Bay	Acknowledged
2026-02-09 06:05	D-011	Wesley Crane	VAN-01	Group transport 0900	Acknowledged
2026-02-09 07:14	D-007	Curtis Holloway	SED-05	Reassign city dispatch	Acknowledged
2026-02-09 08:40	D-013	Sam Okoye	VAN-03	Relief coverage standby	Acknowledged
2026-01-22 05:30	D-006	Patrice Joseph	SED-04	Hotel pickup Riverline	Acknowledged
2026-01-22 05:45	D-002	Jean-Pierre Ward	VAN-04	Bay check then standby	Acknowledged
