event_id,email,display_name,response_status,optional,organizer
EVEN_54065aa4,carlos.whitfield0@gmail.com,Carlos Whitfield,active,true,Robert (1998)
EVEN_3b79fed3,june.68)@yahoo.com,June (68),inactive,false,Frank (1958)
EVEN_feff91fa,karen1983)@outlook.com,Karen (1983),pending,false,Elena (1960)
EVEN_5dd70b44,david.1981)@hotmail.com,David (1981),archived,true,Dr. (59)
EVEN_d8f77311,ethan.2014)4@aol.com,Ethan (2014),active,false,Dorothy Lee
EVEN_6c813807,maya2016)@icloud.com,Maya (2016),inactive,false,Nicholas Reyes
EVEN_965fe6bb,kevin.1986)@mail.com,Kevin (1986),pending,true,Grace Foster
EVEN_846c8ae5,robert.1998)@protonmail.com,Robert (1998),archived,false,Arthur Torres
EVEN_42dc880f,helen2007)8@comcast.net,Helen (2007),active,true,Heather Ramos
EVEN_bf129ac0,linda.1957)@att.net,Linda (1957),inactive,true,Steven Wilson
EVEN_9660139f,frank.1958)@bellsouth.net,Frank (1958),pending,false,Dorothy Evans
EVEN_a3114aae,connie1960)@charter.net,Connie (1960),archived,true,Zachary Alvarez
EVEN_e5dcfcd6,doug.1954)12@earthlink.net,Doug (1954),active,false,Grace Robinson
EVEN_23cbae69,elena.1960)@msn.com,Elena (1960),inactive,false,Carlos Morgan
EVEN_1ae411c4,thefamily)@gmail.com,The family),pending,true,Heather Miller
EVEN_9d787131,dr..52)@yahoo.com,Dr. (52),archived,false,Raymond Rivera
EVEN_2c123646,dr..59)16@outlook.com,Dr. (59),active,true,Dorothy James
EVEN_f6f15448,dr.48)@hotmail.com,Dr. (48),inactive,true,Albert Thompson
EVEN_da7dc67b,william.davis@aol.com,William Davis,pending,false,Grace Morris
EVEN_6f3c8a80,dorothy.lee@icloud.com,Dorothy Lee,archived,true,Edward Powell
EVEN_01831951,andrewking20@mail.com,Andrew King,active,false,Heather Hill
EVEN_0f65897d,nicole.campbell@protonmail.com,Nicole Campbell,inactive,false,Austin Cox
EVEN_a4abba10,nicholas.reyes@comcast.net,Nicholas Reyes,pending,true,Dorothy Thomas
EVEN_2b2d8c82,joanreed@att.net,Joan Reed,archived,false,Christopher Diaz
EVEN_4fd56fc4,patrick.bennett24@bellsouth.net,Patrick Bennett,active,true,Grace Sanders
EVEN_86fbb1a4,grace.foster@charter.net,Grace Foster,inactive,true,Jose Young
EVEN_052c3ef1,noahhernandez@earthlink.net,Noah Hernandez,pending,false,Heather Peterson
EVEN_2cccacdc,elizabeth.white@msn.com,Elizabeth White,archived,true,Roy Rodriguez
EVEN_a5bc3af4,arthur.torres28@gmail.com,Arthur Torres,active,true,Dorothy Mitchell
EVEN_dda196ae,sharonroberts@yahoo.com,Sharon Roberts,inactive,false,Larry Gray
EVEN_ae964f5e,russell.morales@outlook.com,Russell Morales,pending,true,Grace Harris
EVEN_20ea76ed,heather.ramos@hotmail.com,Heather Ramos,archived,false,Bryan Murphy
EVEN_780e0948,robertruiz32@aol.com,Robert Ruiz,active,false,Heather Johnson
EVEN_e7c8b5a4,ann.smith@icloud.com,Ann Smith,inactive,true,Kenneth Green
EVEN_46df6372,steven.wilson@mail.com,Steven Wilson,pending,false,Dorothy Richardson
