id,list_id,type,status,subject_line,from_name,reply_to,title,emails_sent,send_time,create_time
camp-6000001,list-cedar-hills-gc,regular,sent,Cedar Hills GC - March Newsletter,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,March Newsletter,61,2026-01-03T00:00:00.000Z,2026-01-01T00:00:00.000Z
camp-6000002,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Spring Plant Sale Reminder,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,Spring Sale Reminder,62,2026-01-21T00:00:00.000Z,2026-01-19T00:00:00.000Z
camp-6000003,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Volunteer Sign-Up,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,Volunteer Signup,63,2026-02-08T00:00:00.000Z,2026-02-06T00:00:00.000Z
camp-6000004,list-cedar-hills-gc,regular,sent,Cedar Hills GC - April Meeting Recap,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,April Recap,64,2026-02-26T00:00:00.000Z,2026-02-24T00:00:00.000Z
camp-6000005,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Mother's Day Bouquet Sale,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,Mothers Day Sale,65,2026-03-16T00:00:00.000Z,2026-03-14T00:00:00.000Z
camp-6000006,list-cedar-hills-gc,regular,sent,Cedar Hills GC - June Meeting,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,June Meeting,66,2026-04-03T00:00:00.000Z,2026-04-01T00:00:00.000Z
camp-6000007,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Summer Garden Tour,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,Summer Tour,67,2026-04-21T00:00:00.000Z,2026-04-19T00:00:00.000Z
camp-6000008,list-cedar-hills-gc,regular,sent,Cedar Hills GC - August Newsletter,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,August Newsletter,68,2026-05-09T00:00:00.000Z,2026-05-07T00:00:00.000Z
camp-6000009,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Fall Plant Sale This Weekend,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,Fall Sale,69,2026-05-27T00:00:00.000Z,2026-05-25T00:00:00.000Z
camp-6000010,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Sept Meeting Highlights,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,Sept Highlights,70,2026-06-14T00:00:00.000Z,2026-06-12T00:00:00.000Z
camp-6000011,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Fall Bulb Order Deadline,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,Bulb Order,71,2026-07-02T00:00:00.000Z,2026-06-30T00:00:00.000Z
camp-6000012,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Winter Wreath Workshop Registration,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,Wreath Registration,60,2026-07-20T00:00:00.000Z,2026-07-18T00:00:00.000Z
camp-6000013,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Holiday Potluck RSVP,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,Holiday Potluck,61,2026-08-07T00:00:00.000Z,2026-08-05T00:00:00.000Z
camp-6000014,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Treasurer Year-End Report,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,YE Report,62,2026-08-25T00:00:00.000Z,2026-08-23T00:00:00.000Z
camp-6000015,list-cedar-hills-gc,regular,sent,Cedar Hills GC - Membership Renewal 2027,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,2027 Renewal,63,2026-09-12T00:00:00.000Z,2026-09-10T00:00:00.000Z
camp-6000100,list-cedar-hills-gc,regular,save,Cedar Hills GC - Draft: 2027 Board Election,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,2027 Board Election,142,,2026-09-26T09:00:00.000Z
camp-6000101,list-cedar-hills-gc,regular,schedule,Cedar Hills GC - Draft: December meeting recap,Carlos Whitfield (Treasurer),carlos.whitfield@gmail.com,December Recap,143,2026-10-13T09:00:00.000Z,2026-09-27T09:00:00.000Z
