id,customer,amount,currency,status,paid,refunded,amount_refunded,description,payment_intent,created
ch_443b21300bed,,420000,usd,succeeded,true,false,0,Q4 2026 sponsorship Elastic,pi_dd2efed74428,1798253236
ch_d6057be87acb,,380000,usd,succeeded,true,false,0,Q4 2026 sponsorship Sumo Logic,pi_3a371ee6f460,1797582281
ch_81be3dd80744,,220000,usd,succeeded,true,false,0,Q4 2026 sponsorship Detectify,pi_d870d585e557,1793086264
ch_7b642bb0987c,,500000,usd,succeeded,true,false,0,Q4 2026 sponsorship Rapid7 with late-Dec adjustment,pi_65a989a82b88,1798056403
ch_acab7ce208ca,,400000,usd,succeeded,true,false,0,Q4 2026 sponsorship Tenable,pi_8bddb8545b4d,1794577137
ch_54a6417229fe,,250000,usd,pending,false,false,0,Q4 2026 sponsorship Vectra AI,pi_7ce1eeb4f65d,1798471774
ch_46ebe91f9301,,650000,usd,succeeded,true,false,0,Q4 2026 sponsorship CrowdStrike,pi_8d92b35f6c52,1793083779
ch_8288ffec434b,,600000,usd,succeeded,true,false,0,Q4 2026 sponsorship Splunk,pi_131590b13e30,1792393844
ch_3e5da6aab704,,300000,usd,succeeded,true,false,0,Q4 2026 sponsorship Sysdig,pi_960c05c92157,1795985650
ch_60877b7e2fba,,350000,usd,succeeded,true,false,0,Q4 2026 sponsorship Cybereason,pi_5b7aee93f860,1795962232
ch_3dec26d2e675,,400000,usd,succeeded,true,false,0,Q4 2026 sponsorship Chronicle,pi_97c19248bcfb,1797057150
ch_803f1f4996b9,,420000,usd,succeeded,true,false,0,Q4 2026 sponsorship Wiz,pi_163eabffcdb6,1797948649
ch_f9bf3479924a,,280000,usd,succeeded,true,false,0,Q4 2026 sponsorship Corelight partial settlement,pi_bc856e816893,1797415043
ch_dc99dd9fbee3,,70290,usd,succeeded,true,false,0,Detection rule template pack,pi_cfd71b2108ee,1747542455
ch_d43a79e1f7a4,,123060,usd,succeeded,true,false,0,Sponsor deposit,pi_018d17aa01ba,1733788278
ch_d0600961dde4,,20440,usd,succeeded,true,false,0,Community meetup ticket,pi_1fb0fbc51736,1755001893
ch_5eb62a07ce7f,,125200,usd,succeeded,true,false,0,SIEM dashboard export,pi_4cfc800a1853,1774241213
ch_3e45f05000bc,,97810,usd,succeeded,true,false,0,SIEM dashboard export,pi_c465b1ae531d,1706840751
ch_d74d5d9b09dc,,73580,usd,succeeded,true,false,0,SIEM dashboard export,pi_d8b0a6a6fe20,1737840897
ch_a2817b36a2ff,,32340,usd,succeeded,true,false,0,SIEM dashboard export,pi_1c414d99e4f5,1717146557
ch_cf7bda199654,,61510,usd,succeeded,true,false,0,SIEM dashboard export,pi_36d6730e17cd,1772145041
ch_057252e36807,,131270,usd,succeeded,true,false,0,Detection rule template pack,pi_cc6cc41e6b3c,1704116895
ch_cc082d88eebf,,100790,usd,succeeded,true,false,0,SIEM dashboard export,pi_0da5888994b5,1709207556
ch_500230a07537,,126770,usd,succeeded,true,false,0,SIEM dashboard export,pi_ef7cf67e34a5,1749939129
