contact_id,name,first_name,last_name,email,is_customer,is_supplier,status,account_number
X00001,Elastic,Sponsor,Contact,sponsorships@elastic.co,true,false,ACTIVE,AN-39954
X00002,Sumo Logic,Sponsor,Contact,partners@sumologic.com,true,false,ACTIVE,AN-78116
X00003,Detectify,Sponsor,Contact,growth@detectify.com,true,false,ACTIVE,AN-22215
X00004,Corelight,Sponsor,Contact,partners@corelight.com,true,false,ACTIVE,AN-11758
X00005,Rapid7,Sponsor,Contact,sponsorships@rapid7.com,true,false,ACTIVE,AN-79820
X00006,Tenable,Sponsor,Contact,partners@tenable.com,true,false,ACTIVE,AN-40044
X00007,Vectra AI,Sponsor,Contact,partnerships@vectra.ai,true,false,ACTIVE,AN-79443
X00008,Snyk,Sponsor,Contact,partners@snyk.io,true,false,ACTIVE,AN-93251
X00009,CrowdStrike,Sponsor,Contact,sponsorships@crowdstrike.com,true,false,ACTIVE,AN-12315
X00010,Splunk,Sponsor,Contact,partners@splunk.com,true,false,ACTIVE,AN-69056
X00011,Sysdig,Sponsor,Contact,partnerships@sysdig.com,true,false,ACTIVE,AN-20554
X00012,Cybereason,Sponsor,Contact,growth@cybereason.com,true,false,ACTIVE,AN-52865
X00013,Chronicle,Sponsor,Contact,partners@chronicle.security,true,false,ACTIVE,AN-30233
X00014,Wiz,Sponsor,Contact,sponsorships@wiz.io,true,false,ACTIVE,AN-60771
X00015,Recorded Future,Sponsor,Contact,partners@recordedfuture.com,true,false,ACTIVE,AN-10883
X00016,WordPress hosting (WP Engine),Vendor,Billing,billing@wordpresshosting(wpengine).com,false,true,ACTIVE,AN-33488
X00017,Contentful,Vendor,Billing,billing@contentful.com,false,true,ACTIVE,AN-36905
X00018,Algolia search,Vendor,Billing,billing@algoliasearch.com,false,true,ACTIVE,AN-51911
X00019,Sentry error tracking,Vendor,Billing,billing@sentryerrortracking.com,false,true,ACTIVE,AN-20043
X00020,Mailchimp Standard,Vendor,Billing,billing@mailchimpstandard.com,false,true,ACTIVE,AN-29801
X00021,Klaviyo,Vendor,Billing,billing@klaviyo.com,false,true,ACTIVE,AN-35898
X00022,ActiveCampaign,Vendor,Billing,billing@activecampaign.com,false,true,ACTIVE,AN-51170
X00023,SendGrid Essentials,Vendor,Billing,billing@sendgridessentials.com,false,true,ACTIVE,AN-52754
X00024,Mailgun Foundation,Vendor,Billing,billing@mailgunfoundation.com,false,true,ACTIVE,AN-96595
X00025,Segment Team,Vendor,Billing,billing@segmentteam.com,false,true,ACTIVE,AN-10832
X00026,Amplitude Growth,Vendor,Billing,billing@amplitudegrowth.com,false,true,ACTIVE,AN-63707
X00027,Mixpanel Growth,Vendor,Billing,billing@mixpanelgrowth.com,false,true,ACTIVE,AN-65640
X00028,PostHog,Vendor,Billing,billing@posthog.com,false,true,ACTIVE,AN-52476
X00029,HubSpot Starter,Vendor,Billing,billing@hubspotstarter.com,false,true,ACTIVE,AN-49340
X00030,Zendesk Suite Team,Vendor,Billing,billing@zendesksuiteteam.com,false,true,ACTIVE,AN-66852
X00031,Freshdesk Growth,Vendor,Billing,billing@freshdeskgrowth.com,false,true,ACTIVE,AN-75244
