response_id,field_id,field_type,ref,answer
resp-salon-01,fld-salon-01-01,short_text,name,James Whitfield
resp-salon-01,fld-salon-01-02,multiple_choice,attending,Yes
resp-salon-01,fld-salon-01-03,multiple_choice,wine,Red
resp-salon-01,fld-salon-01-04,short_text,diet,
resp-salon-02,fld-salon-01-01,short_text,name,Margaret Beaumont
resp-salon-02,fld-salon-01-02,multiple_choice,attending,Yes
resp-salon-02,fld-salon-01-03,multiple_choice,wine,White
resp-salon-02,fld-salon-01-04,short_text,diet,Vegetarian
resp-salon-03,fld-salon-01-01,short_text,name,Elizabeth Hartwell
resp-salon-03,fld-salon-01-02,multiple_choice,attending,Yes
resp-salon-03,fld-salon-01-03,multiple_choice,wine,Both
resp-salon-03,fld-salon-01-04,short_text,diet,
resp-salon-04,fld-salon-01-01,short_text,name,Thomas Ashworth
resp-salon-04,fld-salon-01-02,multiple_choice,attending,Yes
resp-salon-04,fld-salon-01-03,multiple_choice,wine,Red
resp-salon-04,fld-salon-01-04,short_text,diet,Nut allergy
resp-salon-05,fld-salon-01-01,short_text,name,Katherine Ross
resp-salon-05,fld-salon-01-02,multiple_choice,attending,Yes
resp-salon-05,fld-salon-01-03,multiple_choice,wine,White
resp-salon-05,fld-salon-01-04,short_text,diet,
resp-salon-06,fld-salon-01-01,short_text,name,Adrian Wells
resp-salon-06,fld-salon-01-02,multiple_choice,attending,Tentative
resp-salon-06,fld-salon-01-03,multiple_choice,wine,Red
resp-salon-06,fld-salon-01-04,short_text,diet,
resp-salon-07,fld-salon-01-01,short_text,name,Miranda Foss
resp-salon-07,fld-salon-01-02,multiple_choice,attending,Yes
resp-salon-07,fld-salon-01-03,multiple_choice,wine,Both
resp-salon-07,fld-salon-01-04,short_text,diet,Gluten free
resp-salon-08,fld-salon-01-01,short_text,name,Vincent Hollis
resp-salon-08,fld-salon-01-02,multiple_choice,attending,No
resp-salon-08,fld-salon-01-03,multiple_choice,wine,
resp-salon-08,fld-salon-01-04,short_text,diet,Sabbatical travel
resp-salon-09,fld-salon-01-01,short_text,name,Julia Marchetti
resp-salon-09,fld-salon-01-02,multiple_choice,attending,Yes
resp-salon-09,fld-salon-01-03,multiple_choice,wine,White
resp-salon-09,fld-salon-01-04,short_text,diet,
resp-salon-10,fld-salon-01-01,short_text,name,Robert Mackenzie
resp-salon-10,fld-salon-01-02,multiple_choice,attending,Yes
resp-salon-10,fld-salon-01-03,multiple_choice,wine,Red
resp-salon-10,fld-salon-01-04,short_text,diet,Nut allergy
