host_id,name,superhost,joined_year,response_rate,languages
host_mt_vernon_01,Sarah Chen,true,2018,99,English/Mandarin
host_shaw_01,Marcus Johnson,false,2020,95,English
host_navy_yard_01,Elena Torres,true,2017,100,English/Spanish
host_cap_hill_01,David Kim,true,2019,98,English/Korean
host_101,David Host101,false,2018,97,English
host_102,Peter Host102,false,2017,95,English
host_103,Ines Host103,true,2020,85,English
host_104,Marcus Host104,false,2022,96,English
host_105,Rachel Host105,false,2023,89,English
host_106,Wei Host106,true,2022,98,English
host_107,Maria Host107,false,2016,94,English
host_108,Maria Host108,false,2019,96,English
host_109,Michael Host109,true,2022,93,English
host_110,Ines Host110,false,2022,91,English
host_111,Ana Host111,false,2016,91,English
host_112,Julia Host112,true,2020,98,English
host_113,David Host113,false,2018,85,English
host_114,Julia Host114,false,2019,87,English
host_115,Sarah Host115,true,2023,89,English
host_116,Sarah Host116,false,2021,98,English
host_117,Kate Host117,false,2017,85,English
host_118,Ana Host118,true,2018,92,English
host_119,Maria Host119,false,2017,88,English
host_120,Julia Host120,false,2019,95,English
host_121,David Host121,true,2016,85,English
host_122,Julia Host122,false,2015,87,English
host_123,Marcus Host123,false,2021,91,English
host_124,John Host124,true,2016,94,English
host_125,Marcus Host125,false,2019,93,English
host_126,Rachel Host126,false,2020,95,English
host_127,Amelia Host127,true,2022,99,English
host_128,Ines Host128,false,2020,85,English
host_129,Wei Host129,false,2020,91,English
host_130,Julia Host130,true,2019,97,English
host_131,Julia Host131,false,2015,89,English
host_132,Sarah Host132,false,2015,91,English
host_133,Amelia Host133,true,2018,89,English
host_134,Kwame Host134,false,2019,85,English
host_135,Michael Host135,false,2016,94,English
host_136,David Host136,true,2021,95,English
host_137,David Host137,false,2018,95,English
host_138,Marcus Host138,false,2018,99,English
host_139,Julia Host139,true,2018,90,English
host_140,Peter Host140,false,2022,96,English
host_141,Peter Host141,false,2015,89,English
host_142,Michael Host142,true,2021,85,English
host_143,Kate Host143,false,2022,98,English
host_144,Ibrahim Host144,false,2023,85,English
host_145,Wei Host145,true,2021,98,English
host_146,Marcus Host146,false,2023,92,English
host_147,Sarah Host147,false,2021,93,English
host_148,Ibrahim Host148,true,2023,91,English
host_149,Ines Host149,false,2020,90,English
host_150,Ines Host150,false,2022,99,English
host_151,Wei Host151,true,2015,96,English
host_152,Julia Host152,false,2015,87,English
host_153,Sarah Host153,false,2018,94,English
host_154,Kofi Host154,true,2016,85,English
host_155,Rachel Host155,false,2020,95,English
host_156,Rachel Host156,false,2020,91,English
host_157,Julia Host157,true,2017,92,English
host_158,Marcus Host158,false,2020,89,English
host_159,Grace Host159,false,2021,93,English
host_160,Kofi Host160,true,2022,95,English
host_161,Peter Host161,false,2020,86,English
host_162,Peter Host162,false,2023,96,English
host_163,Ana Host163,true,2023,88,English
host_164,Kate Host164,false,2022,85,English
host_165,Ana Host165,false,2023,96,English
host_166,Rachel Host166,true,2022,85,English
host_167,David Host167,false,2016,91,English
host_168,Maria Host168,false,2015,91,English
host_169,Grace Host169,true,2021,86,English
host_170,Kwame Host170,false,2018,99,English
host_171,Kofi Host171,false,2018,99,English
host_172,David Host172,true,2022,95,English
host_173,Kwame Host173,false,2021,90,English
host_174,Amelia Host174,false,2021,86,English
host_175,John Host175,true,2021,89,English
host_176,Kwame Host176,false,2017,99,English
host_177,Maria Host177,false,2023,90,English
host_178,Sarah Host178,true,2022,99,English
host_179,Rachel Host179,false,2020,90,English
host_180,Elena Host180,false,2023,92,English
host_181,Elena Host181,true,2022,89,English
host_182,Kofi Host182,false,2016,93,English
host_183,John Host183,false,2022,98,English
host_184,Amelia Host184,true,2017,93,English
host_185,Kwame Host185,false,2016,97,English
