transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
tx-2026-00001,acc_chk_001,-287.5,USD,2026-10-02,Gusto Payroll Cedarbrook Dining,Cedarbrook University,Transfer,false,online
tx-2026-00002,acc_chk_001,-287.5,USD,2026-10-16,Gusto Payroll Cedarbrook Dining,Cedarbrook University,Transfer,false,online
tx-2026-00003,acc_chk_001,-287.5,USD,2026-10-30,Gusto Payroll Cedarbrook Dining,Cedarbrook University,Transfer,false,online
tx-2026-00004,acc_chk_001,-287.5,USD,2026-11-13,Gusto Payroll Cedarbrook Dining,Cedarbrook University,Transfer,false,online
tx-2026-00005,acc_chk_001,-287.5,USD,2026-11-27,Gusto Payroll Cedarbrook Dining,Cedarbrook University,Transfer,false,online
tx-2026-00006,acc_chk_001,-287.5,USD,2026-12-11,Gusto Payroll Cedarbrook Dining,Cedarbrook University,Transfer,false,online
tx-2026-00007,acc_chk_001,-287.5,USD,2026-12-24,Gusto Payroll Cedarbrook Dining,Cedarbrook University,Transfer,false,online
tx-2026-00008,acc_chk_001,80.0,USD,2026-10-03,Sprint Wireless,Sprint,Service,false,online
tx-2026-00009,acc_chk_001,80.0,USD,2026-11-03,Sprint Wireless,Sprint,Service,false,online
tx-2026-00010,acc_chk_001,80.0,USD,2026-12-03,Sprint Wireless,Sprint,Service,false,online
tx-2026-00011,acc_chk_001,30.0,USD,2026-10-05,MARTA Breeze,MARTA,Travel,false,in store
tx-2026-00012,acc_chk_001,30.0,USD,2026-11-05,MARTA Breeze,MARTA,Travel,false,in store
tx-2026-00013,acc_chk_001,30.0,USD,2026-12-05,MARTA Breeze,MARTA,Travel,false,in store
tx-2026-00014,acc_chk_001,75.0,USD,2026-10-05,Zelle to Keisha Brooks,Zelle,Transfer,false,online
tx-2026-00015,acc_chk_001,75.0,USD,2026-11-05,Zelle to Keisha Brooks,Zelle,Transfer,false,online
tx-2026-00016,acc_chk_001,75.0,USD,2026-12-05,Zelle to Keisha Brooks,Zelle,Transfer,false,online
tx-2026-00017,acc_chk_001,75.0,USD,2027-01-05,Zelle to Keisha Brooks,Zelle,Transfer,false,online
tx-2026-00018,acc_chk_001,8.42,USD,2026-10-04,Chick-fil-A,Chick-fil-A,Food and Drink,false,in store
tx-2026-00019,acc_chk_001,12.14,USD,2026-10-06,Publix,Publix,Food and Drink,false,in store
tx-2026-00020,acc_chk_001,6.75,USD,2026-10-08,Waffle House,Waffle House,Food and Drink,false,in store
tx-2026-00021,acc_chk_001,15.32,USD,2026-10-10,Kroger,Kroger,Food and Drink,false,in store
tx-2026-00022,acc_chk_001,5.99,USD,2026-10-12,Spotify Premium,Spotify,Service,false,online
tx-2026-00023,acc_chk_001,9.85,USD,2026-10-14,Chipotle,Chipotle,Food and Drink,false,in store
tx-2026-00024,acc_chk_001,22.1,USD,2026-10-18,Amazon Nursing Supplies,Amazon,Shops,false,online
tx-2026-00025,acc_chk_001,10.0,USD,2026-10-21,Church Offering,Cash,Community,false,in store
tx-2026-00026,acc_chk_001,14.2,USD,2026-10-24,Publix,Publix,Food and Drink,false,in store
tx-2026-00027,acc_chk_001,7.44,USD,2026-10-28,Waffle House,Waffle House,Food and Drink,false,in store
tx-2026-00028,acc_chk_001,11.98,USD,2026-11-01,Kroger,Kroger,Food and Drink,false,in store
tx-2026-00029,acc_chk_001,5.99,USD,2026-11-04,Spotify Premium,Spotify,Service,false,online
tx-2026-00030,acc_chk_001,8.6,USD,2026-11-07,Chick-fil-A,Chick-fil-A,Food and Drink,false,in store
tx-2026-00031,acc_chk_001,13.44,USD,2026-11-10,Publix,Publix,Food and Drink,false,in store
tx-2026-00032,acc_chk_001,4.75,USD,2026-11-14,Coffee Shop,Java Vine,Food and Drink,false,in store
tx-2026-00033,acc_chk_001,18.62,USD,2026-11-18,Amazon Textbook Supplies,Amazon,Shops,false,online
tx-2026-00034,acc_chk_001,6.8,USD,2026-11-22,Chick-fil-A,Chick-fil-A,Food and Drink,false,in store
tx-2026-00035,acc_chk_001,22.14,USD,2026-11-26,Publix Thanksgiving,Publix,Food and Drink,false,in store
tx-2026-00036,acc_chk_001,5.99,USD,2026-12-02,Spotify Premium,Spotify,Service,false,online
tx-2026-00037,acc_chk_001,9.1,USD,2026-12-06,Chipotle,Chipotle,Food and Drink,false,in store
tx-2026-00038,acc_chk_001,14.75,USD,2026-12-10,Kroger,Kroger,Food and Drink,false,in store
tx-2026-00039,acc_chk_001,8.2,USD,2026-12-15,Chick-fil-A,Chick-fil-A,Food and Drink,false,in store
tx-2026-00040,acc_chk_001,32.4,USD,2026-12-18,Greyhound Ticket ATL to Macon,Greyhound,Travel,false,online
tx-2026-00041,acc_chk_001,12.6,USD,2026-12-22,Publix Christmas,Publix,Food and Drink,false,in store
tx-2026-00042,acc_chk_001,5.99,USD,2027-01-02,Spotify Premium,Spotify,Service,false,online
tx-2026-00043,acc_chk_001,15.3,USD,2027-01-08,MARTA Reload,MARTA,Travel,false,in store
tx-2026-00044,acc_chk_001,11.2,USD,2027-01-10,Kroger,Kroger,Food and Drink,false,in store
tx-2026-01000,acc_chk_001,9.67,USD,2026-10-08,MARTA Breeze reload,MARTA,Travel,false,in store
tx-2026-01001,acc_chk_001,11.19,USD,2026-10-09,Publix,Publix,Food and Drink,false,in store
tx-2026-01002,acc_chk_001,7.33,USD,2026-10-11,Church Offering,Church,Community,false,in store
tx-2026-01003,acc_chk_001,6.43,USD,2026-10-11,Java Vine Coffee,Java,Food and Drink,false,in store
tx-2026-01004,acc_chk_001,11.55,USD,2026-10-12,Waffle House,Waffle,Food and Drink,false,in store
tx-2026-01005,acc_chk_001,3.74,USD,2026-10-12,Java Vine Coffee,Java,Food and Drink,false,in store
tx-2026-01006,acc_chk_001,10.28,USD,2026-10-13,Waffle House,Waffle,Food and Drink,false,in store
tx-2026-01007,acc_chk_001,6.39,USD,2026-10-13,Chick-fil-A,Chick-fil-A,Food and Drink,false,in store
tx-2026-01008,acc_chk_001,6.47,USD,2026-10-15,Wexler Bookstore Supplies,Wexler,Shops,false,in store
tx-2026-01009,acc_chk_001,8.03,USD,2026-10-15,MARTA Breeze reload,MARTA,Travel,false,in store
tx-2026-01010,acc_chk_001,1.67,USD,2026-10-16,Barnwell Vending,Barnwell,Food and Drink,false,in store
tx-2026-01011,acc_chk_001,8.74,USD,2026-10-17,MARTA Breeze reload,MARTA,Travel,false,in store
tx-2026-01012,acc_chk_001,5.6,USD,2026-10-17,Java Vine Coffee,Java,Food and Drink,false,in store
tx-2026-01013,acc_chk_001,8.65,USD,2026-10-18,MARTA Breeze reload,MARTA,Travel,false,in store
tx-2026-01014,acc_chk_001,11.57,USD,2026-10-19,Church Offering,Church,Community,false,in store
tx-2026-01015,acc_chk_001,5.58,USD,2026-10-21,Cash App split with Marcus,Cash,Transfer,false,in store
tx-2026-01016,acc_chk_001,11.26,USD,2026-10-21,Chipotle,Chipotle,Food and Drink,false,in store
tx-2026-01017,acc_chk_001,10.85,USD,2026-10-22,Chipotle,Chipotle,Food and Drink,false,in store
tx-2026-01018,acc_chk_001,17.72,USD,2026-10-22,Wexler Bookstore Supplies,Wexler,Shops,false,in store
tx-2026-01019,acc_chk_001,2.52,USD,2026-10-23,Barnwell Vending,Barnwell,Food and Drink,false,in store
tx-2026-01020,acc_chk_001,11.69,USD,2026-10-23,Waffle House,Waffle,Food and Drink,false,in store
tx-2026-01021,acc_chk_001,4.2,USD,2026-10-24,Java Vine Coffee,Java,Food and Drink,false,in store
tx-2026-01022,acc_chk_001,7.36,USD,2026-10-24,Amazon Nursing Supplies,Amazon,Shops,false,in store
tx-2026-01023,acc_chk_001,19.64,USD,2026-10-25,Kroger,Kroger,Food and Drink,false,in store
tx-2026-01024,acc_chk_001,7.84,USD,2026-10-25,Church Offering,Church,Community,false,in store
tx-2026-01025,acc_chk_001,6.11,USD,2026-10-26,MARTA Breeze reload,MARTA,Travel,false,in store
tx-2026-01026,acc_chk_001,6.52,USD,2026-10-26,Kroger,Kroger,Food and Drink,false,in store
tx-2026-01027,acc_chk_001,12.91,USD,2026-10-27,Cash App split with Marcus,Cash,Transfer,false,in store
tx-2026-01028,acc_chk_001,3.25,USD,2026-10-31,Barnwell Vending,Barnwell,Food and Drink,false,in store
tx-2026-01029,acc_chk_001,20.08,USD,2026-11-01,Amazon Nursing Supplies,Amazon,Shops,false,in store
tx-2026-01030,acc_chk_001,3.78,USD,2026-11-03,Java Vine Coffee,Java,Food and Drink,false,in store
tx-2026-01031,acc_chk_001,14.32,USD,2026-11-04,Amazon Nursing Supplies,Amazon,Shops,false,in store
tx-2026-01032,acc_chk_001,4.26,USD,2026-11-04,Wexler Bookstore Supplies,Wexler,Shops,false,in store
tx-2026-01033,acc_chk_001,6.39,USD,2026-11-05,Publix,Publix,Food and Drink,false,in store
tx-2026-01034,acc_chk_001,18.51,USD,2026-11-06,Publix,Publix,Food and Drink,false,in store
tx-2026-01035,acc_chk_001,6.58,USD,2026-11-10,Cash App split with Marcus,Cash,Transfer,false,in store
tx-2026-01036,acc_chk_001,13.1,USD,2026-11-10,Chipotle,Chipotle,Food and Drink,false,in store
tx-2026-01037,acc_chk_001,6.47,USD,2026-11-11,Chick-fil-A,Chick-fil-A,Food and Drink,false,in store
tx-2026-01038,acc_chk_001,10.97,USD,2026-11-11,Waffle House,Waffle,Food and Drink,false,in store
tx-2026-01039,acc_chk_001,10.52,USD,2026-11-13,Chick-fil-A,Chick-fil-A,Food and Drink,false,in store
tx-2026-01040,acc_chk_001,9.44,USD,2026-11-13,Wexler Bookstore Supplies,Wexler,Shops,false,in store
tx-2026-01041,acc_chk_001,13.74,USD,2026-11-14,Church Offering,Church,Community,false,in store
tx-2026-01042,acc_chk_001,6.54,USD,2026-11-16,Waffle House,Waffle,Food and Drink,false,in store
tx-2026-01043,acc_chk_001,3.07,USD,2026-11-17,Barnwell Vending,Barnwell,Food and Drink,false,in store
tx-2026-01044,acc_chk_001,3.83,USD,2026-11-18,Java Vine Coffee,Java,Food and Drink,false,in store
tx-2026-01045,acc_chk_001,15.81,USD,2026-11-18,Amazon Nursing Supplies,Amazon,Shops,false,in store
tx-2026-01046,acc_chk_001,6.01,USD,2026-11-19,Waffle House,Waffle,Food and Drink,false,in store
tx-2026-01047,acc_chk_001,8.63,USD,2026-11-19,MARTA Breeze reload,MARTA,Travel,false,in store
tx-2026-01048,acc_chk_001,6.31,USD,2026-11-20,MARTA Breeze reload,MARTA,Travel,false,in store
tx-2026-01049,acc_chk_001,10.24,USD,2026-11-22,Waffle House,Waffle,Food and Drink,false,in store
tx-2026-01050,acc_chk_001,13.13,USD,2026-11-25,Publix,Publix,Food and Drink,false,in store
tx-2026-01051,acc_chk_001,10.53,USD,2026-11-25,Chipotle,Chipotle,Food and Drink,false,in store
tx-2026-01052,acc_chk_001,12.68,USD,2026-11-28,Cash App split with Marcus,Cash,Transfer,false,in store
tx-2026-01053,acc_chk_001,14.89,USD,2026-11-28,Church Offering,Church,Community,false,in store
tx-2026-01054,acc_chk_001,2.1,USD,2026-11-29,Barnwell Vending,Barnwell,Food and Drink,false,in store
tx-2026-01055,acc_chk_001,10.78,USD,2026-11-29,Waffle House,Waffle,Food and Drink,false,in store
tx-2026-01056,acc_chk_001,8.17,USD,2026-12-01,Waffle House,Waffle,Food and Drink,false,in store
tx-2026-01057,acc_chk_001,11.44,USD,2026-12-02,Chipotle,Chipotle,Food and Drink,false,in store
tx-2026-01058,acc_chk_001,12.39,USD,2026-12-04,Chipotle,Chipotle,Food and Drink,false,in store
tx-2026-01059,acc_chk_001,5.54,USD,2026-12-05,Java Vine Coffee,Java,Food and Drink,false,in store
tx-2026-01060,acc_chk_001,2.27,USD,2026-12-05,Barnwell Vending,Barnwell,Food and Drink,false,in store
tx-2026-01061,acc_chk_001,11.55,USD,2026-12-06,Publix,Publix,Food and Drink,false,in store
