Session	Student Name	Email	Phone	Enrollment Date	Seat Confirmed	Fee Paid	Payment Method	Amount	Notes
Fall 2025 - Mon Evening	Sandra Kowalski	sandrak.chas@gmail.com	304-555-1201	October 2, 2025	Yes	Yes	Credit card	$120.00	Returning student - 3rd session
Fall 2025 - Mon Evening	Derrick Ames	derrick.ames.wv@gmail.com	304-555-1202	October 2, 2025	Yes	Yes	Check	$120.00	New student - wheel intro needed
Fall 2025 - Mon Evening	Patricia Sung	p.sung.charleston@gmail.com	304-555-1203	October 3, 2025	Yes	Yes	Credit card	$120.00	Returning - slab work focus
Fall 2025 - Mon Evening	Marcus Webb	mwebb.chas@gmail.com	304-555-1204	October 3, 2025	Yes	Yes	Credit card	$120.00	New student
Fall 2025 - Mon Evening	Lena Ostrowski	lena.o.wv@gmail.com	304-555-1205	October 4, 2025	Yes	Yes	Cash	$120.00	Returning - advanced wheel
Fall 2025 - Mon Evening	Bryan Hoover	bryan.hoover.wv@gmail.com	304-555-1206	October 5, 2025	Yes	Partial	Cash + check	$60.00	Balance due week 3 - paid per agreement
Fall 2025 - Tue Evening	Carla Timmons	carla.t.charleston@gmail.com	304-555-1207	October 2, 2025	Yes	Yes	Credit card	$120.00	Returning - 2nd session
Fall 2025 - Tue Evening	James Nguyen	jnguyen.chas@gmail.com	304-555-1208	October 3, 2025	Yes	Yes	Credit card	$120.00	New student
Fall 2025 - Tue Evening	Ana Reeves	ana.reeves.wv@gmail.com	304-555-1209	October 3, 2025	Yes	Yes	Check	$120.00	Returning - hand building interest
Fall 2025 - Tue Evening	Colin Marsh	colin.marsh.wv@gmail.com	304-555-1210	October 4, 2025	Yes	Yes	Credit card	$120.00	New student - referred by Sandra K.
Fall 2025 - Tue Evening	Donna Prather	d.prather.chas@gmail.com	304-555-1211	October 5, 2025	Yes	Yes	Credit card	$120.00	Returning - 4th session
Fall 2025 - Tue Evening	Isaac Blevins	isaacb.chas@gmail.com	304-555-1212	October 6, 2025	Yes	Yes	Cash	$120.00	New student
Fall 2025 - Thu Evening	Rachel Underwood	r.underwood.wv@gmail.com	304-555-1213	October 2, 2025	Yes	Yes	Credit card	$120.00	Returning - 5th session
Fall 2025 - Thu Evening	Frank Estrada	frank.e.chas@gmail.com	304-555-1214	October 2, 2025	Yes	Yes	Credit card	$120.00	New student
Fall 2025 - Thu Evening	Wendy Childers	wendy.childers.wv@gmail.com	304-555-1215	October 3, 2025	Yes	Yes	Check	$120.00	Returning - wheel and glaze focus
Fall 2025 - Thu Evening	Olga Maynard	olga.m.charleston@gmail.com	304-555-1216	October 4, 2025	Yes	Yes	Credit card	$120.00	Returning - 2nd session
Fall 2025 - Thu Evening	Danny Pierce	d.pierce.wv@gmail.com	304-555-1217	October 4, 2025	Yes	Yes	Credit card	$120.00	New student
Fall 2025 - Thu Evening	Tamara Cruz	tamara.c.wv@gmail.com	304-555-1218	October 5, 2025	Yes	Yes	Credit card	$120.00	Returning - slab and surface decor
Fall 2025 - Sat Morning	Paul Griffith	p.griffith.chas@gmail.com	304-555-1219	October 1, 2025	Yes	Yes	Credit card	$120.00	Returning - 6th session
Fall 2025 - Sat Morning	Jenny Holt	jenny.holt.wv@gmail.com	304-555-1220	October 1, 2025	Yes	Yes	Credit card	$120.00	Returning - 3rd session
Fall 2025 - Sat Morning	Gerald Patton	gerald.p.chas@gmail.com	304-555-1221	October 2, 2025	Yes	Yes	Cash	$120.00	New student
Fall 2025 - Sat Morning	Brenda Walton	brenda.w.wv@gmail.com	304-555-1222	October 2, 2025	Yes	Yes	Check	$120.00	Returning - glaze work focus
Fall 2025 - Sat Morning	Kevin Aldridge	kaldridge.chas@gmail.com	304-555-1223	October 3, 2025	Yes	Yes	Credit card	$120.00	New student - hand-building interest
Fall 2025 - Sat Morning	Helen Quinn	helen.quinn.wv@gmail.com	304-555-1224	October 3, 2025	Yes	Yes	Credit card	$120.00	Returning - 2nd session
