id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt_20261103_01,cal_kristen_main,Crestview Staff Meeting,Monthly all-staff meeting,Crestview Academy - Conference Room B,2026-11-03T08:00:00-06:00,2026-11-03T09:00:00-06:00,false,confirmed,kmoore@crestviewacademy.org,cvance@crestviewacademy.org,,default
evt_20261104_01,cal_kristen_main,Dental Appointment - Kristen,Cleaning and checkup,Dr. Williams DDS - 7550 Poplar Ave Germantown,2026-11-04T10:00:00-06:00,2026-11-04T11:00:00-06:00,false,confirmed,kristen.moore@voissync.co,kristen.moore@voissync.co,,default
evt_20261105_01,cal_kristen_main,Quarter Grades Due,Q1 grades submission deadline for all Crestview counselors,,2026-11-05T00:00:00-06:00,2026-11-06T00:00:00-06:00,true,confirmed,kmoore@crestviewacademy.org,cvance@crestviewacademy.org,,default
evt_20261103_02,cal_kristen_main,Therapy - Dr. Pratt,Monthly session - 1st Tuesday,Clearwater Counseling 5050 Poplar Ave Suite 220 Germantown TN,2026-11-03T16:00:00-06:00,2026-11-03T16:50:00-06:00,false,confirmed,kristen.moore@voissync.co,kristen.moore@voissync.co,,private
evt_20261107_01,cal_kristen_main,Benefits Enrollment Deadline Reminder,Open enrollment closes Nov 14. Review health dental vision life 403b,,2026-11-07T00:00:00-06:00,2026-11-08T00:00:00-06:00,true,confirmed,kmoore@crestviewacademy.org,hr@crestviewacademy.org,,default
evt_20261108_01,cal_kristen_main,Loretta - Weekly Visit,Pick up prescriptions and check on Mama,Loretta Hayes - 3892 Millbranch Rd Memphis,2026-11-08T13:00:00-06:00,2026-11-08T15:00:00-06:00,false,confirmed,kristen.moore@voissync.co,kristen.moore@voissync.co,,default
evt_20261109_01,cal_jaylen_shared,JV Basketball vs Bartlett - SEASON OPENER,First game of the season!,Westgrove Main Gym,2026-11-09T18:00:00-06:00,2026-11-09T19:30:00-06:00,false,confirmed,jaylen.moore@westgrove.edu,coach.turner@westgrove.edu,,default
evt_20261111_01,cal_kristen_main,Veterans Day - Errands with Mama,No school. Pick up Loretta for errands and lunch.,Cordova and Whitehaven,2026-11-11T00:00:00-06:00,2026-11-12T00:00:00-06:00,true,confirmed,kristen.moore@voissync.co,kristen.moore@voissync.co,,default
evt_20261112_01,cal_kristen_main,College Planning Night,Junior and senior family presentations. Slide deck due Nov 10.,Crestview Academy - Auditorium,2026-11-12T18:30:00-06:00,2026-11-12T20:30:00-06:00,false,confirmed,kmoore@crestviewacademy.org,cvance@crestviewacademy.org,,default
evt_20261113_01,cal_jaylen_shared,Jaylen Dental Appointment,Cleaning and checkup,Dr. Williams DDS - 7550 Poplar Ave Germantown,2026-11-13T15:30:00-06:00,2026-11-13T16:30:00-06:00,false,confirmed,kristen.moore@voissync.co,kristen.moore@voissync.co,,default
evt_20261114_01,cal_kristen_main,Kristen Physical - Annual,Annual physical exam,Dr. Reeves - 6025 Walnut Grove Rd Memphis,2026-11-14T09:00:00-06:00,2026-11-14T10:00:00-06:00,false,confirmed,kristen.moore@voissync.co,kristen.moore@voissync.co,,default
evt_20261114_02,cal_kristen_main,Benefits Open Enrollment Closes,Last day to make benefits elections for 2027,,2026-11-14T00:00:00-06:00,2026-11-15T00:00:00-06:00,true,confirmed,kmoore@crestviewacademy.org,hr@crestviewacademy.org,,default
evt_20261114_03,cal_jaylen_shared,JV Basketball vs Arlington,Away game,Arlington High School,2026-11-14T17:30:00-06:00,2026-11-14T19:00:00-06:00,false,confirmed,jaylen.moore@westgrove.edu,coach.turner@westgrove.edu,,default
evt_20261115_01,cal_kristen_main,Loretta - Weekly Visit,,Loretta Hayes - 3892 Millbranch Rd Memphis,2026-11-15T13:00:00-06:00,2026-11-15T15:00:00-06:00,false,confirmed,kristen.moore@voissync.co,kristen.moore@voissync.co,,default
evt_20261118_01,cal_jaylen_shared,Kristen's 45th & Jaylen's 17th Birthdays,Shared birthday - Will and Tanya calling for Kristen; cake for Jaylen,,2026-11-18T00:00:00-06:00,2026-11-19T00:00:00-06:00,true,confirmed,kristen.moore@voissync.co,kristen.moore@voissync.co,,default
evt_20261119_02,cal_jaylen_shared,Parent-Teacher Conferences,Sign up through school portal,Westgrove High School,2026-11-19T16:00:00-06:00,2026-11-19T19:00:00-06:00,false,confirmed,jaylen.moore@westgrove.edu,westgrove.admin@westgrove.edu,,default
