Attendee_ID	Full_Name	Gender	Village	LGA	Primary_Crop	Phone	Checked_In	Survey_Completed	Session_Feedback_Score	Notes
ATT-001	Mr. Chukwuma Eze	M	Ude-Enu	Udi	Cassava	+234 803 112 4401	Yes	Yes	5	Trial farmer
ATT-002	Mrs. Ngozi Okeke	F	Ude-Enu	Udi	Cassava	+234 806 221 5512	Yes	Yes	5	
ATT-003	Mr. Ikenna Nwosu	M	Oguta	Udi	Maize	+234 805 334 6623	Yes	Yes	4	
ATT-004	Mrs. Ada Okonkwo	F	Oguta	Udi	Cassava	+234 808 441 7734	Yes	Yes	5	Strong questions on pH
ATT-005	Mr. Onyeka Chukwu	M	Ngwo	Udi	Cassava	+234 703 551 8845	Yes	Yes	4	Trial farmer
ATT-006	Mrs. Chioma Agwu	F	Ngwo	Udi	Yam	+234 706 661 9956	Yes	No	N/A	Left early for family
ATT-007	Mr. Sunday Eze	M	Abia Village	Udi	Cassava	+234 803 771 0067	Yes	Yes	5	
ATT-008	Mrs. Peace Obi	F	Abia Village	Udi	Cassava	+234 806 881 1178	Yes	Yes	4	
ATT-009	Mr. Emeka Igwe	M	Eha-Amufu	Udi	Maize	+234 805 991 2289	Yes	Yes	5	
ATT-010	Mrs. Chidinma Onus	F	Eha-Amufu	Udi	Cassava	+234 808 102 3390	Yes	Yes	5	
ATT-011	Mr. Uche Asogwa	M	Udi Town	Udi	Cassava	+234 703 212 4401	Yes	Yes	3	Dissatisfied with time on yam section
ATT-012	Mrs. Obioma Eze	F	Udi Town	Udi	Vegetables	+234 706 322 5512	Yes	Yes	4	
ATT-013	Mr. Kelechi Ude	M	Obiagu	Udi	Cassava	+234 803 432 6623	Yes	Yes	5	Trial farmer
ATT-014	Mrs. Amara Ogbu	F	Obiagu	Udi	Cassava	+234 806 542 7734	Yes	Yes	4	
ATT-015	Mr. Chidi Nkemdirim	M	Akpugo	Nkanu West	Yam	+234 805 652 8845	Yes	Yes	5	
ATT-016	Mrs. Blessing Egwu	F	Akpugo	Nkanu West	Cassava	+234 808 762 9956	Yes	Yes	4	
ATT-017	Mr. Uchenna Onyia	M	Ozalla	Nkanu West	Maize	+234 703 872 0067	Yes	Yes	4	
ATT-018	Mrs. Eunice Mbah	F	Ozalla	Nkanu West	Cassava	+234 706 982 1178	Yes	Yes	5	
ATT-019	Mr. Emmanuel Okafor	M	Olo	Ezeagu	Cassava	+234 803 093 2289	Yes	Yes	4	
ATT-020	Mrs. Ifunanya Agu	F	Olo	Ezeagu	Yam	+234 806 104 3390	Yes	Yes	4	Arrived late, harvest delay
ATT-021	Mr. Paschal Eze	M	Nawfia	Njikoka	Cassava	+234 805 214 4401	Yes	Yes	5	
ATT-022	Mrs. Oluchi Onwuegbu	F	Nawfia	Njikoka	Vegetables	+234 808 324 5512	Yes	Yes	4	
ATT-023	Mr. Obiora Ani	M	Umunze	Orumba South	Yam	+234 703 434 6623	Yes	Yes	5	Travelled 2 hrs to attend
ATT-024	Mrs. Adaeze Okonkwo	F	Umunze	Orumba South	Cassava	+234 706 544 7734	Yes	Yes	4	
ATT-025	Mr. Victor Onwudiwe	M	Igboukwu	Aguata	Cassava	+234 803 654 8845	Yes	Yes	5	First time attendee
ATT-026	Mrs. Roseline Agbo	F	Agbogugu	Awgu	Cassava	+234 806 764 9956	Yes	Yes	4	
ATT-027	Mr. Theo Ezeogo	M	Awgu	Awgu	Yam	+234 805 874 0067	Yes	Yes	5	
ATT-028	Mrs. Gloria Eze	F	Ihe	Awgu	Cassava	+234 808 984 1178	Yes	Yes	5	Wants to join trial plot next cycle
ATT-029	Mr. Chinedu Eze	M	Ude-Enu	Udi	Cassava	+234 803 102 3301	Yes	Yes	3	Trial farmer
ATT-030	Mrs. Chinwe Okonkwo	F	Oguta	Udi	Cassava	+234 806 139 4212	Yes	Yes	4	
ATT-031	Mr. Okwudili Obi	M	Ngwo	Udi	Cassava	+234 805 176 5123	Yes	Yes	5	
ATT-032	Mrs. Uju Ude	F	Abia Village	Udi	Yam	+234 808 213 6034	Yes	Yes	3	First time attendee
ATT-033	Mr. Ebuka Onyia	M	Eha-Amufu	Udi	Maize	+234 703 250 6945	Yes	No	N/A	
ATT-034	Mrs. Ogechi Agu	F	Udi Town	Udi	Vegetables	+234 706 287 7856	Yes	Yes	5	Requested follow up visit
ATT-035	Mr. Ikechukwu Nnaji	M	Obiagu	Udi	Cassava	+234 705 324 8767	Yes	Yes	3	
ATT-036	Mrs. Nkechi Okwu	F	Akpugo	Nkanu West	Cassava	+234 708 361 9678	Yes	Yes	4	
ATT-037	Mr. Arinze Ofor	M	Ozalla	Nkanu West	Cassava	+234 812 398 0589	Yes	Yes	5	
ATT-038	Mrs. Chiamaka Aniagolu	F	Olo	Ezeagu	Yam	+234 814 435 1500	Yes	Yes	3	
ATT-039	Mr. Chukwuebuka Nwosu	M	Nawfia	Njikoka	Maize	+234 816 472 2411	Yes	Yes	4	
ATT-040	Mrs. Amaka Agwu	F	Umunze	Orumba South	Vegetables	+234 810 509 3322	Yes	Yes	5	
ATT-041	Mr. Nnamdi Asogwa	M	Igboukwu	Aguata	Cassava	+234 813 546 4233	Yes	Yes	3	
ATT-042	Mrs. Ngozi Egwu	F	Agbogugu	Awgu	Cassava	+234 815 583 5144	Yes	No	N/A	Trial farmer
ATT-043	Mr. Chigozie Okafor	M	Awgu	Awgu	Cassava	+234 901 620 6055	Yes	Yes	5	First time attendee
ATT-044	Mrs. Chizoba Agbo	F	Ihe	Awgu	Yam	+234 902 657 6966	Yes	Yes	3	
ATT-045	Mr. Maduabuchi Ezema	M	Ude-Enu	Udi	Maize	+234 803 694 7877	Yes	Yes	4	
ATT-046	Mrs. Obianuju Nwankwo	F	Oguta	Udi	Vegetables	+234 806 731 8788	Yes	Yes	5	
ATT-047	Mr. Chetachi Udeh	M	Ngwo	Udi	Cassava	+234 805 768 9699	Yes	Yes	3	
ATT-048	Mrs. Nkiruka Okeke	F	Abia Village	Udi	Cassava	+234 808 805 0610	Yes	Yes	4	
ATT-049	Mr. Nonso Chukwu	M	Eha-Amufu	Udi	Cassava	+234 703 842 1521	Yes	Yes	5	
ATT-050	Mrs. Ujunwa Igwe	F	Udi Town	Udi	Yam	+234 706 879 2432	Yes	Yes	3	
ATT-051	Mr. Uzoma Ogbu	M	Obiagu	Udi	Maize	+234 705 916 3343	Yes	No	N/A	Requested follow up visit
ATT-052	Mrs. Chioma Mbah	F	Akpugo	Nkanu West	Vegetables	+234 708 953 4254	Yes	Yes	5	
ATT-053	Mr. Obinna Ani	M	Ozalla	Nkanu West	Cassava	+234 812 990 5165	Yes	Yes	3	
ATT-054	Mrs. Ifunanya Ugwu	F	Olo	Ezeagu	Cassava	+234 814 027 6076	Yes	Yes	4	First time attendee
ATT-055	Mr. Okechukwu Ezeani	M	Nawfia	Njikoka	Cassava	+234 816 064 6987	Yes	Yes	5	Trial farmer
ATT-056	Mrs. Oluebube Eze	F	Umunze	Orumba South	Yam	+234 810 101 7898	Yes	Yes	3	
ATT-057	Mr. Chinedu Eze	M	Igboukwu	Aguata	Maize	+234 813 138 8809	Yes	Yes	4	
ATT-058	Mrs. Chinwe Okonkwo	F	Agbogugu	Awgu	Vegetables	+234 815 175 9720	Yes	Yes	5	
ATT-059	Mr. Okwudili Obi	M	Awgu	Awgu	Cassava	+234 901 212 0631	Yes	Yes	3	
ATT-060	Mrs. Uju Ude	F	Ihe	Awgu	Cassava	+234 902 249 1542	Yes	No	N/A	
ATT-061	Mr. Ebuka Onyia	M	Ude-Enu	Udi	Cassava	+234 803 286 2453	Yes	Yes	5	
ATT-062	Mrs. Ogechi Agu	F	Oguta	Udi	Yam	+234 806 323 3364	Yes	Yes	3	
ATT-063	Mr. Ikechukwu Nnaji	M	Ngwo	Udi	Maize	+234 805 360 4275	Yes	Yes	4	
ATT-064	Mrs. Nkechi Okwu	F	Abia Village	Udi	Vegetables	+234 808 397 5186	Yes	Yes	5	
ATT-065	Mr. Arinze Ofor	M	Eha-Amufu	Udi	Cassava	+234 703 434 6097	Yes	Yes	3	First time attendee
ATT-066	Mrs. Chiamaka Aniagolu	F	Udi Town	Udi	Cassava	+234 706 471 7008	Yes	Yes	4	
ATT-067	Mr. Chukwuebuka Nwosu	M	Obiagu	Udi	Cassava	+234 705 508 7919	Yes	Yes	5	
ATT-068	Mrs. Amaka Agwu	F	Akpugo	Nkanu West	Yam	+234 708 545 8830	Yes	Yes	3	Trial farmer
ATT-069	Mr. Nnamdi Asogwa	M	Ozalla	Nkanu West	Maize	+234 812 582 9741	Yes	No	N/A	
ATT-070	Mrs. Ngozi Egwu	F	Olo	Ezeagu	Vegetables	+234 814 619 0652	Yes	Yes	5	
ATT-071	Mr. Chigozie Okafor	M	Nawfia	Njikoka	Cassava	+234 816 656 1563	Yes	Yes	3	
ATT-072	Mrs. Chizoba Agbo	F	Umunze	Orumba South	Cassava	+234 810 693 2474	Yes	Yes	4	
ATT-073	Mr. Maduabuchi Ezema	M	Igboukwu	Aguata	Cassava	+234 813 730 3385	Yes	Yes	5	
ATT-074	Mrs. Obianuju Nwankwo	F	Agbogugu	Awgu	Yam	+234 815 767 4296	Yes	Yes	3	
ATT-075	Mr. Chetachi Udeh	M	Awgu	Awgu	Maize	+234 901 804 5207	Yes	Yes	4	
ATT-076	Mrs. Nkiruka Okeke	F	Ihe	Awgu	Vegetables	+234 902 841 6118	Yes	Yes	5	First time attendee
ATT-077	Mr. Nonso Chukwu	M	Ude-Enu	Udi	Cassava	+234 803 878 7029	Yes	Yes	3	
ATT-078	Mrs. Ujunwa Igwe	F	Oguta	Udi	Cassava	+234 806 915 7940	Yes	No	N/A	
ATT-079	Mr. Uzoma Ogbu	M	Ngwo	Udi	Cassava	+234 805 952 8851	Yes	Yes	5	
ATT-080	Mrs. Chioma Mbah	F	Abia Village	Udi	Yam	+234 808 989 9762	Yes	Yes	3	
ATT-081	Mr. Obinna Ani	M	Eha-Amufu	Udi	Maize	+234 703 026 0673	Yes	Yes	4	Trial farmer
