Valley Ridge Community Advisory Council, Meeting Attendance Log
2025 to 2026 Term. Compiled by Lisa Hoffman, secretary.

Meeting Date	Gerald Metcalf	Lisa Hoffman	Ray Osterhagen	Donna Fields	Patrice Lundgren	Harold Timmins	Curtis Bauer	Notes
01/07/2025	Present	Present	Present	Absent	Present	Present	Present	New year planning session
01/21/2025	Present	Present	Absent	Present	Present	Present	Present	
02/04/2025	Present	Present	Present	Present	Absent	Present	Present	Budget review
02/18/2025	Present	Absent	Present	Present	Present	Present	Present	Lisa knee, Elaine drove but Lisa stayed home
11/04/2025	Present	Present	Present	Present	Present	Absent	Present	Harold out, road work conflict
11/18/2025	Present	Present	Present	Absent	Present	Present	Present	
12/02/2025	Present	Present	Absent	Present	Present	Present	Present	Winter meeting, propane assistance fund discussed
01/06/2026	Present	Present	Present	Present	Present	Present	Absent	New year planning
01/20/2026	Present	Present	Present	Present	Absent	Present	Present	
02/03/2026	Present	Present	Present	Present	Present	Present	Present	Full attendance
10/06/2026	Present	Present	Absent	Present	Present	Present	Present	Ray out of town
10/20/2026	Present	Present	Present	Present	Present	Absent	Present	Harold late, arrived 10:30
11/03/2026	Present	Present	Present	Present	Present	Present	Absent	Curtis work conflict
12/01/2026	Present	Present	Present	Present	Present	Present	Present	December meeting, year-end review
