invoice_id,invoice_number,type,contact_id,contact_name,date,due_date,status,line_amount_types,sub_total,total_tax,total,amount_due,amount_paid,currency_code,reference
inv_00001,CBOC-2024-0001,ACCREC,,Donna Whitfield,2024-01-03,2024-02-02,AUTHORISED,Exclusive,100,0,106.0,106.0,0,USD,
inv_00002,CBOC-2024-0002,ACCPAY,,Aria Whitfield,2024-01-06,2024-02-05,PAID,Exclusive,117,0,124.02,124.02,0,USD,
inv_00003,CBOC-2024-0003,ACCREC,,Josie Whitfield,2024-01-09,2024-02-08,DRAFT,Exclusive,134,0,142.04,142.04,0,USD,
inv_00004,CBOC-2024-0004,ACCPAY,,Wren Whitfield,2024-01-12,2024-02-11,AUTHORISED,Exclusive,151,0,160.06,160.06,0,USD,
inv_00005,CBOC-2024-0005,ACCREC,,Sable Whitfield,2024-01-15,2024-02-14,PAID,Exclusive,168,0,178.08,178.08,0,USD,
inv_00006,CBOC-2024-0006,ACCPAY,,Marlow Whitfield,2024-01-18,2024-02-17,AUTHORISED,Exclusive,185,0,196.1,196.1,0,USD,
inv_00007,CBOC-2024-0007,ACCREC,,Piper Whitfield,2024-01-21,2024-02-20,PAID,Exclusive,202,0,214.12,214.12,0,USD,
inv_00008,CBOC-2024-0008,ACCPAY,,Winslow Whitfield,2024-01-24,2024-02-23,DRAFT,Exclusive,219,0,232.14,232.14,0,USD,
inv_00009,CBOC-2024-0009,ACCREC,,Delaney Whitfield,2024-01-27,2024-02-26,AUTHORISED,Exclusive,236,0,250.16,250.16,0,USD,
inv_00010,CBOC-2024-0010,ACCPAY,,Kestrel Whitfield,2024-01-30,2024-02-29,PAID,Exclusive,253,0,268.18,268.18,0,USD,
inv_00011,CBOC-2024-0011,ACCREC,,Talia Whitfield,2024-02-02,2024-03-03,AUTHORISED,Exclusive,270,0,286.2,286.2,0,USD,
inv_00012,CBOC-2024-0012,ACCPAY,,Rhys Whitfield,2024-02-05,2024-03-06,PAID,Exclusive,287,0,304.22,304.22,0,USD,
inv_00013,CBOC-2025-0013,ACCREC,,Everett Whitfield,2024-02-08,2024-03-09,DRAFT,Exclusive,304,0,322.24,322.24,0,USD,
inv_00014,CBOC-2025-0014,ACCPAY,,Callum Whitfield,2024-02-11,2024-03-12,AUTHORISED,Exclusive,321,0,340.26,340.26,0,USD,
inv_00015,CBOC-2025-0015,ACCREC,,Ainsley Whitfield,2024-02-14,2024-03-15,PAID,Exclusive,338,0,358.28,358.28,0,USD,
inv_00016,CBOC-2025-0016,ACCPAY,,Bram Whitfield,2024-02-17,2024-03-18,AUTHORISED,Exclusive,355,0,376.3,376.3,0,USD,
inv_00017,CBOC-2025-0017,ACCREC,,Otis Whitfield,2024-02-20,2024-03-21,PAID,Exclusive,372,0,394.32,394.32,0,USD,
inv_00018,CBOC-2025-0018,ACCPAY,,Roselyn Whitfield,2024-02-23,2024-03-24,DRAFT,Exclusive,389,0,412.34,412.34,0,USD,
inv_00019,CBOC-2025-0019,ACCREC,,Tam Whitfield,2024-02-26,2024-03-27,AUTHORISED,Exclusive,406,0,430.36,430.36,0,USD,
inv_00020,CBOC-2025-0020,ACCPAY,,Odessa Whitfield,2024-02-29,2024-03-30,PAID,Exclusive,423,0,448.38,448.38,0,USD,
inv_00021,CBOC-2025-0021,ACCREC,,Donna Stark,2024-03-03,2024-04-02,AUTHORISED,Exclusive,440,0,466.4,466.4,0,USD,
inv_00022,CBOC-2025-0022,ACCPAY,,Aria Stark,2024-03-06,2024-04-05,PAID,Exclusive,457,0,484.42,484.42,0,USD,
inv_00023,CBOC-2025-0023,ACCREC,,Josie Stark,2024-03-09,2024-04-08,DRAFT,Exclusive,474,0,502.44,502.44,0,USD,
inv_00024,CBOC-2025-0024,ACCPAY,,Wren Stark,2024-03-12,2024-04-11,AUTHORISED,Exclusive,491,0,520.46,520.46,0,USD,
inv_00025,CBOC-2026-0025,ACCREC,,Sable Stark,2024-03-15,2024-04-14,PAID,Exclusive,508,0,538.48,538.48,0,USD,
inv_00026,CBOC-2026-0026,ACCPAY,,Marlow Stark,2024-03-18,2024-04-17,AUTHORISED,Exclusive,525,0,556.5,556.5,0,USD,
inv_00027,CBOC-2026-0027,ACCREC,,Piper Stark,2024-03-21,2024-04-20,PAID,Exclusive,542,0,574.52,574.52,0,USD,
inv_00028,CBOC-2026-0028,ACCPAY,,Winslow Stark,2024-03-24,2024-04-23,DRAFT,Exclusive,559,0,592.54,592.54,0,USD,
inv_00029,CBOC-2026-0029,ACCREC,,Delaney Stark,2024-03-27,2024-04-26,AUTHORISED,Exclusive,576,0,610.56,610.56,0,USD,
inv_00030,CBOC-2026-0030,ACCPAY,,Kestrel Stark,2024-03-30,2024-04-29,PAID,Exclusive,593,0,628.58,628.58,0,USD,
