user_id,first_name,last_name,email,role,device_access,shared_at
1,Kai,Osborne,kai.osborne@gmail.com,shared,"d_backporch,d_driveway",2024-01-15T09:00:00Z
2,Bruce,Kennedy,cooperjamie@example.org,shared,d_backporch,2026-01-13T09:00:00Z
3,Michelle,Jackson,barnesvanessa@example.org,shared,d_backporch,2026-03-12T09:00:00Z
4,Andrew,Johnson,patrickallen@example.org,shared,d_backporch,2025-10-12T09:00:00Z
5,Matthew,Gibson,igonzalez@example.org,shared,d_backporch,2024-08-18T09:00:00Z
6,Mary,Deleon,william01@example.org,shared,d_backporch,2025-10-25T09:00:00Z
7,Benjamin,Cook,sarahjensen@example.net,shared,d_backporch,2025-12-28T09:00:00Z
8,Julie,Wilson,martha83@example.net,shared,d_backporch,2026-06-29T09:00:00Z
9,Trevor,Williams,ajohnson@example.org,shared,d_backporch,2025-12-27T09:00:00Z
10,Kendra,Mayer,hawkinsbenjamin@example.com,shared,d_backporch,2024-08-26T09:00:00Z
11,Mary,Mitchell,mhuynh@example.org,shared,d_backporch,2026-06-28T09:00:00Z
12,Sandra,Davis,davisdylan@example.net,shared,d_backporch,2026-04-11T09:00:00Z
13,Anthony,Johnson,michaelrivera@example.org,shared,d_backporch,2026-01-20T09:00:00Z
14,Carlos,Freeman,boonecarolyn@example.org,shared,d_backporch,2026-06-14T09:00:00Z
15,Samantha,Webb,rowewilliam@example.com,shared,d_backporch,2025-09-12T09:00:00Z
16,Kristin,Moore,melissapage@example.org,shared,d_backporch,2026-01-29T09:00:00Z
17,Morgan,Holland,royferrell@example.org,shared,d_backporch,2026-05-14T09:00:00Z
18,Austin,Martinez,vanessabryant@example.org,shared,d_backporch,2025-07-26T09:00:00Z
19,Eddie,Cox,warneramy@example.com,shared,d_backporch,2026-02-16T09:00:00Z
20,Jerome,Gonzales,megan86@example.com,shared,d_backporch,2024-11-04T09:00:00Z
21,Tanya,Armstrong,xhuff@example.com,shared,d_backporch,2025-11-26T09:00:00Z
22,Nicholas,Evans,robinsonmary@example.com,shared,d_backporch,2026-04-28T09:00:00Z
23,David,Lopez,qcox@example.com,shared,d_backporch,2026-04-03T09:00:00Z
24,Gail,Cain,kathryn15@example.net,shared,d_backporch,2025-10-28T09:00:00Z
25,Annette,Dunn,davidallen@example.com,shared,d_backporch,2024-10-25T09:00:00Z
26,Danny,Walton,tonyaking@example.com,shared,d_backporch,2025-02-20T09:00:00Z
27,Gregory,Jackson,roberta55@example.com,shared,d_backporch,2026-05-30T09:00:00Z
28,John,Coleman,buckpaula@example.org,shared,d_backporch,2025-06-10T09:00:00Z
29,Whitney,Silva,randall36@example.net,shared,d_backporch,2024-12-11T09:00:00Z
30,Jennifer,Jones,pittskristin@example.net,shared,d_backporch,2026-03-05T09:00:00Z
31,Karen,Gomez,lopezamy@example.net,shared,d_backporch,2026-06-20T09:00:00Z
32,Carol,Schwartz,amberkirk@example.com,shared,d_backporch,2026-06-24T09:00:00Z
33,Donna,Summers,billy87@example.net,shared,d_backporch,2025-12-28T09:00:00Z
34,Jodi,Preston,meghan00@example.com,shared,d_backporch,2025-01-15T09:00:00Z
35,Susan,Thompson,jonathan16@example.net,shared,d_backporch,2025-02-02T09:00:00Z
36,Scott,Smith,evanscraig@example.com,shared,d_backporch,2024-12-31T09:00:00Z
37,Jason,Manning,stephenenglish@example.com,shared,d_backporch,2024-12-30T09:00:00Z
38,Raymond,Wall,kimberly28@example.net,shared,d_backporch,2025-02-28T09:00:00Z
39,Jeffrey,Stark,kellyapril@example.com,shared,d_backporch,2026-05-09T09:00:00Z
40,Thomas,Peterson,ihudson@example.com,shared,d_backporch,2024-07-23T09:00:00Z
41,Ashley,Dunn,greenpaul@example.net,shared,d_backporch,2025-11-24T09:00:00Z
42,Brandi,Bailey,crystalmartin@example.com,shared,d_backporch,2025-02-15T09:00:00Z
43,Brandon,Miller,beckerstephanie@example.org,shared,d_backporch,2026-04-30T09:00:00Z
44,William,Martinez,jesseburnett@example.com,shared,d_backporch,2025-12-26T09:00:00Z
45,Spencer,Butler,tyrone45@example.net,shared,d_backporch,2025-11-29T09:00:00Z
46,Justin,Oconnor,nicolewong@example.org,shared,d_backporch,2025-02-01T09:00:00Z
