Date	Time	Event	Location	Category	Status	Notes
2026-10-17	8:00 AM	Run the Parkway 10K	American River Parkway	Race	Confirmed	Annual 10K
2026-10-23	3:00 PM	Sprint review	Crescent Peak Software	Work	Confirmed	Pre-Q4 planning follows
2026-10-23	4:30 PM	Pre-Q4 planning with Claire Matsuda	Crescent Peak Software	Work	Confirmed	Claire Matsuda
2026-10-30	4:00 PM	Mendocino weekend with Lena	Mendocino, cabin	Personal	Confirmed	Through November 2
2026-11-05	7:00 PM	Dinner with Lena Saito	Kru, Sacramento	Personal	Confirmed	Standing rotation
2026-11-08	9:30 AM	Eye exam, Dr. Lisa Chang	Capitol Eye Care	Health	Confirmed	Annual, progressive lenses
2026-11-14	11:00 AM	Mentoring call with Priscilla Deng	Video	Mentoring	Confirmed	Second Saturday
2026-11-15	2:00 PM	Dental cleaning, Dr. Anya Petrov	East Sacramento Dental	Health	Confirmed	Every six months
2026-11-17	10:30 AM	Endocrinology follow up, Dr. Holtz	Capitol Endocrine Associates	Health	Confirmed	Scheduled on a WFH day
2026-11-21	11:00 AM	Drive to San Jose, visit Helen	San Jose	Family	Confirmed	Lunch, back by evening
2026-12-04	10:00 AM	Board demo	Crescent Peak Software	Work	Confirmed	Presenting migration outcomes
2026-12-15		Helen Foster birthday	San Jose	Family	Confirmed	Annual
2026-12-24	5:00 PM	Christmas Eve, family	San Jose	Family	Confirmed	David, Nancy, Helen
2027-01-01	9:00 AM	Review finances	Home	Finance	Recurring	First of the month
2027-01-09	11:00 AM	Mentoring call with Priscilla Deng	Video	Mentoring	Recurring	Second Saturday
2027-01-14		Lena Saito birthday	Sacramento	Personal	Confirmed	Annual
2027-01-15	9:00 AM	Levothyroxine refill check	Hartwell Pharmacy	Health	Recurring	Fifteenth of the month
2027-01-28		Steven birthday	Sacramento	Personal	Confirmed	Age 60
2027-02-01	9:00 AM	Review finances	Home	Finance	Recurring	First of the month
2027-02-13	11:00 AM	Mentoring call with Priscilla Deng	Video	Mentoring	Recurring	Second Saturday
2027-02-15		Crescent Peak annual bonus paid	Crescent Peak Software	Finance	Scheduled	Target 15 percent of base
2027-02-15	9:00 AM	Levothyroxine refill check	Hartwell Pharmacy	Health	Recurring	Fifteenth of the month
2027-02-20	9:00 AM	Annual physical, Dr. James Fong	Midtown Medical Group	Health	Confirmed	Annual
2027-03-01	9:00 AM	Review finances	Home	Finance	Recurring	First of the month
2027-03-08		David Foster birthday	San Jose	Family	Confirmed	Annual
2027-03-13	11:00 AM	Mentoring call with Priscilla Deng	Video	Mentoring	Recurring	Second Saturday
2027-03-15	9:00 AM	Levothyroxine refill check	Hartwell Pharmacy	Health	Recurring	Fifteenth of the month
2027-05-01		Endocrinology follow up due, Dr. Holtz	Capitol Endocrine Associates	Health	To schedule	Six month interval
