id,number,customer_id,status,currency,total,subtotal,total_tax,payment_method,payment_method_title,billing_first_name,billing_last_name,billing_email,date_created
wc_ord_0001,1,1,completed,USD,200.0,184.0,16.0,bacs,Direct Bank Transfer,Meredith,Alcorn,meredith.alcorn0@example.com,2025-01-01T09:00:00Z
wc_ord_0002,2,2,processing,USD,247.0,227.24,19.76,bacs,Direct Bank Transfer,Kelly,Aldrete,kelly.aldrete1@example.com,2025-04-06T09:00:00Z
wc_ord_0003,3,3,processing,USD,294.0,270.48,23.52,bacs,Direct Bank Transfer,Barbara,Wong,barbara.wong2@example.com,2025-07-11T09:00:00Z
wc_ord_0004,4,4,completed,USD,341.0,313.72,27.28,bacs,Direct Bank Transfer,Nia,Casey,nia.casey3@example.com,2025-10-16T09:00:00Z
wc_ord_0005,5,5,processing,USD,388.0,356.96,31.04,bacs,Direct Bank Transfer,Ruth,Kim,ruth.kim4@example.com,2025-01-21T09:00:00Z
wc_ord_0006,6,6,processing,USD,435.0,400.2,34.8,bacs,Direct Bank Transfer,Kai,Reeves,kai.reeves5@example.com,2025-04-26T09:00:00Z
wc_ord_0007,7,7,completed,USD,482.0,443.44,38.56,bacs,Direct Bank Transfer,Ivy,Doyle,ivy.doyle6@example.com,2025-07-04T09:00:00Z
wc_ord_0008,8,8,processing,USD,529.0,486.68,42.32,bacs,Direct Bank Transfer,Julien,Nair,julien.nair7@example.com,2025-10-09T09:00:00Z
wc_ord_0009,9,9,processing,USD,576.0,529.92,46.08,bacs,Direct Bank Transfer,Rania,Marsh,rania.marsh8@example.com,2025-01-14T09:00:00Z
wc_ord_0010,10,10,completed,USD,623.0,573.16,49.84,bacs,Direct Bank Transfer,Harlan,Mitchell,harlan.mitchell9@example.com,2025-04-19T09:00:00Z
wc_ord_0011,11,11,processing,USD,670.0,616.4,53.6,bacs,Direct Bank Transfer,Colby,Bourque,colby.bourque10@example.com,2025-07-24T09:00:00Z
wc_ord_0012,12,12,processing,USD,717.0,659.64,57.36,bacs,Direct Bank Transfer,Isabel,Bellemare,isabel.bellemare11@example.com,2025-10-02T09:00:00Z
wc_ord_0013,13,13,completed,USD,764.0,702.88,61.12,bacs,Direct Bank Transfer,Adele,Ouellet,adele.ouellet12@example.com,2025-01-07T09:00:00Z
wc_ord_0014,14,14,processing,USD,811.0,746.12,64.88,bacs,Direct Bank Transfer,Klein,Cote,klein.cote13@example.com,2025-04-12T09:00:00Z
wc_ord_0015,15,15,processing,USD,858.0,789.36,68.64,bacs,Direct Bank Transfer,Malia,Girard,malia.girard14@example.com,2025-07-17T09:00:00Z
wc_ord_0016,16,16,completed,USD,905.0,832.6,72.4,bacs,Direct Bank Transfer,Sam,Beaulieu,sam.beaulieu15@example.com,2025-10-22T09:00:00Z
