Supporter_Ref	First_Name	Last_Name	Town	County	Email	Sign_Up_Date	Newsletter_Opt_In	Event_RSVP_Oct_2026	Survey_Completed	Notes
BC-2025-0001	Siobhan	Connelly	Galway	Galway	s.connelly@gmail.com	15/11/2025	Yes	Yes	Yes	Original petition signatory. Attended Oct event.
BC-2025-0002	Aoife	Riordan	Galway	Galway	aoife.riordan84@gmail.com	16/11/2025	Yes	Yes	Yes	
BC-2025-0003	Declan	Walsh	Oranmore	Galway	declan.walsh.home@gmail.com	17/11/2025	Yes	No	Yes	Partner of a community midwifery client. Signed on her behalf.
BC-2025-0004	Maureen	Burke	Clifden	Galway	maureenburke.connacht@gmail.com	18/11/2025	Yes	No	Yes	Rural respondent. Raised access issue in survey.
BC-2025-0005	Niamh	Hynes	Galway	Galway	niamh.hynes.gal@gmail.com	19/11/2025	Yes	Yes	Yes	
BC-2025-0006	Cormac	O'Brien	Athenry	Galway	cormac.obrien.family@gmail.com	20/11/2025	Yes	No	No	
BC-2025-0007	Sinead	Fahy	Ballinasloe	Galway	sinead.fahy1991@gmail.com	21/11/2025	Yes	No	Yes	
BC-2025-0008	Patricia	Kelly	Tuam	Galway	patricia.kelly.tuam@gmail.com	22/11/2025	Yes	No	Yes	GP. Mentioned at Oct event. Professional interest.
BC-2025-0009	Aisling	Mulryan	Galway	Galway	a.mulryan.gal@gmail.com	23/11/2025	Yes	Yes	Yes	
BC-2025-0010	Kevin	Forde	Galway	Galway	kevinforde.arch@gmail.com	24/11/2025	Yes	No	No	Architect. Offered to advise on site adaptation pro bono.
BC-2025-0011	Emer	Costello	Castlebar	Mayo	emer.costello.mayo@gmail.com	25/11/2025	Yes	No	Yes	Mayo respondent. Noted she currently travels to Castlebar or Galway.
BC-2025-0012	Brigid	Staunton	Westport	Mayo	brigid.staunton66@gmail.com	26/11/2025	Yes	No	Yes	
BC-2025-0013	Fionnula	Moran	Galway	Galway	fionnula.moran.gal@gmail.com	27/11/2025	Yes	Yes	Yes	Midwife at UHG. Supporting the proposal in personal capacity.
BC-2025-0014	Hannah	Ryan	Galway	Galway	hryan.salthill@gmail.com	28/11/2025	Yes	Yes	Yes	Neighbour of Joan's.
BC-2025-0015	Rina	Kaur	Galway	Galway	rina.kaur.galway@gmail.com	29/11/2025	Yes	Yes	Yes	
BC-2025-0016	Sandra	Tully	Loughrea	Galway	sandra.tully.family@gmail.com	30/11/2025	Yes	No	Yes	
BC-2025-0017	Grainne	Daly	Galway	Galway	grainne.daly.home@gmail.com	01/12/2025	Yes	Yes	Yes	
BC-2025-0018	Tom	Brennan	Galway	Galway	tombrennan.sw@gmail.com	02/12/2025	No	No	No	No newsletter. Signed petition only.
BC-2025-0019	Jacinta	Flaherty	Roundstone	Galway	jacinta.flaherty.conn@gmail.com	03/12/2025	Yes	No	Yes	Remote respondent. 50km from UHG.
BC-2025-0020	Una	Larkin	Galway	Galway	una.larkin.health@gmail.com	04/12/2025	Yes	Yes	Yes	PHN. Supporting in personal capacity.
BC-2025-0021	Catriona	Naughton	Galway	Galway	c.naughton1989@gmail.com	05/12/2025	Yes	Yes	Yes	
BC-2025-0022	Dearbhla	Concannon	Galway	Galway	dearbhla.cc@gmail.com	06/12/2025	Yes	Yes	Yes	
BC-2025-0023	Roisin	Maloney	Galway	Galway	roisin.maloney.gal@gmail.com	07/12/2025	Yes	No	Yes	
BC-2025-0024	Eileen	Broderick	Portumna	Galway	e.broderick.family@gmail.com	08/12/2025	Yes	No	Yes	South Galway. Long drive to UHG currently.
BC-2025-0025	Michelle	Quinn	Galway	Galway	michelle.quinn.93@gmail.com	09/12/2025	Yes	Yes	Yes	
Note: This is a sample extract of the first 25 records. Full supporter list held in encrypted form. 847 total responses received by survey close 31 October 2026. Newsletter subscriber count: 631.										
