Date	Description	Category	Amount	Balance
2026-02-03	Payroll deposit Irongate	Income	1054.89	3120.44
2026-02-05	Mortgage payment Lakeside FCU	Housing	-1450.00	1670.44
2026-02-06	Denise payroll deposit Crestwood	Income	1825.00	3495.44
2026-02-09	DTE Energy	Utilities	-278.00	3217.44
2026-02-10	Payroll deposit Irongate	Income	1058.45	4275.89
2026-02-10	Meijer groceries	Food	-164.32	4111.57
2026-02-14	Ford Credit auto loan	Transport	-485.00	3626.57
2026-02-15	PayPal to Marcus Dawson	Family	-200.00	3426.57
2026-02-17	Payroll deposit Irongate	Income	1061.20	4487.77
2026-02-20	Kelford Hardware	Workshop	-58.40	4429.37
2026-02-24	Payroll deposit Irongate	Income	1055.80	5485.17
2026-02-24	Transfer to Share Savings	Savings	-100.00	5385.17
2026-02-27	Greater Hope tithe (debit)	Giving	-220.00	5165.17
2026-02-28	Ruth supplemental (debit)	Family	-150.00	5015.17
